ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6701817296,4,4,4,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9
35241679100,6,6,6,6,6,6,6,6,6,16,16,30,30,105,105,105,105,105
7006885221,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7102956355,3,3,3,3,3,3,7,7,7,7,13,13,13,13,13,13,14,16
24281201500,3,5,5,5,7,8,9,10,10,11,13,16,17,17,22,22,22,22
15756428700,1,1,1,1,3,3,4,7,7,7,12,13,17,19,24,26,26,34
6504345790,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,16,16
7003996287,49,49,58,78,113,113,124,124,130,130,175,179,179,179,179,179,179,179
6701311996,12,14,14,14,14,14,14,14,14,14,19,19,19,19,21,21,22,22
6701577111,1,1,3,11,16,16,17,23,23,23,24,24,26,39,47,47,49,49
6602625487,2,5,5,5,5,7,16,16,21,21,24,30,43,48,61,61,80,86
7005096985,2,2,4,6,6,7,7,10,10,20,20,20,23,28,29,29,31,34
57203075438,3,5,6,16,17,19,22,25,25,25,25,41,41,41,43,43,43,43
55913313000,3,3,3,3,3,4,7,10,14,16,17,18,18,27,27,30,30,30
6602725687,4,5,12,13,19,27,27,30,33,34,34,36,39,39,41,42,42,45
6603077626,2,2,2,4,4,4,4,6,6,6,6,8,10,12,12,12,12,15
7004848726,12,12,12,12,12,16,16,16,16,16,21,33,53,53,62,62,66,66
6603181131,6,6,6,6,22,22,22,22,22,22,22,22,22,22,22,22,22,22
7102338359,9,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
6603900449,7,7,7,7,7,8,8,8,8,14,14,14,16,19,19,19,19,19
7101895321,9,13,13,14,14,14,19,19,19,36,42,48,48,48,48,48,48,48
6602430508,2,2,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16
56405733100,3,3,3,3,3,4,4,4,4,4,4,4,7,7,8,8,8,8
25632374700,2,2,2,2,2,2,2,4,7,7,7,7,8,13,13,13,13,13
6508047326,1,1,4,4,4,9,15,26,47,59,74,83,121,126,157,173,174,192
7004767455,6,8,30,33,33,36,36,36,36,36,36,36,40,40,40,40,40,40
15132761200,29,29,29,31,31,31,60,60,60,60,60,60,60,60,60,60,60,60
6701845523,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7102861431,5,5,5,5,9,13,13,13,13,13,13,13,13,19,19,19,20,20
9241105700,10,10,10,10,10,10,10,10,26,26,26,26,26,26,26,26,26,26
