Unnamed: 0,ID,2011,2012,2013,2014,2015,2016,2017,2018,start_year
3142,22434005800,11,11,11,11,11,11,11,11,2011
3159,26423926500,3,3,3,3,3,3,3,4,2011
3190,44461016500,6,6,6,6,6,6,6,6,2011
3196,57196581075,2,2,2,3,3,3,3,9,2011
3203,23566461000,28,28,28,28,28,28,28,28,2011
3222,36719811900,4,4,4,5,5,5,5,5,2011
3229,6701612707,25,25,25,25,25,25,25,25,2011
3232,35914730700,6,6,6,6,6,6,6,6,2011
3236,7407540363,8,8,8,8,8,8,8,8,2011
3237,23006238400,5,5,5,5,5,5,5,5,2011
3242,54782089500,3,3,3,3,3,3,3,3,2011
3243,17433927500,2,2,2,2,2,2,2,2,2011
3246,36894943500,6,6,6,6,6,6,6,6,2011
3249,7202407853,4,4,4,4,4,4,7,7,2011
3260,36895551700,2,2,2,2,2,2,2,2,2011
3261,7005367847,4,4,4,4,4,4,4,4,2011
3273,37029286800,6,6,6,6,6,6,6,6,2011
3289,8613497700,2,2,2,4,4,4,4,6,2011
3315,8684899100,1,4,4,4,4,4,4,4,2011
3329,36560648100,6,6,6,6,6,6,6,6,2011
3330,54386864900,2,2,2,2,2,2,2,2,2011
3337,57195736387,2,2,4,4,4,5,5,5,2011
3392,35911137100,3,3,3,3,3,3,3,3,2011
3423,42760967800,3,3,3,3,3,3,3,3,2011
3427,6602877914,5,5,5,5,5,5,5,5,2011
3428,35218669700,3,3,3,3,3,3,3,3,2011
3452,50262394700,4,4,6,6,6,6,6,6,2011
3458,7004246625,13,13,13,13,13,13,13,13,2011
3467,6602093177,2,2,2,2,2,2,2,5,2011
3480,7004640909,34,35,35,35,35,35,35,35,2011
3496,56219133500,2,2,2,2,2,2,2,2,2011
3505,35549610800,7,7,7,7,7,19,19,19,2011
3514,41761306000,6,6,9,11,11,11,20,20,2011
3519,7005948509,3,3,3,3,3,3,3,3,2011
3538,36241395400,2,2,2,2,2,2,2,2,2011
3545,54408408300,5,5,5,5,5,5,5,5,2011
3559,6602459379,4,4,4,4,4,4,4,4,2011
3569,55102895800,2,2,2,2,2,2,2,2,2011
3577,6603754749,4,4,4,4,4,4,4,4,2011
3587,39960920400,10,10,10,10,10,10,10,10,2011
3634,16176698800,3,3,3,3,3,3,3,3,2011
3648,26664445300,4,4,4,4,4,4,7,14,2011
3671,56614550100,4,4,4,4,4,4,4,4,2011
3679,56241738400,4,4,4,4,4,4,4,4,2011
3682,14034379500,5,5,5,5,5,5,5,5,2011
3687,35203239100,6,6,6,6,6,6,10,10,2011
3714,53880698700,4,11,11,11,11,11,11,11,2011
3726,54387180500,3,3,3,3,3,5,7,7,2011
3728,54894894800,6,6,6,6,6,6,6,6,2011
3733,55414263600,4,6,10,10,10,10,10,10,2011
3763,8596697100,83,83,83,83,83,83,83,83,2011
3767,54782256100,3,3,3,17,17,17,17,17,2011
3791,7003525284,8,10,10,10,10,12,12,12,2011
3812,35516283100,7,7,7,7,7,7,7,7,2011
3835,38662366200,3,3,4,4,4,4,4,4,2011
3867,22986910200,13,25,25,25,25,25,25,25,2011
3889,8213202100,6,6,6,6,6,6,6,6,2011
3906,22936171000,1,3,3,3,3,4,4,4,2011
3938,35510519500,21,30,36,37,46,46,46,46,2011
4049,57199208151,9,9,9,9,9,9,9,9,2011
4067,12804868900,44,44,44,44,44,44,44,44,2011
4071,23974416400,3,3,3,3,3,3,3,3,2011
4078,24438065100,5,5,5,5,6,11,11,11,2011
4085,6508309923,1,1,2,2,3,3,3,3,2011
4135,22233631200,4,4,4,4,4,4,4,4,2011
4141,35932001900,3,3,3,3,6,6,6,6,2011
4150,36703884500,18,18,18,18,18,18,18,18,2011
4154,36451587700,2,2,2,2,2,2,2,2,2011
4200,35318766200,18,18,18,18,18,18,18,18,2011
4208,56021708900,3,3,3,3,3,3,6,6,2011
4255,35546193800,5,5,5,5,5,5,5,5,2011
4260,9240440400,3,4,4,7,7,7,7,7,2011
4295,35076902200,2,2,2,5,9,9,11,13,2011
4300,7004859994,5,5,5,5,5,5,5,5,2011
4336,54420469800,3,4,4,4,6,6,6,6,2011
4347,55026398600,3,3,3,3,3,3,3,3,2011
4378,55989034700,3,3,3,3,3,3,3,3,2011
4380,7004105025,60,60,60,60,60,60,60,60,2011
4404,50861582000,4,4,4,4,4,10,10,20,2011
4431,57197232107,2,2,3,3,3,3,3,3,2011
4453,6602935643,4,4,5,5,5,5,5,5,2011
4465,36967581400,2,2,2,2,2,2,2,2,2011
4495,36627499100,5,5,5,5,5,5,5,5,2011
4500,52063134100,6,6,6,6,6,6,6,6,2011
4501,54684373900,2,3,3,3,6,6,8,8,2011
4526,6701741232,1,1,1,1,1,2,2,2,2011
4545,54584924900,2,2,2,2,2,2,2,2,2011
4564,26532458800,12,12,12,12,12,12,12,12,2011
4598,38361356300,5,5,5,5,5,5,5,5,2011
4611,7003527247,3,3,3,3,3,3,3,3,2011
4617,48862067500,3,3,3,3,3,3,3,3,2011
4641,55030331800,2,2,2,2,2,2,2,2,2011
4656,49061068500,3,3,3,3,3,3,3,3,2011
4680,6701344150,83,83,83,83,83,83,83,83,2011
4701,36342837600,5,5,5,10,10,10,16,16,2011
4721,8950100000,4,4,7,7,7,7,10,10,2011
4726,57188756558,28,28,28,28,28,28,28,28,2011
4745,55391395500,2,2,2,2,2,2,2,2,2011
4747,56131633400,5,5,5,6,6,6,6,6,2011
4774,54917581400,1,2,2,2,2,2,2,2,2011
4791,56839604800,3,3,3,3,3,3,3,3,2011
4793,7003771208,3,3,3,3,3,3,3,3,2011
4825,35253501500,3,3,3,3,3,3,3,3,2011
4905,55875407100,8,10,15,35,44,74,76,113,2011
4920,23977452100,10,10,10,10,10,10,10,10,2011
4958,48861364100,4,4,4,6,6,6,6,6,2011
4989,49864608600,3,3,3,3,3,3,3,5,2011
4999,26655966100,13,17,17,17,17,17,17,17,2011
5010,6602389278,13,13,13,13,13,13,13,13,2011
5033,37085117000,4,4,4,4,4,11,11,11,2011
5064,26031000400,6,6,6,6,6,6,10,10,2011
5086,55937393400,3,3,3,3,3,3,3,3,2011
