Unnamed: 0,ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
9371,7006456591,13,13,13,13,15,15,15,15,15,15,15,15,15,15,2005
9412,55952855700,1,1,1,1,7,7,7,7,7,10,10,10,10,10,2005
9504,56034849500,3,3,6,10,12,12,12,12,14,14,14,14,14,14,2005
9506,7004505418,5,5,12,23,23,23,23,23,23,23,23,23,23,23,2005
9517,6507103302,5,15,15,26,26,26,26,30,30,40,42,42,42,60,2005
9590,35434771200,9,9,9,9,10,10,10,10,10,10,12,12,12,12,2005
9643,26867521300,3,3,3,5,5,6,7,7,7,7,7,7,7,7,2005
9725,35974264700,3,3,3,6,6,6,6,11,11,13,13,18,18,18,2005
9797,56002102000,2,2,2,6,9,14,14,16,24,28,31,35,48,57,2005
9852,6603624925,7,11,11,28,28,28,29,29,30,30,36,36,37,37,2005
10017,12753978900,3,5,10,15,15,15,15,15,19,20,22,27,32,40,2005
10028,13405554200,4,4,4,4,12,12,12,15,22,22,22,22,22,22,2005
10101,6701810498,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2005
10137,36124845300,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2005
10245,11539854400,24,24,24,24,98,98,98,98,98,98,98,98,98,98,2005
10402,8861855100,2,4,4,5,13,13,14,14,22,23,23,26,26,29,2005
10577,55979052000,2,2,3,4,7,7,7,20,22,22,22,22,22,22,2005
10609,6603823670,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
11115,55915421000,3,3,6,6,11,11,11,11,11,11,12,12,12,12,2005
11178,55992927000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
11216,8727204700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
11343,6504779345,4,4,4,4,4,12,12,12,12,15,15,15,15,15,2005
11500,8987187900,1,2,3,4,6,6,6,6,6,6,8,10,17,18,2005
11537,12794283100,2,6,8,12,17,21,26,28,30,30,30,30,30,30,2005
11748,6508125036,2,2,2,4,6,7,7,10,11,29,34,38,46,53,2005
11764,14019867700,3,3,6,11,11,11,13,21,21,21,21,21,21,21,2005
11870,57202571383,5,5,5,8,9,9,11,11,11,11,11,12,12,12,2005
11892,15762513200,3,4,4,5,5,8,8,9,11,12,15,19,19,23,2005
11898,16550470200,15,22,22,22,22,22,22,22,25,25,25,25,25,25,2005
11956,8557870100,2,2,2,12,12,15,17,18,18,18,21,22,22,22,2005
11981,23098306700,1,1,1,1,8,8,13,16,16,16,18,19,19,22,2005
12063,8257290000,2,6,7,7,7,10,10,24,28,32,32,34,39,56,2005
12097,6701587952,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
12206,7006744054,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2005
12243,24586900300,4,4,4,4,4,8,8,8,8,10,10,10,10,10,2005
12428,6603540603,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2005
12509,35486904800,3,3,3,3,3,3,10,10,10,10,10,10,10,10,2005
12608,16021309700,4,4,4,4,4,4,4,7,7,7,7,7,7,7,2005
12621,23005466700,8,8,17,17,17,17,17,17,17,17,17,17,17,17,2005
12664,7403463175,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
12680,7404124892,5,5,5,5,5,5,5,9,9,9,9,10,10,10,2005
12948,8838569700,2,2,2,2,2,11,12,12,12,12,12,12,12,12,2005
13125,55953696700,3,3,3,3,3,3,3,3,3,5,5,5,5,5,2005
13127,23995037400,6,6,6,7,7,10,12,18,25,25,25,25,29,33,2005
13153,6507534597,6,6,6,6,6,14,14,14,14,14,14,14,14,14,2005
13301,8912301400,6,6,6,6,6,9,12,12,13,13,13,13,13,20,2005
13306,24779194600,2,2,2,2,2,2,5,5,5,5,5,5,5,7,2005
13358,7004015312,5,6,6,6,6,6,6,6,6,7,7,7,7,7,2005
13368,56133227800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
13385,6503998102,4,4,4,4,6,7,7,9,9,13,15,15,18,18,2005
13410,16313455900,1,4,4,4,4,4,4,54,60,61,75,82,85,91,2005
13542,35231140700,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2005
13551,7003938328,5,11,11,11,14,14,14,14,14,14,14,14,14,14,2005
13640,55943307900,2,2,2,9,9,9,10,10,10,10,18,18,18,18,2005
13667,14035027300,1,1,2,3,3,5,11,13,19,19,22,25,25,26,2005
13805,7005154300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
13866,6508138479,2,2,3,3,3,6,8,10,10,13,14,14,14,14,2005
13910,22963089900,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2005
14022,7003665075,6,6,6,6,6,7,7,7,7,7,7,7,7,7,2005
14114,6507504186,9,9,9,9,9,71,71,71,71,94,94,101,101,110,2005
14120,16743792600,21,21,21,21,21,21,21,21,21,36,36,36,36,36,2005
14356,35622380600,2,4,4,4,4,5,5,5,5,5,5,5,5,5,2005
14466,6603782095,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
14474,6602849413,2,2,2,2,2,9,9,9,9,13,13,13,19,19,2005
14562,56363607500,23,23,23,23,25,26,26,28,28,28,30,32,35,39,2005
14628,56036766600,5,5,5,5,5,5,5,5,5,5,12,12,17,20,2005
14757,13614137500,2,2,8,12,12,12,12,14,16,19,24,26,29,29,2005
14783,14032448200,4,4,9,10,12,12,12,12,12,12,12,12,12,12,2005
15274,55889624500,2,5,5,5,5,8,8,9,16,17,17,20,20,20,2005
15442,24167526900,3,4,4,4,4,4,4,7,7,7,7,7,7,7,2005
15443,57193655015,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2005
15513,16053228000,11,11,15,15,15,15,20,20,20,20,20,20,20,20,2005
15568,9336112200,1,1,3,9,9,18,24,30,33,33,38,40,40,43,2005
15573,36551481100,2,2,2,2,10,21,30,34,41,50,54,56,59,62,2005
15746,6507171636,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
15788,36022249200,7,10,13,13,22,28,28,28,45,60,60,68,68,68,2005
15821,16052679700,16,16,66,66,66,66,83,83,91,134,163,163,163,163,2005
15824,16201798800,3,3,3,6,16,22,33,39,42,42,48,48,55,56,2005
15825,8984595700,1,1,1,1,1,2,2,4,4,4,6,6,6,6,2005
15868,57190702501,56,56,56,56,56,56,56,56,56,56,56,84,84,84,2005
16303,18036901700,3,3,3,3,3,3,7,7,7,7,7,7,7,7,2005
16305,7003370951,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
16328,54790578400,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2005
16391,8700367400,6,13,16,20,21,23,28,32,37,39,41,41,41,43,2005
16407,20435882900,22,22,22,22,22,22,22,22,24,27,27,27,27,27,2005
16408,6602994468,3,3,3,3,3,3,3,4,6,6,6,8,8,8,2005
16458,7004520173,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
16551,26660781700,2,2,2,2,2,15,16,23,24,24,25,26,27,46,2005
16568,6603376379,2,2,2,2,2,5,5,5,9,9,9,14,14,14,2005
16601,8561556100,4,4,4,4,4,9,14,16,16,19,19,35,36,37,2005
16607,6603597693,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
16614,8853709100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
16640,8897716400,12,12,12,12,12,12,12,12,12,12,12,12,31,31,2005
16676,7004818027,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2005
16845,6603288924,16,16,16,16,16,16,16,16,16,16,48,48,48,48,2005
16849,24484525100,5,5,5,7,10,10,10,10,27,27,27,27,27,27,2005
16856,8912295700,2,2,2,3,3,5,5,5,7,8,12,12,14,18,2005
16867,56186665700,2,3,4,4,4,4,4,9,12,14,18,18,22,24,2005
16919,6602428772,6,9,9,9,9,9,9,9,9,9,9,9,9,9,2005
16949,7003283901,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
16980,55170853100,4,4,4,7,7,7,7,7,7,7,7,7,7,7,2005
17123,13609390600,2,2,3,7,7,18,25,28,30,30,32,41,42,42,2005
17148,6701460799,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
17208,56269079700,9,9,19,19,19,30,37,38,38,38,44,44,44,44,2005
17393,7004208539,11,11,11,11,11,11,11,11,11,11,11,15,15,15,2005
17481,14048114400,1,3,7,7,7,7,12,18,18,23,29,29,29,36,2005
17482,7004991327,8,8,21,21,21,21,21,21,21,21,21,21,21,21,2005
17494,6602822825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
17501,57203643847,2,2,2,2,2,2,5,5,5,28,28,28,28,28,2005
17576,10339982700,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
17640,56133401600,17,17,17,38,38,38,38,38,38,38,38,42,42,42,2005
17657,6507981046,5,5,5,11,18,21,24,27,32,38,52,53,58,59,2005
17782,36679052000,2,2,3,3,3,6,6,9,12,13,16,16,16,17,2005
17870,6602713997,2,2,2,2,2,2,2,2,2,2,6,9,10,10,2005
17909,22734003000,2,2,2,5,6,6,9,9,9,9,9,9,9,9,2005
17996,6603569620,12,12,12,12,12,12,72,72,72,72,72,72,72,72,2005
18100,6602400333,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2005
18133,8237823900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
18149,7005075430,3,3,4,4,4,5,5,5,6,6,7,9,10,10,2005
18188,22950950700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
18432,8678471300,2,3,3,3,3,3,3,4,4,4,4,4,4,4,2005
18543,26656936600,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2005
18563,21934208700,3,3,4,4,4,5,6,6,8,9,9,9,9,9,2005
18663,57042405700,2,2,2,2,3,4,5,5,5,5,5,5,5,5,2005
18682,23390305800,2,2,22,22,22,22,22,40,40,40,40,40,47,47,2005
18731,8406504300,2,2,4,4,6,6,7,7,7,9,9,11,13,14,2005
18788,30067812700,3,3,3,3,10,11,16,34,42,51,65,68,81,106,2005
18947,8730372800,2,2,4,4,4,8,8,8,9,9,9,9,9,9,2005
19076,13008942700,9,15,38,38,39,39,49,56,60,61,66,71,71,72,2005
19166,35776920600,2,3,3,3,3,7,7,11,19,24,24,27,27,29,2005
19253,55401008400,7,14,25,41,55,57,60,60,73,78,78,78,78,78,2005
19265,7005415457,2,2,3,3,3,3,3,6,6,8,8,8,16,18,2005
19408,24921767000,2,2,2,2,6,9,9,9,9,9,13,25,25,25,2005
19497,56018663000,8,8,8,8,8,8,12,20,23,24,27,27,27,27,2005
19545,6508271313,15,15,15,23,23,39,43,49,50,54,54,54,54,54,2005
19597,6504450625,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
19658,55935885300,15,15,15,15,25,25,34,34,34,52,60,65,83,90,2005
19931,7004240858,5,5,12,14,14,14,14,14,14,14,14,14,14,14,2005
19992,24437836100,4,4,5,5,5,5,5,5,5,5,8,9,10,12,2005
20046,13907367800,2,2,7,7,8,8,60,68,68,68,71,74,74,74,2005
20128,56187700500,10,12,12,12,13,13,13,13,13,13,13,13,13,13,2005
20235,6602148316,2,7,12,13,15,16,16,25,25,25,34,53,57,57,2005
20379,6506183141,6,10,10,10,10,10,10,22,22,22,25,25,25,25,2005
20388,6603879325,10,19,22,22,48,55,55,76,86,86,95,99,104,104,2005
20394,7004778977,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2005
20449,8844068200,3,3,4,5,5,8,10,17,26,26,31,36,44,46,2005
20512,8968418700,3,3,3,3,4,7,7,7,7,7,7,7,7,7,2005
20660,13605450900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
20674,10739297000,6,21,21,27,27,44,60,74,101,123,123,249,261,295,2005
20746,7801350240,3,3,3,3,3,3,6,7,7,7,7,7,8,8,2005
20777,7007165803,5,17,34,35,35,35,36,52,52,55,55,55,55,55,2005
20812,23005465500,2,2,2,4,5,5,5,5,8,9,22,23,26,27,2005
20835,7404608651,8,8,8,8,8,13,18,24,24,30,41,41,41,41,2005
20841,23005034700,3,8,8,8,8,12,12,21,21,21,25,26,28,28,2005
20912,9747287500,4,4,4,4,4,4,4,4,8,8,12,12,15,15,2005
20959,7003682959,9,12,12,12,12,12,12,12,16,16,18,18,18,18,2005
21127,7004339139,41,41,41,41,43,43,43,43,43,43,43,43,43,43,2005
21144,7101603228,5,6,6,6,9,9,9,9,9,9,9,9,9,9,2005
21194,6602077588,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
21200,8448250400,3,3,3,3,7,7,7,7,11,11,12,14,14,14,2005
21425,23397619900,1,3,5,10,26,40,43,44,46,51,53,53,57,57,2005
21486,6603621398,2,2,5,5,8,8,11,11,15,15,15,15,17,17,2005
21727,6507456118,3,3,4,4,4,8,10,14,19,24,28,29,30,30,2005
21825,57131369600,24,37,54,61,73,79,88,93,93,101,111,120,132,138,2005
21909,6701549562,6,6,6,6,6,6,6,6,6,6,11,11,11,11,2005
22045,8539466800,14,27,27,27,41,48,56,56,60,60,60,60,60,66,2005
22049,7004492575,3,8,8,8,8,8,8,8,8,8,8,8,8,8,2005
22053,7003533853,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
22054,9747130100,4,4,5,5,5,5,5,5,15,16,16,16,16,16,2005
22073,9638228500,14,14,14,17,17,17,23,23,23,23,23,23,23,31,2005
22103,45861286900,1,3,3,3,3,3,5,7,7,11,11,15,20,23,2005
22108,7004200599,3,5,6,6,6,6,6,6,7,7,9,9,9,9,2005
22110,8444234100,1,2,2,2,2,4,5,5,9,10,11,12,12,12,2005
22180,17636485800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
22200,7006821048,6,6,19,19,19,23,23,24,24,24,24,24,24,24,2005
22202,12545164600,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
22206,14058354900,1,1,1,1,4,4,6,9,9,16,16,19,19,19,2005
22244,55916575900,6,6,9,10,10,11,15,15,18,21,22,22,26,31,2005
22296,7005157532,41,41,41,43,43,43,43,43,43,43,43,43,43,43,2005
22369,36098128700,3,3,3,3,6,6,8,8,8,8,18,18,22,22,2005
22395,8390560400,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2005
22404,7006057626,23,23,23,23,23,23,28,33,33,45,45,45,45,45,2005
22531,55985221400,2,5,9,11,11,13,15,15,17,18,18,19,19,19,2005
22622,10139617400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
22632,25947623800,2,2,2,2,2,2,2,2,2,5,9,9,9,15,2005
22801,10938835300,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
22807,25926862500,4,4,4,4,6,6,9,10,10,13,16,22,25,29,2005
22833,35227992400,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
22970,6701671344,5,5,5,5,11,16,16,16,16,16,16,16,16,16,2005
23106,23498447600,4,4,4,4,4,4,4,10,10,17,17,17,17,17,2005
23205,6603893164,4,5,8,10,10,10,10,12,12,12,12,12,12,12,2005
23544,35617108400,4,7,7,7,7,7,7,7,13,21,21,21,21,21,2005
23644,23493839500,3,4,6,9,13,17,23,25,26,26,27,27,27,29,2005
23700,8566968900,3,3,3,3,3,3,3,3,3,66,66,66,66,66,2005
23712,7006064936,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
23767,56701750400,6,6,6,6,6,6,6,6,11,11,11,11,11,11,2005
23812,14834019800,3,5,5,5,8,9,11,17,18,20,21,23,24,25,2005
23850,7202286449,2,7,15,21,33,43,56,60,84,96,108,121,133,138,2005
24007,24470143300,2,2,2,4,5,8,8,8,8,10,10,10,10,10,2005
24014,55903012900,3,3,3,3,5,5,9,9,11,11,12,12,12,12,2005
24021,56211028700,4,4,4,4,5,8,9,9,9,10,10,10,10,10,2005
24092,9841530100,3,3,3,3,3,3,5,5,7,7,7,7,7,7,2005
24327,8681944000,1,4,4,4,4,4,4,6,8,8,8,8,8,8,2005
24368,23994845500,2,2,2,2,3,5,5,5,17,17,17,17,17,17,2005
24482,6701912401,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2005
24637,6603210640,14,14,14,23,23,43,43,61,65,65,65,65,65,65,2005
24647,7005861405,4,4,6,6,6,6,6,6,6,6,6,6,6,6,2005
24670,7101724725,2,8,8,8,11,11,13,16,19,20,24,39,48,50,2005
24694,15724261200,6,6,6,6,6,6,9,9,11,11,11,11,11,11,2005
25134,24074752200,3,3,3,4,4,4,4,6,10,10,10,10,10,12,2005
25354,7005636584,3,3,3,4,4,5,6,13,15,17,17,17,17,17,2005
25360,6505852562,10,10,10,10,10,16,25,29,29,31,31,31,36,36,2005
