Unnamed: 0,ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
22410,16051958500,4,4,4,4,4,4,6,6,11,12,12,12,12,12,13,14,14,14,14,15,1999
22447,16226200400,3,3,11,11,11,14,14,14,14,14,16,16,16,16,16,25,25,25,25,25,1999
23127,56040803500,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1999
23193,23390366800,1,1,2,3,5,6,7,10,13,14,14,14,15,15,15,16,16,16,25,25,1999
23251,7005758343,1,3,3,3,3,3,3,3,4,7,15,19,24,25,31,31,31,31,33,33,1999
23265,55883093200,2,2,2,6,7,8,10,12,20,24,34,35,43,46,49,54,57,59,66,68,1999
23271,14042672600,2,2,2,2,2,3,3,5,5,5,6,6,8,9,9,9,9,9,9,9,1999
23535,6701833841,3,3,3,3,3,3,3,3,3,6,6,6,6,6,7,7,7,7,7,7,1999
23586,34770951700,2,2,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1999
23591,15072688000,4,5,5,5,7,7,7,10,10,10,13,15,16,16,17,17,20,20,20,20,1999
23603,23993021000,5,5,5,5,5,5,5,5,12,12,12,12,23,33,44,46,46,49,59,59,1999
23703,57202633857,10,10,10,10,24,24,24,28,28,47,56,81,83,88,88,88,88,88,88,94,1999
23772,6602378267,2,2,2,2,2,2,2,3,3,4,5,5,6,6,7,7,12,15,16,19,1999
24240,7409077047,4,4,10,10,11,11,11,12,18,23,26,43,46,56,62,66,74,81,82,82,1999
24330,7103407754,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,1999
24471,6604081488,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,1999
24625,6701842488,4,4,6,6,6,13,13,16,19,23,28,28,28,28,30,30,30,30,30,30,1999
24731,6603091703,2,3,3,3,5,5,58,59,59,60,64,67,69,72,72,72,74,75,78,78,1999
24936,56816529200,18,18,20,20,26,26,26,26,29,37,49,50,57,61,68,68,72,76,76,76,1999
25145,55915127500,4,4,4,4,8,8,8,8,8,15,17,19,19,19,24,24,25,34,34,34,1999
25217,57191801446,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1999
25381,7004312957,1,1,3,3,3,5,9,11,13,15,17,20,23,23,25,25,26,27,29,29,1999
25682,7003384474,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1999
25683,7005940336,3,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10,12,18,18,1999
25811,6701401090,2,2,2,2,2,2,2,2,2,4,25,25,25,25,25,43,45,50,55,63,1999
25818,7005908149,3,5,5,5,5,11,11,11,24,27,27,31,42,53,69,75,89,99,99,103,1999
25907,35285418800,15,15,15,15,15,15,15,15,16,16,16,16,16,29,29,29,33,33,33,33,1999
