Unnamed: 0,ID,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
30480,6602684291,2,3,6,6,7,8,12,14,16,19,22,28,31,32,35,36,38,44,46,47,52,56,57,59,65,68,74,1992
30493,6603166723,2,4,4,4,7,7,9,9,16,24,25,25,25,25,28,30,32,32,32,35,37,39,43,45,47,47,48,1992
30665,7402739629,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1992
30885,7401539622,1,1,1,1,2,2,4,6,7,11,11,15,18,22,24,29,36,36,38,40,40,43,45,48,52,52,58,1992
32195,6506698646,1,1,1,3,5,5,7,7,10,11,11,13,23,28,28,31,43,44,50,50,50,50,55,57,65,68,68,1992
32441,6603533502,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,13,19,21,21,1992
32577,7005592320,2,2,2,2,3,3,4,4,5,5,8,8,8,9,10,10,10,10,13,13,13,14,20,20,20,24,25,1992
33261,6602227961,1,1,2,2,3,3,4,5,6,7,7,10,11,11,13,14,15,15,19,19,19,30,32,33,35,39,48,1992
33403,7003433993,1,3,3,3,3,3,5,5,7,12,12,19,19,20,22,23,24,27,29,30,32,32,32,33,35,35,35,1992
33560,7004621957,1,1,1,5,6,10,16,22,22,23,25,25,29,34,42,51,54,57,59,72,73,74,81,168,173,174,175,1992
34463,7103143996,1,2,4,4,4,6,6,7,11,12,24,26,27,28,33,36,42,49,59,79,81,94,102,115,118,120,121,1992
34820,14053566400,2,3,3,4,4,4,4,18,18,29,29,29,39,39,39,39,47,51,57,57,66,71,78,82,91,97,100,1992
34953,6701595467,1,1,1,2,2,4,4,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1992
35089,55989814300,2,5,8,9,11,11,11,11,12,12,12,12,12,12,18,20,20,20,21,34,49,64,73,83,89,98,101,1992
35452,6602820409,3,4,4,4,4,4,5,7,8,10,10,12,13,13,14,17,19,25,26,26,26,30,30,31,31,31,31,1992
35770,6602601344,8,15,15,15,15,15,15,15,15,15,22,24,24,24,24,34,34,34,34,34,34,34,37,37,37,37,37,1992
35807,35616121500,1,4,4,4,4,4,6,6,6,6,9,9,11,11,11,12,12,14,16,17,22,23,23,27,27,30,30,1992
36422,6604037777,17,17,17,20,20,20,20,20,20,20,45,45,87,87,87,87,89,95,99,99,99,99,99,99,99,102,102,1992
36694,14032097800,2,2,2,2,3,3,3,3,3,3,3,11,11,11,16,16,16,22,23,26,32,32,34,40,42,42,42,1992
37554,6602146400,2,2,4,4,5,5,11,15,15,16,16,32,34,35,48,50,84,84,85,94,106,107,109,109,109,109,109,1992
37596,6603007408,3,4,4,7,7,7,7,12,12,16,16,18,18,20,28,30,30,36,40,45,50,54,58,58,58,64,64,1992
38033,12242236000,1,1,1,1,1,2,6,6,8,9,11,11,11,12,30,30,30,30,30,30,30,31,33,40,41,43,47,1992
38050,7005111517,2,2,2,4,8,13,18,20,27,29,34,56,64,64,67,80,86,95,95,95,101,101,104,117,117,119,119,1992
38850,6602725983,2,2,2,2,5,5,5,7,7,10,10,11,11,11,13,13,15,15,15,15,15,15,15,15,15,15,15,1992
39076,7004344639,2,2,2,2,2,2,5,5,7,7,12,12,12,12,12,13,16,16,16,17,18,18,19,19,19,22,23,1992
39151,6701836552,2,2,2,2,2,6,6,7,7,7,7,9,9,9,12,15,15,17,20,23,23,27,27,40,40,40,40,1992
40545,7004102318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1992
40855,6701782386,3,3,3,3,3,3,3,3,5,5,5,7,7,7,7,8,10,10,12,19,19,19,19,19,19,19,19,1992
41639,7004015097,1,1,1,1,1,1,2,3,3,3,4,7,7,11,11,11,11,13,13,13,15,16,16,21,23,23,23,1992
41655,7005573070,2,2,2,2,2,3,4,4,7,11,14,21,23,23,45,69,83,105,112,130,134,140,145,150,157,161,162,1992
42123,7003732167,3,3,4,7,10,10,10,13,18,28,28,34,35,38,38,38,38,38,38,40,40,40,40,42,43,43,44,1992
42333,7201740253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1992
42443,6603732898,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,11,11,11,11,14,14,15,1992
42839,22735261200,8,8,8,8,12,12,15,16,16,16,18,20,20,20,21,21,24,25,25,25,25,25,25,25,25,25,25,1992
43035,7006690890,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,17,17,17,17,19,20,24,44,1992
43325,7005391459,2,3,3,3,3,3,4,5,5,6,6,7,7,7,8,9,12,16,26,29,30,33,34,35,36,36,36,1992
43387,6701750764,6,6,6,6,6,6,6,6,6,6,6,6,19,19,19,19,19,19,34,34,34,34,57,57,91,97,97,1992
43851,26643465900,3,3,3,4,6,7,7,7,7,8,9,10,10,10,10,11,11,12,12,12,12,14,14,14,16,17,18,1992
43871,55496021000,3,4,4,9,10,10,11,11,11,11,12,12,12,14,16,18,19,21,21,26,30,30,43,43,46,52,53,1992
44573,6603682694,1,2,2,2,3,3,3,6,7,8,11,12,12,12,12,13,14,14,14,14,14,15,16,17,19,20,22,1992
44621,7004122281,1,1,1,3,4,5,5,5,10,10,14,16,19,20,26,26,32,35,43,45,52,52,62,68,71,72,72,1992
46743,7005443617,5,7,7,7,7,9,13,16,17,24,31,31,31,34,45,45,63,64,64,64,68,71,71,71,80,80,80,1992
47085,7004297568,2,2,2,2,2,2,2,2,2,4,5,5,5,5,7,7,7,7,10,10,10,10,10,10,10,10,10,1992
47349,35890702800,1,1,1,1,1,1,1,1,1,2,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1992
47824,7103188418,8,8,8,10,13,14,15,15,17,17,18,20,22,27,27,28,30,31,31,32,32,42,42,45,47,56,64,1992
48012,6602627732,2,3,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,15,32,39,47,49,1992
48017,7003530628,4,4,4,4,4,9,11,11,13,13,13,13,13,15,15,15,15,15,20,36,36,36,36,36,36,36,36,1992
48057,35585371100,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1992
48122,7202826521,2,2,2,2,3,4,7,7,7,8,11,13,18,20,26,30,37,38,40,42,47,50,50,50,50,50,50,1992
48389,7005517989,15,15,17,20,22,24,24,24,24,24,24,36,36,36,36,42,42,45,52,52,57,69,69,72,96,112,115,1992
49318,6602668923,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,16,16,16,20,20,20,20,20,20,20,1992
49739,55587898400,1,1,1,3,6,9,9,10,12,13,15,15,16,19,20,23,27,28,30,30,30,30,30,30,30,32,33,1992
49897,9250806300,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,1992
50532,15766227900,3,3,5,5,8,8,8,10,11,11,16,16,16,16,16,16,16,20,22,31,31,36,36,42,42,45,45,1992
50891,6602164811,2,2,2,2,2,2,6,8,9,11,11,11,11,18,21,29,31,38,46,54,82,84,98,106,115,115,118,1992
50914,6602631593,1,1,1,1,1,1,2,2,2,2,3,3,3,3,6,6,7,7,7,7,7,7,7,7,11,11,11,1992
50928,6701813242,1,1,1,1,4,4,6,6,6,6,6,8,8,8,8,10,10,10,12,16,16,17,20,23,30,31,32,1992
51004,8967507300,1,2,2,4,5,11,11,15,15,16,16,17,19,21,21,25,25,36,41,58,69,74,79,81,82,84,84,1992
51012,7003874071,2,2,2,4,4,4,4,4,4,4,4,5,5,5,5,5,7,7,7,7,7,7,7,10,10,10,10,1992
51130,6602954837,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1992
51245,6701592523,2,2,2,2,2,6,6,6,7,7,9,12,12,12,14,14,14,14,17,20,23,23,23,23,23,23,23,1992
51452,7004200099,1,2,2,2,8,9,9,9,12,12,12,12,14,15,15,15,18,18,18,18,23,23,23,23,25,28,28,1992
51915,55947099700,10,10,10,10,10,10,10,10,10,10,10,22,22,22,22,22,25,25,25,25,25,25,25,25,25,25,25,1992
53333,35309684800,4,4,8,14,14,14,14,14,14,14,14,21,42,53,53,65,71,75,75,75,75,75,75,75,75,75,75,1992
54137,35762766500,2,2,2,3,9,13,13,13,20,23,27,28,29,34,34,36,44,50,56,61,76,82,85,86,87,90,95,1992
54320,7003459040,3,4,4,8,16,18,22,27,27,38,42,43,44,44,57,57,58,58,62,62,64,64,64,64,64,64,64,1992
54385,7004128438,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,7,7,7,7,7,9,9,9,9,9,9,1992
55461,7004154329,2,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,1992
56535,14634918000,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,19,28,28,28,32,37,37,37,1992
56542,6603091113,5,5,5,5,5,5,5,5,5,5,5,5,11,15,16,20,20,23,30,30,38,40,47,49,55,57,62,1992
56695,7003427447,3,3,3,4,4,4,4,4,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1992
57063,6603148285,1,1,2,2,2,2,2,3,3,4,6,6,6,6,7,15,15,18,22,23,26,26,29,33,38,40,40,1992
57356,36046872900,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,21,21,21,21,21,21,25,25,1992
57796,55917030600,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1992
