ID,2015,2016,2017,2018
57092591000,0,0,0,8
55935051900,0,11,11,11
57188633386,0,2,2,2
57188861885,2,3,3,3
54966854100,1,2,2,2
57188983908,2,2,3,3
54399855400,0,0,0,9
57109666800,0,25,25,25
26534726300,3,3,5,5
24474999800,7,7,7,7
56527156800,0,8,8,8
39461457600,11,11,19,19
56835703300,0,45,47,47
56354780000,0,0,4,5
35488356300,13,13,13,13
56682088900,0,4,4,4
56963694100,2,4,6,6
24490863900,0,7,7,11
56523114900,2,3,5,5
57133210400,0,7,7,7
55122284300,5,8,11,22
57155997300,0,4,4,4
56607311000,0,0,6,6
56954716900,0,0,1,1
55170005800,23,23,23,23
55887156400,0,11,11,11
57192070665,0,0,4,4
55940342000,0,0,4,4
56448109500,0,15,19,19
56612761000,3,3,7,11
57045840900,0,6,7,7
55861235600,0,3,5,5
24338647200,3,4,4,4
56480635500,0,0,6,6
56927332500,0,4,4,6
56693575000,6,8,8,8
56418710900,5,5,6,9
16506566900,0,38,38,38
57050296800,2,2,3,7
56765656200,0,0,7,7
55317917300,0,0,6,6
6701787280,0,0,8,8
56116857700,0,0,33,33
57189062223,0,0,2,2
56394615900,0,0,0,5
56189666900,3,5,9,9
55903723200,5,5,5,5
6604026438,0,3,4,4
55445681100,12,12,13,13
7006407567,17,17,17,17
56155680100,6,15,15,15
15063865000,0,0,0,12
56991470800,0,0,0,83
56985768500,7,16,17,17
56024941700,5,7,7,7
8333688600,4,8,8,8
55701381900,5,5,5,5
6603316111,0,0,4,4
57037263600,0,0,0,3
55933633500,0,4,4,4
56516963300,4,4,4,7
57095638800,0,3,5,8
16317934700,14,14,22,36
9941747800,0,0,7,7
56939926700,3,3,3,3
37121775200,2,10,14,18
7202680747,0,25,25,25
57190995684,0,0,13,13
57188826361,3,3,3,3
57159927000,2,2,2,2
57034975700,4,4,4,4
55895199600,0,35,35,35
57195506315,3,3,3,8
57105751300,0,2,2,2
36991945200,0,11,11,11
35191079500,0,45,47,47
56539915800,3,8,8,12
14832068200,7,17,17,17
55207422800,0,20,22,22
55769205900,2,2,4,4
23006024400,0,6,11,11
56850132300,0,0,6,6
56979407700,3,5,5,5
57188877290,0,2,2,2
8704192600,0,78,78,96
57188639678,0,0,2,2
55830942400,41,41,41,41
56116922800,16,16,16,16
55932313200,0,5,5,5
56890738400,0,37,37,37
54789899100,0,31,31,31
56690631900,3,3,3,3
56703043100,3,5,5,5
56141105100,0,0,0,5
56674633700,4,5,5,7
49662189300,11,11,19,19
24821328800,0,4,6,6
56884292900,0,8,8,15
56808402900,3,3,5,5
56116804400,9,13,13,13
56911944500,8,8,8,8
56727301800,1,1,4,4
23493444900,15,36,59,71
57038385600,3,3,6,6
35293782400,0,0,0,6
57105314700,4,7,9,9
24726165500,0,16,16,25
56398580600,0,0,3,3
56954539000,0,0,5,5
7006817387,0,0,5,5
56897245200,0,18,21,21
56921674800,8,8,12,12
56077681800,2,2,2,2
56526639800,0,0,0,2
56005186400,10,10,12,12
57189091207,2,2,13,13
6507765654,0,0,0,5
56659413700,9,9,9,9
56694324200,0,4,5,5
56091889200,2,2,4,4
56443532000,4,4,4,4
56938706800,1,5,11,11
27868254300,8,9,12,32
55669553600,2,2,6,7
55192352100,6,9,23,23
57050100100,3,3,6,6
56690633000,3,7,7,7
56485527800,7,7,7,7
57045875700,0,0,3,3
56538504000,2,3,3,3
57193895503,3,3,3,3
56884150800,0,0,9,9
56645409800,0,0,4,4
8055779400,2,4,15,15
56765572300,0,0,2,2
