Unnamed: 0,ID,2013,2014,2015,2016,2017,2018,start_year
5309,7006294849,5,11,11,13,14,14,2013
5316,6508276207,6,6,6,6,6,6,2013
5318,24470160000,4,4,4,5,6,6,2013
5324,55441378500,5,5,5,5,5,5,2013
5335,56578262000,4,4,4,4,4,4,2013
5360,51461667400,2,3,3,3,4,4,2013
5394,12143283200,4,4,4,4,4,4,2013
5405,57197965827,6,6,6,10,10,10,2013
5424,7004362997,7,7,7,7,7,7,2013
5432,56122543500,2,2,2,2,2,2,2013
5435,8281704300,1,1,1,1,1,1,2013
5457,35233531800,18,18,18,18,18,18,2013
5461,56635492800,4,4,92,92,92,100,2013
5463,55929954000,4,4,4,4,4,4,2013
5473,7405963374,12,12,12,12,12,12,2013
5483,55276798000,11,11,11,11,11,11,2013
5489,55557110000,3,3,3,3,11,11,2013
5491,55836652300,1,6,6,6,7,9,2013
5500,55872174000,2,2,2,10,11,11,2013
5524,56029861000,5,5,5,5,5,5,2013
5526,6701714193,14,14,14,14,14,14,2013
5543,26024231500,5,5,5,5,5,5,2013
5548,16070251100,23,23,23,23,23,23,2013
5558,55907165500,7,7,7,7,7,7,2013
5575,56362383500,6,6,6,6,14,14,2013
5585,40561103000,5,5,5,5,5,5,2013
5587,55835023800,12,12,12,12,12,12,2013
5630,56031680600,4,4,4,4,4,4,2013
5636,55929027200,2,2,4,4,4,4,2013
5654,55746932600,10,10,10,10,10,10,2013
5671,56022604100,1,1,1,3,3,3,2013
5684,55793268700,37,82,82,82,82,117,2013
5686,57192159464,2,2,2,2,2,2,2013
5687,55857399600,4,4,4,4,4,4,2013
5690,7005576600,6,18,18,18,18,18,2013
5694,53984760200,62,83,83,83,96,106,2013
5695,24776566600,5,5,5,5,5,5,2013
5775,7003540219,6,6,6,6,6,6,2013
5779,57198799752,6,6,6,6,6,6,2013
5780,56067293500,2,3,3,3,3,3,2013
5785,10243942800,3,3,3,3,3,3,2013
5797,23988729400,2,2,3,7,7,18,2013
5807,56014358400,3,3,3,3,3,3,2013
5818,57193572967,3,3,3,3,3,3,2013
5820,55835791500,12,12,12,12,12,12,2013
5821,55664527100,31,31,31,31,31,31,2013
5862,14036983700,8,8,8,8,8,8,2013
5869,56066639100,2,2,2,2,5,12,2013
5895,7006456423,4,4,7,7,10,13,2013
5924,55904560000,3,3,7,10,14,21,2013
5928,55702520568,4,4,4,4,4,4,2013
5958,55613179800,11,11,11,11,11,11,2013
5973,44860893100,3,4,4,4,4,4,2013
5980,7402136130,25,25,25,29,35,35,2013
5982,6507969996,10,10,11,13,13,13,2013
6002,16047374600,5,5,36,48,48,48,2013
6015,55849034000,8,8,8,8,12,12,2013
6018,55977747400,6,6,6,6,6,6,2013
6019,55582514900,9,17,21,21,21,21,2013
6023,55744256400,5,5,5,5,5,5,2013
6031,6602811318,2,2,2,2,2,2,2013
6037,36806037000,3,3,3,3,3,3,2013
6044,55630450000,7,9,10,10,10,10,2013
6054,55369542900,4,4,4,4,4,4,2013
6056,35566503500,9,9,9,9,9,9,2013
6060,56066648600,4,8,8,8,8,10,2013
6071,56335291100,5,7,7,7,7,7,2013
6073,56642219200,8,12,12,12,12,12,2013
6078,25421590000,4,4,4,4,4,4,2013
6114,55670099000,7,7,7,7,7,7,2013
6132,55965590600,1,1,1,1,1,1,2013
6134,13204999200,4,10,10,10,10,10,2013
6148,55188570200,1,1,1,1,1,1,2013
6198,8437113900,4,4,4,4,4,4,2013
6204,6603569987,6,11,11,11,17,17,2013
6224,7402288638,7,7,7,7,7,7,2013
6233,55931401400,3,5,5,5,5,5,2013
6234,56031793800,3,4,4,5,5,5,2013
6242,35796032000,3,3,3,3,3,3,2013
6251,35728147500,3,10,10,10,10,10,2013
6253,56229036400,7,7,7,7,7,7,2013
6254,8951815000,1,2,2,2,2,2,2013
6292,55653066300,1,1,1,1,1,1,2013
6304,6603575650,2,2,2,2,2,2,2013
6326,55316402300,4,8,10,10,10,10,2013
6331,36806632600,6,6,6,6,6,6,2013
6338,22334430200,14,14,14,14,14,14,2013
6344,54408019100,19,19,19,19,19,19,2013
6359,55830782800,6,6,6,6,6,6,2013
6369,55747373200,2,7,10,10,10,10,2013
6377,55934442900,2,2,2,2,2,2,2013
6382,36015458300,5,5,5,5,5,5,2013
6402,56026698000,2,2,4,6,7,7,2013
6424,36551647400,5,5,5,5,5,5,2013
6426,55822953300,17,18,19,45,51,51,2013
6432,7003796798,5,5,5,5,5,5,2013
6435,55842006000,4,4,4,4,4,4,2013
6445,55660749400,3,3,3,3,3,3,2013
6472,54891943200,2,2,2,2,2,2,2013
6493,54394918000,8,8,8,8,8,8,2013
6498,6603858802,1,3,33,33,33,33,2013
6505,55608256400,2,2,2,2,2,2,2013
6527,36008305100,5,5,5,5,5,5,2013
6543,57197334250,5,5,5,5,5,5,2013
6570,55672820000,6,6,6,6,6,6,2013
6587,57198495923,1,1,1,1,1,1,2013
6595,56024695400,2,2,2,2,2,2,2013
6602,53980993000,19,19,19,19,19,19,2013
6619,41661429700,6,6,6,6,6,6,2013
6642,50261609300,10,10,10,10,10,10,2013
6667,55193333600,8,8,8,8,8,8,2013
6686,55910401100,26,26,26,26,26,26,2013
6699,7005938359,9,9,9,9,9,9,2013
6723,6603186492,4,4,4,4,4,4,2013
6738,23097802700,5,10,10,10,10,10,2013
6750,36185806800,10,18,18,18,18,18,2013
6757,7102105347,4,4,4,4,13,48,2013
6793,56047747700,2,2,2,2,2,2,2013
6808,55930458800,3,3,3,3,3,3,2013
6812,56022839200,3,5,5,5,5,5,2013
6815,17433772700,4,4,4,4,4,4,2013
6833,55837212200,3,3,3,3,3,3,2013
6849,35420173900,22,22,22,22,22,22,2013
6854,36717983600,2,2,2,2,2,2,2013
6859,25227365200,3,3,3,3,5,5,2013
6896,55960023400,27,27,27,32,32,32,2013
6901,54985955700,4,4,4,4,4,4,2013
6934,6506096049,21,21,21,21,21,21,2013
6973,55888574700,2,2,2,2,2,2,2013
6986,55647175800,6,7,7,8,8,8,2013
6990,57197334971,2,2,2,2,2,2,2013
6997,7005076225,7,11,11,11,11,11,2013
7031,16686675000,23,23,23,23,23,23,2013
7041,13403836400,6,9,10,10,10,12,2013
7072,7103324797,6,6,6,6,6,6,2013
7074,55382230700,6,6,12,12,15,15,2013
7082,55532185900,18,24,24,24,25,25,2013
7083,23994015300,18,23,23,23,23,23,2013
7120,55904171200,3,3,10,10,10,10,2013
7140,56102332900,4,4,4,4,4,4,2013
7146,32867573200,8,8,8,8,8,8,2013
7182,55791287800,3,3,3,3,3,3,2013
7187,7102589497,9,9,9,9,9,9,2013
7222,53984931800,5,5,5,5,5,5,2013
7226,53866214200,8,8,8,8,8,8,2013
7251,7102111367,11,11,11,11,11,11,2013
7256,7403935545,6,6,6,6,6,6,2013
7266,8974298800,3,3,3,3,3,3,2013
7304,55279840200,8,8,8,8,8,8,2013
7305,23972116700,15,15,15,15,15,15,2013
7315,57202997114,2,2,2,2,2,2,2013
7350,8631765400,2,2,2,2,2,5,2013
7377,23392117700,4,5,5,5,5,8,2013
7401,44861521900,2,2,2,2,2,2,2013
7403,56431477000,5,5,9,9,9,9,2013
7450,55801236900,3,3,7,7,7,7,2013
7464,7101919316,12,12,12,12,12,12,2013
7469,7004842448,13,13,13,13,13,13,2013
7476,55949518100,4,5,8,8,8,8,2013
7477,55777318800,7,7,7,7,20,20,2013
7490,6603615383,5,5,5,5,5,5,2013
7525,55841953800,2,2,2,2,2,2,2013
7562,56995535300,2,2,2,2,2,2,2013
7563,35148628000,6,9,9,11,13,18,2013
7574,55839245000,3,3,3,4,4,4,2013
7588,36639263900,2,3,3,3,3,3,2013
7601,55556516500,7,7,7,7,7,7,2013
7614,55225255500,6,6,6,6,6,6,2013
7655,19933352000,15,15,15,15,15,15,2013
7658,55654660500,15,15,15,15,15,15,2013
7659,36536997300,3,10,18,24,26,37,2013
7666,36992016900,11,11,11,11,14,14,2013
7697,42862523500,3,3,3,8,8,8,2013
7699,57197435531,1,1,1,1,1,1,2013
7709,6603359948,3,3,3,3,3,3,2013
7728,35770054200,7,10,14,14,14,14,2013
7745,7101616871,3,3,3,3,3,3,2013
7765,57201598168,6,6,6,6,6,6,2013
7766,36145387400,1,1,6,6,6,6,2013
7770,54393085600,6,6,6,6,6,6,2013
7778,36598977600,3,3,3,3,3,6,2013
7781,55782469200,6,6,6,6,6,6,2013
7784,23571271800,2,2,2,2,2,3,2013
7807,36636897600,4,8,8,8,8,8,2013
7809,57197613904,8,8,8,8,8,8,2013
7814,55135983500,3,3,3,3,3,3,2013
7825,6602470124,12,12,12,12,12,12,2013
7836,7004337580,5,5,5,5,5,5,2013
7850,36838178900,4,4,4,4,4,4,2013
7862,6602841633,4,4,4,4,4,4,2013
7874,55375641300,1,1,1,1,1,1,2013
7898,56034972300,1,1,1,1,1,1,2013
7924,56123061800,3,3,3,3,3,3,2013
7946,55968964000,2,2,2,2,2,2,2013
7953,56027145000,3,3,5,5,5,5,2013
7957,12240595700,4,4,4,4,4,4,2013
7966,56028614300,2,2,2,2,2,2,2013
8001,36650169000,2,3,4,4,4,4,2013
8016,55753763700,3,3,3,3,3,3,2013
8019,57204294797,5,7,7,7,9,9,2013
8044,56146277700,2,2,2,2,2,2,2013
8087,56034914600,2,2,2,2,2,2,2013
8092,55905176700,3,3,3,3,3,3,2013
8097,35334564400,13,13,13,13,13,13,2013
8103,26666557300,2,2,2,2,37,37,2013
8105,55842518700,2,2,2,2,2,2,2013
8113,8253310200,33,33,33,43,43,43,2013
8142,23972378600,2,2,2,2,2,2,2013
8153,36700518000,5,5,5,5,5,5,2013
8164,36651413000,6,6,6,6,6,8,2013
8168,21233343600,22,22,22,22,22,22,2013
8171,55755867300,6,6,6,6,6,6,2013
8205,8045018000,4,4,4,7,7,7,2013
8229,7102142663,7,7,7,7,7,7,2013
8230,55383036100,5,5,5,5,5,5,2013
8241,55363754500,10,10,10,10,10,10,2013
8247,16679341600,5,15,18,21,21,21,2013
8255,55861446100,4,4,4,4,4,4,2013
8272,56089957700,2,2,2,2,2,2,2013
8275,6603125362,3,3,3,3,3,3,2013
8289,56460925100,11,11,11,11,11,11,2013
8301,57201399639,14,14,14,14,14,14,2013
8309,7003564319,12,12,12,12,12,12,2013
8320,8347040600,14,14,14,14,14,14,2013
8324,6603814242,6,6,6,6,6,6,2013
8331,14631535900,2,5,5,5,5,5,2013
8384,6507332974,3,3,3,3,3,23,2013
8385,7102877107,9,23,23,23,23,23,2013
8386,55312182200,14,14,14,14,14,14,2013
8399,36950104900,3,3,4,4,4,4,2013
8405,8556472600,3,3,6,6,6,6,2013
8422,46261479900,4,4,4,4,4,4,2013
