ID,2010,2011,2012,2013,2014,2015,2016,2017,2018
36165916000,4,4,4,4,4,4,4,4,4
36536792400,3,11,11,16,16,24,24,24,24
24479883500,6,8,8,8,10,12,15,16,20
36666146200,2,2,2,2,2,2,2,2,2
54399125000,3,3,3,3,3,3,3,3,3
36191106500,3,3,3,14,22,22,22,22,22
6701402984,5,5,5,12,12,12,12,15,15
39162066800,2,2,2,2,2,2,2,2,2
36739936200,8,8,8,8,8,8,8,8,8
57199457798,14,14,14,14,14,14,14,14,14
36439754600,5,7,7,7,7,7,7,7,7
36660067900,7,9,16,16,16,16,16,16,16
7003625261,2,2,2,2,2,2,2,2,2
36640623000,1,1,1,1,1,1,1,1,1
36160867400,7,7,7,7,7,7,7,7,7
23466918000,6,6,6,6,6,6,6,6,6
36132939000,1,1,1,1,1,1,1,1,1
55250839700,2,2,2,2,2,2,2,2,2
36667292000,4,4,4,4,4,4,4,4,4
36237927200,3,3,3,3,7,8,8,8,8
25633507700,13,13,13,13,13,13,13,13,13
36459994400,3,3,4,4,4,4,5,5,5
56273983000,19,19,19,19,19,19,19,19,19
15832159300,26,26,26,26,37,37,41,42,42
57196673166,3,3,3,3,3,3,3,3,3
7004013978,50,50,50,50,50,50,50,50,50
56568050500,1,4,6,6,6,6,6,6,6
36813396200,4,4,4,4,4,18,18,18,18
7003788378,11,11,11,11,15,15,15,22,22
55455556500,4,4,4,4,4,4,4,4,4
6602079091,6,6,6,6,6,6,6,6,6
25422147700,4,5,5,5,5,5,5,5,5
36698511100,24,24,24,24,24,24,24,24,24
14056752100,13,13,13,13,13,13,13,13,13
6505470575,5,5,5,5,5,5,5,5,5
36554143400,2,2,2,2,2,2,2,2,2
6603137197,5,5,5,5,5,5,5,5,5
57197122558,2,3,3,3,3,3,3,3,3
6701616786,5,5,11,15,15,19,19,19,20
6506044748,4,9,10,22,22,33,41,44,52
37002487100,3,3,3,3,3,3,3,3,3
36184991200,2,2,2,2,2,2,2,2,2
36608314200,3,3,3,3,3,3,3,3,3
55521612300,11,11,11,11,20,21,21,21,22
56369666300,14,14,14,14,14,14,14,14,14
35222471800,78,78,78,78,78,78,78,78,78
57195195071,14,14,14,14,14,14,14,14,14
35619975500,4,4,4,4,4,4,4,4,4
15521603000,1,1,3,3,3,3,3,3,3
35173057100,10,10,10,10,10,10,10,10,10
35770363700,3,3,4,4,4,4,4,4,4
6603634824,3,3,3,3,3,3,3,7,7
36919366000,5,5,5,5,5,5,5,5,5
24825014500,3,3,3,3,3,3,3,3,3
35239938700,22,22,36,36,41,85,90,90,90
6603096542,3,3,3,3,3,3,3,3,3
35728045300,3,3,3,3,3,5,8,8,8
24605682200,3,3,3,3,9,13,13,16,16
36705721300,2,2,2,2,2,2,2,2,2
34876513100,6,6,6,6,6,6,6,6,6
55914469100,7,12,12,12,12,12,12,12,12
38062371000,10,10,10,10,10,10,10,10,10
57117849000,5,5,5,5,5,5,5,5,5
56517491400,12,12,12,12,12,12,12,12,12
25653702300,13,16,16,16,16,16,16,16,16
36681934700,5,5,8,8,8,8,8,8,8
36015081100,4,4,4,4,4,4,4,4,4
35230983700,4,4,4,4,8,8,8,10,14
13907797600,2,2,2,2,2,2,2,2,2
21933245700,4,4,4,4,4,4,4,4,4
36614302200,10,10,23,23,40,40,106,106,199
23007964200,9,9,9,10,10,10,10,13,13
24824609300,2,3,3,3,3,3,3,3,3
6701840343,1,1,1,1,1,1,1,1,1
6603756462,2,2,2,2,2,2,2,2,2
26665350700,3,3,5,5,8,8,8,16,16
14035425800,6,13,14,14,14,15,15,15,15
36809803300,6,6,6,16,16,16,16,16,16
8656410900,3,3,3,3,3,3,3,3,3
26026884200,3,3,3,3,3,3,3,3,3
36813771200,20,20,20,20,20,20,20,20,20
57188853867,3,3,3,5,6,14,14,14,14
24466485200,4,4,4,4,4,4,4,4,4
6602099103,1,1,1,1,1,3,3,3,3
54894458400,5,5,6,6,6,6,6,6,6
22957171000,2,24,27,27,27,27,27,27,27
6701370635,27,27,27,27,27,27,27,27,27
57197241624,4,4,4,4,4,4,4,4,4
36466293100,4,4,4,4,4,4,4,4,4
35100019300,2,2,2,2,2,2,2,2,2
23010993000,23,23,28,28,28,28,28,28,28
23983301500,4,4,4,4,4,4,4,4,4
16635214000,15,15,34,34,36,36,36,36,109
7202271993,6,6,7,7,7,7,7,7,7
24467169200,4,4,9,9,9,9,9,9,9
36614482400,22,22,22,22,86,86,115,115,141
7407523188,25,25,28,28,34,34,36,36,40
12645466300,7,7,7,7,7,7,7,7,7
13009190200,8,8,8,8,8,8,8,8,8
7405766735,2,2,2,2,2,2,2,2,2
26422619000,5,5,5,5,5,5,5,5,5
56461694800,4,4,4,4,4,4,4,4,4
25822794700,26,26,31,31,31,31,39,39,39
6603989798,6,6,6,6,6,6,6,6,6
