Unnamed: 0,ID,2014,2015,2016,2017,2018,start_year
1732,53984089800,1,1,1,1,1,2014
1735,49962985800,8,9,9,9,9,2014
1752,7004440552,13,13,13,13,13,2014
1783,24070104000,6,6,6,6,6,2014
1802,56515509200,31,31,31,31,31,2014
1817,55912205900,2,2,2,2,2,2014
1848,7003642653,5,5,5,5,5,2014
1904,56872545300,6,6,6,6,6,2014
1913,56304222900,2,2,2,2,2,2014
1918,34870369100,1,1,1,1,1,2014
1922,15074491000,12,12,12,12,12,2014
1939,8840160700,7,7,7,7,13,2014
1948,57193917441,3,3,3,6,6,2014
1951,55670342800,6,7,7,7,11,2014
1969,56421924000,12,12,12,12,12,2014
1987,12763115200,5,5,5,5,5,2014
2001,36963848900,2,2,2,2,2,2014
2074,54973971200,15,36,36,36,36,2014
2132,56410509700,3,3,3,3,3,2014
2141,55175232000,5,5,5,5,5,2014
2146,6507020806,5,5,5,5,5,2014
2180,56650986300,2,2,2,2,2,2014
2186,6603706866,1,1,1,1,1,2014
2191,23009970700,2,2,2,2,2,2014
2203,28568150400,2,2,2,2,2,2014
2210,6602580646,3,3,3,3,3,2014
2221,55880387500,9,9,9,9,9,2014
2229,8538768800,10,10,10,10,10,2014
2230,6603447947,6,6,9,9,9,2014
2242,57188837260,6,6,6,6,6,2014
2243,56303861600,3,3,3,3,10,2014
2255,54957019000,2,2,2,2,2,2014
2272,14052002000,3,3,3,3,3,2014
2274,56298323100,8,8,8,8,23,2014
2292,56352532300,2,2,2,2,2,2014
2312,55921184300,2,2,2,2,2,2014
2313,8553096800,4,6,6,6,6,2014
2319,26659171200,9,9,9,9,9,2014
2323,55745218900,17,17,17,17,17,2014
2344,56400932000,3,3,3,3,3,2014
2394,55813744700,2,2,2,2,2,2014
2422,55064235900,3,11,77,77,77,2014
2430,36013692000,15,18,18,18,18,2014
2440,36700746300,13,13,14,14,14,2014
2447,6507036738,5,5,5,5,5,2014
2472,6603501558,2,2,2,2,2,2014
2518,36728470800,4,4,4,4,4,2014
2549,56428866800,2,2,3,3,3,2014
2568,55325698800,3,3,3,3,3,2014
2641,7005908147,4,4,4,4,4,2014
2645,6602158037,5,5,5,5,5,2014
2690,7005842788,11,11,11,11,11,2014
2710,55897918000,4,4,4,4,4,2014
2746,8555264800,4,4,4,7,7,2014
2760,7004313790,1,19,61,61,61,2014
2791,55386096200,3,3,3,3,3,2014
2803,56784272300,3,3,3,3,3,2014
2836,55888041500,2,2,4,4,4,2014
2873,56884348800,2,2,2,2,2,2014
2876,55080111500,3,3,3,3,3,2014
2877,56784395900,11,11,11,11,11,2014
2932,6507074697,10,10,10,10,10,2014
2942,16453973000,43,43,43,43,57,2014
2946,57199286635,6,6,6,6,6,2014
2964,55935801300,5,5,5,5,5,2014
3014,57204549001,4,4,4,4,8,2014
3044,26027138700,5,5,5,5,5,2014
3053,56592109900,2,2,2,2,2,2014
3070,35964277500,11,11,16,16,16,2014
3079,47962477400,5,5,5,5,5,2014
3136,12753945200,41,41,41,41,41,2014
3140,56346223700,12,12,12,12,12,2014
3146,56275453500,8,8,8,8,11,2014
3151,56112940300,11,45,49,49,49,2014
3160,7006321608,4,5,5,5,5,2014
3171,56515358500,7,22,24,24,24,2014
3244,56594178500,2,2,2,2,2,2014
3264,42262237300,1,1,1,1,1,2014
3277,7202942195,4,4,4,4,4,2014
3344,35379576100,3,3,3,3,3,2014
3350,35190134000,6,6,6,6,6,2014
3365,56160592500,2,2,4,4,4,2014
3380,56313356700,7,7,7,7,7,2014
3390,15828193000,41,41,62,62,62,2014
3394,35955715700,2,2,2,2,2,2014
3395,55542037700,12,12,12,12,12,2014
3401,24544861300,7,7,7,7,7,2014
3404,56323509500,4,4,4,4,4,2014
3443,38861546800,6,6,6,6,6,2014
3446,56731120300,4,6,6,6,6,2014
3469,56898971000,2,2,2,2,2,2014
3482,48661352700,4,4,4,7,7,2014
3491,6506654142,5,5,5,5,5,2014
3558,57202193726,3,3,3,3,3,2014
3579,7103229351,29,29,51,51,51,2014
3608,7004375763,4,4,4,4,4,2014
3621,35107616800,8,8,8,8,8,2014
3639,56178546800,2,2,2,2,2,2014
