Unnamed: 0,ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
3470,7004013739,14,14,14,14,14,14,14,17,17,17,23,23,39,39,39,2004
3488,7003270243,1,1,1,1,1,1,1,7,7,11,12,12,12,13,13,2004
3510,22433995000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
3526,7407281737,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2004
3619,55392058600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
3641,8713780500,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
3686,7006539056,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2004
3708,23501520800,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,2004
3855,7004656509,1,1,1,1,1,1,1,1,16,16,16,16,16,16,16,2004
3874,6506457551,14,14,14,14,14,14,14,14,16,16,16,16,89,100,172,2004
3880,24462188800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
3887,23668078700,3,8,8,8,8,8,8,8,29,29,29,29,29,29,29,2004
3911,24757890200,71,71,71,71,86,86,86,86,86,86,86,86,86,86,86,2004
3930,12545571900,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2004
3951,7202736479,17,17,17,21,21,21,21,21,30,30,30,38,38,43,43,2004
3956,21933738000,7,7,7,12,12,12,12,12,12,12,12,12,12,12,12,2004
3966,7003564686,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
3993,9536505600,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
4018,12761647800,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
4057,7404246987,5,7,7,7,7,7,7,7,7,7,7,89,89,89,89,2004
4061,8082491200,1,3,3,5,5,5,5,11,12,13,13,14,22,25,25,2004
4069,22433769400,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,2004
4075,6603753662,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2004
4083,8928429100,4,6,11,13,13,13,13,13,13,18,18,18,18,18,18,2004
4097,7005407816,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2004
4143,6603337889,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
4155,7004299611,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2004
4162,6506063537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
4166,11043515300,2,2,2,2,3,5,5,7,7,7,11,11,11,11,21,2004
4190,6507561781,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
4351,6701512211,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
4436,22333317700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
4489,25030814700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
4540,14037987000,1,1,5,6,8,12,21,30,37,45,45,45,46,50,51,2004
4577,12140451800,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2004
4650,6701444535,20,20,20,20,21,21,21,21,21,21,21,21,21,25,25,2004
4693,6701603422,1,3,3,3,3,4,4,4,4,4,4,4,4,10,10,2004
4748,22334423400,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,2004
4929,6602799668,1,1,5,6,9,9,9,11,11,11,11,11,11,11,11,2004
5033,36742543600,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
5045,34567738300,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2004
5099,6701679633,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
5107,7101796750,12,12,12,12,12,19,35,35,35,35,35,35,35,35,35,2004
5123,7003616265,6,6,6,6,6,6,6,6,6,6,13,13,13,13,13,2004
5200,7003493214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
5215,9278813000,3,3,3,5,11,11,11,11,11,11,11,11,11,11,11,2004
5324,8314524400,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
5351,7005997172,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2004
5352,57074915800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
5382,7003787941,5,6,7,9,9,12,12,12,18,22,22,22,22,22,22,2004
5383,7004101038,3,3,7,8,8,8,8,8,8,8,8,8,8,11,11,2004
5392,15755088100,3,4,4,4,5,5,5,11,11,13,25,30,30,30,42,2004
5484,7003642148,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
5503,6504356396,2,2,2,2,2,2,2,2,5,20,20,22,22,23,23,2004
5564,55007287600,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
5576,8281318900,6,6,6,9,14,14,14,29,41,41,47,47,47,47,47,2004
5584,7401912597,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
5653,6602805293,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2004
5676,22834457700,1,12,13,18,23,27,45,48,49,54,69,71,72,72,74,2004
5701,55938453600,2,2,2,2,4,5,7,7,7,7,9,9,9,9,9,2004
5717,35309166300,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,2004
5721,6701503288,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
5774,7102858285,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2004
5780,55970284600,4,4,4,4,4,4,4,4,4,8,8,8,15,19,19,2004
5794,8949740600,2,8,8,8,8,8,12,12,12,12,12,12,12,12,12,2004
5808,22034686200,2,3,4,4,4,5,8,8,8,11,11,11,11,11,11,2004
5906,8910781800,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
5914,8054113400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
5957,22333888700,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2004
6004,7801580973,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
6031,8298204100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
6134,7005888473,4,4,4,4,4,4,4,4,10,10,10,10,10,10,10,2004
6154,12786067400,5,5,5,5,17,17,17,17,17,17,17,17,17,17,17,2004
6218,6701447488,9,9,9,9,9,9,9,9,9,17,17,17,17,17,17,2004
6237,8258481800,2,2,2,2,4,4,6,6,6,6,6,6,6,6,6,2004
6270,15130489300,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2004
6322,7003479713,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
6355,6504388111,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,2004
