Unnamed: 0,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
19797,56217266300,3,3,3,3,6,9,9,16,16,21,25,26,26,26,26,29,33,33,35,38,38,38,38,38,44,44,44,46,47,1990
20534,6601910751,3,6,6,8,11,13,13,13,16,19,19,19,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1990
20811,6602989345,3,3,3,3,3,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1990
21263,7003713333,2,2,2,5,5,5,8,9,13,13,15,16,16,16,16,16,16,16,16,17,34,34,34,34,43,51,56,57,61,1990
21421,7402408551,2,2,2,2,3,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,13,13,17,1990
21440,7005351394,2,4,8,12,12,14,17,18,19,19,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1990
21484,7101684209,3,3,3,3,3,3,3,3,3,3,3,3,3,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1990
21668,7202187914,7,7,8,8,9,13,13,14,17,19,20,23,24,25,29,34,34,35,40,41,41,53,54,62,67,67,71,71,71,1990
21805,57162909900,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1990
22112,6602092773,3,3,5,5,8,9,11,11,15,15,17,19,19,26,26,28,31,31,31,31,31,32,34,34,34,34,34,34,34,1990
22198,55574349600,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1990
22359,7201406379,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1990
22534,55957506100,7,7,7,8,10,10,10,10,12,13,16,17,19,23,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,1990
22727,6603852061,5,5,5,5,13,13,13,13,47,47,55,55,55,55,55,55,55,55,55,55,91,94,114,114,114,114,114,114,114,1990
23418,7005014340,4,4,4,4,4,4,4,4,4,8,14,14,20,20,20,20,32,32,32,32,41,56,84,84,84,84,91,91,97,1990
23869,7004526866,7,7,7,7,10,10,10,10,10,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1990
23993,7005814193,7,7,10,12,17,17,24,39,48,63,63,80,82,100,107,111,123,138,140,140,142,178,178,178,178,198,198,207,207,1990
23999,35894696800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1990
24142,23118728100,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1990
24186,6601963489,1,1,3,3,5,6,7,7,7,10,15,17,17,17,21,21,24,26,26,27,28,33,35,38,38,39,41,41,43,1990
24595,6602567885,2,2,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,1990
24715,6603240566,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1990
24786,7202218434,5,5,7,7,7,11,12,14,16,16,17,17,21,23,24,29,31,48,75,79,84,87,100,110,114,122,125,138,142,1990
24791,7005106453,2,2,2,2,3,6,6,7,8,9,12,21,26,31,33,47,50,53,55,62,64,68,73,82,90,93,100,105,119,1990
24811,7005337720,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1990
24828,56250643200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,1990
24856,6701849067,2,5,5,6,8,10,11,13,13,17,17,17,17,17,17,17,19,20,20,21,21,23,23,24,25,27,27,27,27,1990
24867,7102720862,7,7,7,7,7,7,11,11,11,11,11,11,15,23,23,23,29,29,30,30,30,30,30,30,30,30,30,30,30,1990
24881,7006661572,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1990
25019,6603976320,1,1,1,1,1,2,2,2,3,5,6,6,6,12,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,1990
25216,8561545400,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1990
25409,7102786032,1,2,12,12,12,12,12,12,19,19,20,23,23,23,23,29,34,41,43,56,57,62,68,77,94,100,100,108,108,1990
26602,7003681209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1990
26843,6603905460,2,2,2,2,2,2,2,2,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1990
