Unnamed: 0,ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
3851,7004397037,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2003
3876,8402571300,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
3975,6603875746,20,20,20,20,20,20,20,22,22,22,22,22,22,26,26,26,2003
4016,6602165045,2,2,5,5,5,5,6,6,6,6,6,6,6,6,6,6,2003
4024,55931757300,12,17,17,17,17,17,17,17,17,17,17,17,26,26,26,26,2003
4028,57205552301,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
4049,6506295890,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,2003
4052,7402460809,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
4218,22735527600,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2003
4265,6603805587,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
4266,14027940900,5,5,6,9,9,9,9,9,9,9,9,9,9,9,9,9,2003
4324,23007855500,1,1,1,1,3,3,6,6,6,6,6,6,6,6,13,13,2003
4329,15732905200,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2003
4347,13606037600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
4366,6506903093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
4368,56265106600,16,16,16,16,16,16,16,16,16,16,16,25,25,45,45,46,2003
4371,56354044400,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
4390,25630081900,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2003
4461,6602352567,6,6,6,13,13,13,13,13,13,13,13,13,13,13,13,13,2003
4521,21742940700,4,4,4,12,12,12,12,12,12,12,12,12,12,12,12,12,2003
4522,6602393722,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
4531,7006044640,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
4541,6507442954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
4571,6701846217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,2003
4590,8724544000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
4719,14042971800,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
4737,7801616918,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,2003
4748,22433899500,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,2003
4793,6701912610,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
4808,55433794500,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,2003
4826,12785042700,2,2,2,4,4,4,9,9,9,9,9,9,9,11,11,11,2003
4841,56096502700,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
4862,6701744566,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2003
4878,14026359700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
5033,6506534147,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2003
5140,6701763678,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2003
5265,6602503489,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
5288,8963444600,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
5301,6506837991,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
5340,57198257152,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2003
5352,55033300100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
5363,7004713298,6,7,7,7,19,19,23,23,23,23,23,28,28,28,28,28,2003
5371,6603895934,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
5416,8255442800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
5444,6602196721,5,5,5,5,18,47,52,52,52,52,52,58,58,58,58,58,2003
5507,56014960400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2003
5600,6508006990,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2003
5712,7004838471,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
5748,8095997900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
5768,7103319585,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2003
5801,6603487878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
5809,24071484800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
5861,7501641079,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
5901,6603331919,3,4,6,6,6,9,12,12,12,12,12,12,12,16,16,16,2003
5966,6506209570,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
5991,6508162011,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
6046,6603432338,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
6061,6601955695,5,5,5,9,13,13,16,16,16,23,23,23,25,30,31,31,2003
6064,35804030200,7,14,22,34,34,56,70,119,127,148,168,168,183,190,201,205,2003
6072,15036941800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
6129,36889783400,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
6162,6506542717,26,26,26,26,26,26,39,66,66,66,73,73,73,73,73,73,2003
6225,57204379992,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
6248,9741207000,1,1,1,1,1,1,7,8,8,8,9,10,13,15,18,20,2003
6255,7103276193,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
6278,22735739100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
6332,24331241600,2,2,2,2,11,11,11,13,13,13,13,13,13,13,13,13,2003
6391,55970479400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
6393,6507000363,1,1,2,2,2,6,35,48,66,91,98,105,115,117,124,126,2003
6435,7005407753,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2003
6441,6603724515,4,4,4,4,4,4,4,4,4,4,8,8,8,12,13,13,2003
6534,6508083309,2,2,3,4,4,6,6,8,17,19,22,23,24,30,32,34,2003
6583,57198882177,5,5,11,12,12,12,12,13,13,13,13,13,13,13,13,13,2003
6604,8568976300,3,4,5,9,13,15,22,27,41,47,65,70,79,83,84,89,2003
6623,24323719000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
6677,57204498955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
6762,6507959113,2,2,3,3,3,8,8,8,8,10,10,10,10,10,10,10,2003
6830,7202134376,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2003
6833,6603886662,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2003
6838,18635570000,3,3,3,7,7,10,10,16,16,19,22,22,25,25,31,34,2003
6847,56857823300,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,27,2003
6867,7103002082,4,6,6,6,7,7,8,8,8,13,13,13,17,23,23,23,2003
6913,6506528884,2,3,3,3,3,5,8,9,9,9,12,13,18,18,25,32,2003
6922,8662248900,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,2003
6952,6506145703,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9,9,2003
6971,6604057211,4,4,4,4,4,7,7,8,9,11,16,17,22,22,28,28,2003
6996,6506190603,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2003
7024,6507427250,5,7,7,7,8,11,13,13,22,24,25,27,29,30,37,46,2003
7046,7201649249,7,7,7,7,7,7,7,7,7,7,7,7,14,14,16,16,2003
7077,8940894600,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
7126,6602293409,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
7180,35375397400,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2003
7224,6603641984,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
7241,6507984963,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
7372,8522074700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
7393,23995225200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
7441,56971081500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
7472,57198767311,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2003
