ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9734164200,2,2,2,2,2,2,2,2,2,2
7402296705,37,37,37,37,37,37,37,37,37,37
34969831000,2,2,4,5,5,11,12,15,15,15
35226223800,2,2,2,2,4,4,4,4,4,6
25651775900,0,0,5,5,5,7,10,10,10,10
35721565900,0,0,0,0,0,0,0,0,2,2
53664350300,0,0,0,0,0,0,0,27,27,47
55660948300,0,0,0,0,0,0,0,43,43,49
6508292183,2,2,2,2,7,8,11,13,13,13
27267717500,4,6,6,6,6,6,6,6,6,6
57191251520,5,5,5,5,5,7,7,13,13,13
9639614300,0,0,0,0,0,0,3,3,3,3
35333643900,5,13,15,15,15,19,19,19,19,19
35361712600,2,2,3,6,7,7,12,21,22,24
55362598400,0,0,0,2,2,2,2,2,2,2
57202975587,0,6,6,6,6,6,6,6,6,6
7101619950,0,0,19,19,23,23,23,23,23,23
16241201600,0,0,0,0,0,0,2,2,2,2
14023521200,0,0,0,0,0,0,0,9,9,9
56027434700,5,7,8,13,13,13,13,13,13,13
42462691000,0,0,0,0,0,2,2,2,2,2
26531500400,2,2,4,8,10,10,10,10,10,10
27867462900,2,4,4,5,5,5,5,5,5,5
35101453400,5,5,5,7,7,7,7,7,7,7
6603575650,0,0,0,0,2,2,2,2,2,2
55449586800,0,0,0,0,0,1,1,1,1,1
12244761800,0,0,18,18,18,18,18,18,18,18
36105629400,2,2,3,4,5,8,9,12,13,15
6506221360,0,0,0,0,0,0,0,0,5,5
26428945700,4,4,4,4,8,8,8,8,8,8
23967631600,0,0,0,0,0,0,0,5,5,5
7404433822,4,4,4,4,4,4,4,6,6,6
7004496690,0,12,12,12,12,12,12,12,12,12
27567489500,5,5,7,7,7,7,7,7,7,7
55607798900,0,0,0,0,0,2,2,2,2,4
36022319400,3,3,3,3,4,4,4,4,4,4
36637217700,0,4,4,4,4,4,4,4,4,4
6603707763,5,5,5,5,5,5,5,5,5,5
24588089900,5,5,5,5,5,5,5,5,5,5
35776481100,4,4,7,8,8,8,8,9,9,9
34978824200,1,1,1,2,2,2,2,2,2,2
23499363900,0,0,0,0,0,14,14,14,14,14
8509434700,0,0,0,0,0,0,0,11,11,11
6701726564,2,2,2,2,2,2,2,2,10,10
35178719500,4,4,4,4,7,10,10,10,10,10
36797463300,6,6,6,10,10,16,18,18,25,27
16647320500,2,2,2,2,3,3,3,4,5,5
35181657100,0,0,0,0,0,0,0,0,0,7
38663419600,6,6,19,19,21,21,21,21,21,21
33068417100,0,0,0,0,0,4,4,4,4,4
26431908600,16,16,16,16,16,16,16,16,16,16
