Unnamed: 0,ID,2012,2013,2014,2015,2016,2017,2018,start_year
4380,55796177200,2,2,3,3,3,3,3,2012
4401,55262961400,2,5,8,8,8,8,8,2012
4426,55448480500,6,6,6,6,6,6,6,2012
4461,56032852100,4,4,4,4,4,4,4,2012
4541,7005444229,2,2,2,2,2,2,2,2012
4554,7101958481,9,9,9,9,9,9,9,2012
4563,23477877600,3,3,3,3,3,3,3,2012
4569,36163895900,8,10,15,17,17,17,17,2012
4573,7004065769,8,8,8,8,13,13,18,2012
4582,56731178100,6,6,6,6,6,6,6,2012
4583,6701496531,5,5,5,5,5,5,5,2012
4599,55372103800,6,6,6,6,6,6,6,2012
4612,6506673194,10,10,10,10,10,10,10,2012
4621,8935567300,4,4,4,4,6,6,19,2012
4638,55336399400,3,3,3,3,3,3,3,2012
4643,7005662649,5,20,29,45,51,55,60,2012
4654,37090425600,2,2,2,2,2,2,2,2012
4655,50861179800,6,6,6,7,7,7,7,2012
4658,57198348288,4,4,4,4,4,4,4,2012
4660,6603426387,10,10,10,10,10,10,10,2012
4704,57198919746,4,4,4,4,4,4,4,2012
4714,7101712588,4,5,5,5,5,5,5,2012
4719,57147735200,4,4,4,4,4,4,4,2012
4724,24435012300,13,13,13,13,13,13,13,2012
4731,6701413027,43,43,43,43,43,43,43,2012
4739,15836352200,2,7,14,14,15,18,20,2012
4751,13610256500,8,8,8,8,8,11,11,2012
4781,7102250485,2,3,3,3,3,3,3,2012
4837,55308181400,3,3,4,4,4,5,8,2012
4855,55616813500,2,2,2,2,2,2,2,2012
4858,51565545800,3,3,3,3,3,3,3,2012
4870,35901346400,6,6,6,6,6,6,6,2012
4882,8338014700,13,13,13,13,13,13,13,2012
4887,8847615900,3,3,3,3,3,3,3,2012
4898,44060901700,7,7,7,7,7,7,7,2012
4899,55491042200,2,2,2,2,2,2,2,2012
4955,55431220900,2,2,8,8,8,8,8,2012
4977,55576323200,6,6,6,6,6,6,6,2012
4978,7007024889,10,10,10,10,10,10,10,2012
5011,55958554700,4,4,4,4,4,4,4,2012
5012,57195202513,8,8,8,8,8,8,8,2012
5019,27867636900,3,4,4,4,4,4,4,2012
5022,6701588408,5,5,5,5,5,5,5,2012
5033,57192676114,13,13,13,13,13,13,13,2012
5054,54684322600,10,10,10,10,10,10,10,2012
5071,49360979100,2,3,4,4,4,14,16,2012
5085,8927832400,6,6,6,6,6,6,6,2012
5087,7402343361,3,3,3,3,3,3,3,2012
5106,54976138000,4,4,4,4,4,4,4,2012
5155,55498146000,6,6,6,6,6,6,6,2012
5162,55307733700,2,2,2,4,4,4,4,2012
5205,7403193548,2,2,2,2,2,2,2,2012
5260,8697753500,7,7,7,7,7,7,7,2012
