Unnamed: 0,ID,2017,2018,start_year
3065,57190050182,2,2,2017
3107,57200274200,9,9,2017
3126,56829994700,1,1,2017
3132,6603619556,13,13,2017
3156,23994545300,16,16,2017
3179,7006811629,4,4,2017
3193,55889370900,23,23,2017
3203,57190444573,4,4,2017
3208,57191276563,3,4,2017
3210,56582295800,3,3,2017
3229,50561062400,4,4,2017
3232,7007012346,4,4,2017
3234,57199388373,3,3,2017
3235,55321570300,4,4,2017
3282,37461890200,3,3,2017
3283,57194500988,4,5,2017
3292,35317963900,3,3,2017
3314,57195305007,5,5,2017
3322,56274451800,7,7,2017
3325,7003297659,8,11,2017
3326,17435027800,61,61,2017
3337,35104887500,3,3,2017
3346,57200701276,4,4,2017
3372,6602612176,4,4,2017
3379,6701862415,2,2,2017
3380,7102139396,2,2,2017
3381,6603858484,3,3,2017
3393,55777215000,7,8,2017
3394,57021488500,4,4,2017
3410,57200083174,61,61,2017
3430,7005185674,9,9,2017
3445,7003966366,27,56,2017
3453,57195469032,5,7,2017
3469,57201417558,6,6,2017
3478,55326383600,4,4,2017
3502,6506444874,2,2,2017
3511,57200692995,5,5,2017
3518,57195227476,4,6,2017
3530,57192923953,5,5,2017
3542,8560831300,9,9,2017
3570,57196019189,5,5,2017
3572,57205539545,3,3,2017
3598,57200190334,5,5,2017
3637,57204080945,1,1,2017
3666,7801380789,1,1,2017
3692,57200369886,14,14,2017
3696,7004603715,6,6,2017
3713,57188628724,5,5,2017
3727,37087477000,9,9,2017
3733,8369212900,4,4,2017
3789,57195676199,3,4,2017
3810,6603481663,4,4,2017
3812,56016714200,12,12,2017
3819,6602905289,5,5,2017
3846,55917698800,6,8,2017
3861,6508164327,17,17,2017
3870,57196147894,4,4,2017
3879,6701748672,5,5,2017
3898,57194426990,4,4,2017
3908,56660563400,2,2,2017
3910,56921855800,4,4,2017
3922,11142129500,12,12,2017
3925,56405568500,11,11,2017
3939,56274710600,1,1,2017
3945,23493217600,12,12,2017
3956,15757819200,2,6,2017
3959,16837019000,12,12,2017
3968,57192154695,3,3,2017
3993,56126458200,3,3,2017
4009,57195931471,4,4,2017
4036,6602155211,2,2,2017
4038,56342624900,3,3,2017
4047,55337000000,2,2,2017
4059,23396447700,5,5,2017
4061,57195333774,3,3,2017
4075,57191612645,3,9,2017
4080,57197827882,2,2,2017
4096,57193713266,2,2,2017
4128,24724324700,27,27,2017
4134,6602420954,9,9,2017
4141,6602398434,10,10,2017
4145,57194556018,9,9,2017
4151,57195715169,3,3,2017
4178,57201417442,7,7,2017
4191,57195634341,4,4,2017
4204,56228784000,6,6,2017
4225,37020685900,4,7,2017
4229,57192926056,20,20,2017
4232,56412020800,21,21,2017
4235,7006862860,8,8,2017
4236,45161739400,2,2,2017
4278,26535396600,2,2,2017
4281,57190014759,3,3,2017
4298,55407127000,6,6,2017
4314,56410036200,5,5,2017
4326,57196346778,3,3,2017
4333,57191342816,9,9,2017
4338,56561114200,41,41,2017
4344,55847793900,5,5,2017
4350,57197561786,2,2,2017
4359,57191445718,3,3,2017
4362,26868210200,5,5,2017
4371,57201357905,4,4,2017
4374,8285298400,4,4,2017
4379,24474769800,6,6,2017
4382,15062734100,6,6,2017
4416,57203178190,4,4,2017
4438,26640856900,16,16,2017
4458,52664004600,2,2,2017
4476,54901455300,28,28,2017
4525,57199323870,4,4,2017
4527,8513914000,4,4,2017
4566,6603216160,5,5,2017
4567,57194712330,4,4,2017
4574,55006046000,3,5,2017
4580,57203211113,3,3,2017
4588,56500683000,3,10,2017
4589,6602558845,4,6,2017
4597,24080660300,3,3,2017
4676,7801654515,5,5,2017
4729,57189234034,3,3,2017
4756,56434720200,6,6,2017
4794,36170693600,9,9,2017
4813,6701684924,5,7,2017
4818,56785216700,4,4,2017
4827,55504329200,8,8,2017
4853,57202308487,3,3,2017
4865,23768005200,8,26,2017
4874,57197853077,2,48,2017
4885,7004134341,28,28,2017
4892,57194786974,4,4,2017
4899,56805740800,17,17,2017
4902,16554989900,5,5,2017
4909,57126329000,9,9,2017
4912,7004622724,11,11,2017
4924,57200624978,2,2,2017
4930,55612733500,3,13,2017
4935,24740729300,3,3,2017
4938,57190839671,5,7,2017
4955,56027769000,3,3,2017
4960,57194168784,6,6,2017
4961,57205043104,4,4,2017
4967,57195937892,10,10,2017
4979,6506008049,8,8,2017
4982,14024984100,12,12,2017
4983,57189875749,2,2,2017
4998,57192888415,4,4,2017
5015,57196245606,2,3,2017
5016,57195072131,3,3,2017
5034,57198500847,2,2,2017
5038,6602655769,1,1,2017
5052,57188784688,27,27,2017
5054,7203063627,39,43,2017
5058,57195643695,5,5,2017
5092,57200169399,7,7,2017
5164,57194195045,4,4,2017
5195,57195358151,4,4,2017
5200,24337676600,5,5,2017
5213,37111124200,7,7,2017
5252,7102705657,17,17,2017
5257,55919206200,5,5,2017
5266,57195931608,3,3,2017
5312,35190738900,5,5,2017
5320,24281334500,3,3,2017
5322,57189683517,5,5,2017
5327,57195674023,3,3,2017
5329,56242214600,10,10,2017
5332,8220093200,5,5,2017
5334,55626887900,5,5,2017
5354,57195233367,3,3,2017
5358,55196572200,3,3,2017
5360,57192650385,5,8,2017
5381,37108483900,4,6,2017
5402,57197751733,28,33,2017
5413,14017643700,5,5,2017
5417,6603364347,1,1,2017
5418,57196708489,12,12,2017
5420,57191681060,2,2,2017
5421,55718714400,2,2,2017
5433,57188971568,4,6,2017
5448,55953727400,42,42,2017
5450,57013854300,11,12,2017
5453,55922851600,4,4,2017
5467,55929478400,15,15,2017
5470,7101716601,61,61,2017
5499,35194550900,3,3,2017
5545,24536664300,3,3,2017
5552,56196900400,2,2,2017
5559,6602335487,14,14,2017
5571,57193408117,2,2,2017
5578,26321223600,5,5,2017
5588,57193085235,1,1,2017
5594,21935067700,39,43,2017
5596,57201856992,2,2,2017
5632,57185079500,8,8,2017
5644,35304620800,7,7,2017
5649,7003816203,4,4,2017
5655,57168725500,12,12,2017
5656,57196348051,29,29,2017
5664,57194871120,3,3,2017
