ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6505769101,4,15,15,15,15,15,26,26,27,28,38,38,44,48,48,48,48
7003323696,6,6,6,11,11,11,11,11,11,11,15,17,28,28,28,32,35
7103298317,3,5,6,7,17,20,20,20,20,26,29,34,38,43,43,46,56
22952703300,18,26,26,30,30,30,35,35,35,35,49,49,49,49,49,49,49
6701451724,3,3,5,6,8,9,10,10,10,14,14,14,14,14,14,14,14
6603890691,4,5,5,10,10,10,10,10,10,10,10,10,20,20,24,24,24
55934522300,13,14,14,20,20,20,23,29,33,34,34,40,42,47,55,55,64
6603365991,25,25,28,28,33,41,41,41,41,54,56,57,61,64,64,67,79
35232955300,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7004354345,2,4,4,4,4,4,7,13,14,16,16,16,16,16,16,16,16
