ID,2013,2014,2015,2016,2017,2018
55354900900,4,4,4,4,4,4
56042729400,2,2,2,2,4,4
57203905637,38,38,38,38,38,38
37080501000,6,7,17,17,21,21
36519790100,2,2,2,2,2,2
7202251541,4,4,4,4,4,4
8372611900,22,22,22,22,22,22
7004096337,33,33,33,33,39,39
35145566200,5,5,5,5,8,8
56039895600,6,6,6,6,11,14
7005097988,15,15,15,15,15,15
55860258800,2,2,2,5,13,16
55844181000,4,6,7,7,28,41
7005152635,6,10,15,15,15,15
9637143300,5,5,5,5,5,5
7004220921,7,7,7,7,7,7
55961494900,1,4,8,8,8,8
7004451284,11,11,11,11,11,11
16304809400,12,12,12,22,25,32
56038201900,2,6,6,6,6,8
55871652300,2,9,10,14,14,14
55682283600,3,5,5,5,5,5
7102449111,8,13,18,18,20,20
23010591300,2,2,2,2,5,5
25928997500,4,9,11,15,15,15
16052722700,6,6,6,6,9,9
9741658700,7,7,7,7,7,7
56024941700,5,5,5,7,7,7
6602651006,17,17,17,17,17,17
56026403900,4,4,4,4,7,7
52464346000,7,8,13,16,17,17
37091339400,4,4,4,7,11,21
57203055457,3,3,4,5,7,7
55891653300,8,12,12,12,13,13
55143962000,3,3,3,3,3,3
36186148100,2,2,8,11,11,11
24512061400,10,14,18,32,34,42
55811141700,4,4,12,12,12,15
55561533700,3,5,7,9,11,11
38461282600,5,5,5,5,5,5
12544978000,4,10,20,20,20,29
8420954000,23,23,23,23,23,23
57203045286,23,23,23,23,23,23
55845084500,3,3,5,6,7,7
55925240600,2,4,6,6,6,6
14029990200,4,4,4,4,4,4
55377058200,3,3,3,3,11,11
6603898641,3,5,13,16,18,20
55646535500,10,36,38,39,43,43
24825746700,3,6,6,10,12,12
55897386300,6,8,8,8,8,8
55648254200,7,8,8,9,9,9
55955017400,3,13,25,33,35,36
6602659678,4,6,6,6,23,23
24554372400,16,16,16,16,16,16
7102207562,13,13,13,13,13,13
27868254300,5,5,8,9,12,32
55669553600,2,2,2,2,6,7
57188991929,8,8,8,8,8,8
8914562300,2,3,3,7,7,7
51663357100,5,5,5,5,5,5
55845945500,2,6,8,8,11,14
23011573300,5,5,5,5,5,5
7202610067,1,1,1,1,1,1
24402833300,9,9,9,15,15,15
54930506300,16,19,24,33,38,38
22433823000,5,6,6,7,13,22
6701854539,7,8,8,8,8,8
26031939200,3,5,7,9,9,14
35182844400,8,8,8,8,8,8
35241026200,9,9,9,9,9,9
55903839100,6,6,11,11,11,12
55861587100,10,16,20,23,32,34
6603777800,7,10,10,10,10,10
23091001900,7,7,17,17,17,17
7201966874,3,5,5,5,5,5
50861724000,6,10,22,30,39,45
57192213448,6,9,10,14,15,15
56028204600,4,4,4,4,5,5
36727455100,3,5,5,5,5,5
6701629250,21,21,21,21,21,21
55811907000,13,15,19,20,22,41
