ID,2013,2014,2015,2016,2017,2018
57194222463,23,23,23,23,23,23
56070906400,0,0,6,6,6,9
56633370700,4,4,4,4,4,4
57200141383,0,4,5,5,9,9
55925693900,12,12,12,12,12,12
56126466800,0,2,2,2,2,2
55953445000,7,8,10,10,10,10
24467169200,9,9,9,9,9,9
7402468478,0,0,4,4,4,4
7102627598,3,3,3,3,3,3
55830215700,3,3,3,3,3,3
7004603715,0,0,0,0,6,6
55453710300,0,0,0,1,1,1
35563129500,5,5,5,5,5,5
8369212900,0,0,0,0,4,4
55775642300,2,2,2,2,2,2
56225959400,4,4,4,4,4,4
55130614900,5,5,5,5,5,5
55642684500,2,2,2,2,5,5
15043309500,15,16,16,16,16,16
55933667200,2,2,2,2,2,2
55756079900,8,12,12,12,14,14
54416356100,4,4,4,4,4,4
55553008200,2,2,2,2,2,2
57198513169,0,5,5,5,5,5
56895625000,27,36,36,41,41,41
55816107300,2,3,3,3,3,3
55855458400,3,3,3,3,3,3
56303444200,0,5,5,5,5,5
55317872200,16,16,16,16,16,16
56348311800,3,3,3,3,3,3
7005028551,63,63,63,63,72,74
50861582000,4,4,4,10,10,20
55789904300,2,2,2,2,2,2
7202415604,0,0,4,4,4,4
24779538100,33,33,33,33,33,33
55515554200,5,5,5,5,5,5
6603851388,4,4,4,4,4,4
28567696800,2,2,2,8,10,10
55988347000,0,0,0,3,3,3
55556097300,6,6,6,6,6,6
57162106300,7,7,7,7,7,7
36800106400,7,7,7,7,7,7
55822439500,4,4,4,4,4,4
8285298400,0,0,0,0,4,4
57197257164,6,6,6,6,6,6
55816135100,4,4,4,4,4,4
54881277500,0,69,69,69,69,69
55902494300,5,5,5,5,5,5
55868833400,0,3,4,4,4,7
56263023800,0,10,10,10,10,10
36803339300,33,33,33,33,33,33
56331465000,3,3,3,3,3,3
55646529400,4,4,4,4,4,4
55511747632,2,2,2,2,2,2
56331124200,1,1,1,1,1,3
15042130400,10,10,10,10,10,10
55779053800,5,5,5,5,5,5
6602558845,0,0,0,0,4,6
57049821700,4,5,5,5,5,5
7102895761,17,17,17,17,17,17
54683504100,4,4,4,4,4,4
55755465400,4,4,6,6,6,6
56118537700,3,3,4,4,4,4
55372103800,6,6,6,6,6,6
34974962000,2,2,2,2,6,6
55336399400,3,3,3,3,3,3
56007566200,1,2,2,2,2,2
56007514200,0,0,0,9,9,9
55263354100,8,8,8,8,8,8
26025614100,6,6,6,6,6,6
55699137300,0,0,0,4,4,4
7004772662,6,24,38,38,38,38
56331412400,10,11,12,13,13,13
8982965500,3,3,3,3,3,3
24740729300,0,0,0,0,3,3
56415553000,4,8,8,8,8,8
55819801100,3,3,3,3,3,3
