ID,2012,2013,2014,2015,2016,2017,2018
42262314600,2,4,4,11,11,14,20
16178743600,4,4,5,5,16,20,24
49361581500,3,5,8,8,10,13,13
48560964100,3,7,7,7,15,26,26
23135908100,5,10,14,15,22,27,35
55891355800,8,8,8,8,13,13,18
36639436700,4,5,5,5,5,5,5
26534198600,3,3,4,4,4,4,4
7004771036,4,4,4,4,4,5,5
26649709300,6,6,6,6,6,6,6
55122881200,7,7,7,7,12,12,16
7003783391,2,2,4,7,16,21,21
55441727700,2,2,2,2,5,5,5
55537110200,1,1,2,2,7,14,14
36621680900,4,4,4,4,4,8,8
55370504600,3,3,3,7,8,8,8
22434004000,79,79,79,79,79,79,79
55541111200,4,4,28,28,50,50,50
57192980288,14,14,14,14,14,23,23
6603315841,6,6,6,6,6,6,6
24449697100,3,3,4,4,4,6,6
35239631100,40,40,40,40,40,40,40
55752631900,3,4,4,4,4,4,4
55554682500,3,3,3,3,4,7,24
35173474100,6,15,15,15,24,24,24
54394187300,1,5,5,7,14,14,14
56054951000,5,6,10,10,10,12,12
35422010300,30,30,30,30,30,30,30
55843995300,2,2,2,3,3,6,6
55361320600,2,8,8,11,11,11,11
54387248300,2,2,2,2,2,3,6
25925267200,9,9,11,11,11,11,11
6603921810,26,26,26,29,29,29,34
55616618400,5,8,9,9,12,13,16
6602104627,60,60,101,101,104,104,135
8569943600,2,2,2,2,2,2,2
36150027800,7,7,7,7,7,7,7
9237823100,5,5,5,5,5,5,5
56265450000,6,6,6,6,6,6,6
49561634000,1,1,1,1,1,1,3
36812228000,4,5,15,26,35,37,53
55574521900,1,1,3,3,3,3,3
55253052000,4,4,5,6,6,6,6
55568531620,2,10,10,25,28,29,35
55629754700,3,3,3,3,3,3,3
55356045700,4,4,8,15,15,15,15
55320824800,7,7,7,8,8,10,10
55358455200,4,4,10,10,17,17,18
16554673200,4,4,4,4,4,4,4
26422213700,3,3,3,3,3,3,3
55665050800,9,9,9,9,9,9,9
7403568063,8,8,8,8,19,19,19
55382357800,5,10,10,10,11,11,11
55658570000,10,10,10,13,13,13,13
55915985500,1,1,1,1,1,1,1
55605590500,3,4,11,12,13,13,13
55782071400,2,2,5,5,5,5,5
55357507300,2,2,2,2,2,2,2
55152408100,4,4,4,4,4,4,4
36131265600,1,6,6,6,6,6,6
6603690658,3,8,9,11,11,12,12
55830185200,13,13,13,20,21,21,21
55430993100,6,9,9,11,11,12,12
23974300900,7,14,14,31,36,40,44
16070579300,7,7,7,7,7,7,7
55549470900,68,68,104,104,104,104,134
38561116600,4,4,4,5,5,8,12
8392385200,42,42,49,49,49,49,49
55058001100,4,8,13,15,18,26,38
24461938900,2,2,3,7,7,9,9
26022303300,4,4,4,4,4,4,4
55336905000,4,11,17,17,20,21,21
55419885700,3,3,3,3,3,3,7
56207758700,6,6,6,6,6,6,6
14048801000,10,16,20,22,24,24,29
6602816008,4,4,4,4,4,4,4
55605210300,2,4,6,10,12,12,13
55930447700,3,3,19,19,19,19,19
55211950000,3,3,3,4,4,4,4
54988466700,8,8,8,49,49,49,49
23487783300,56,80,104,104,149,149,221
56209508400,4,4,4,4,4,4,4
6603496661,1,1,1,1,1,1,1
7102383844,3,6,6,6,6,6,6
55179067100,2,5,16,16,21,21,24
54385781700,85,85,85,85,85,85,85
55383481500,4,4,4,4,4,4,4
13406093700,12,12,12,12,12,12,12
55336254600,4,4,4,4,11,11,19
35076485500,1,1,1,1,1,1,1
55416011800,2,2,3,5,5,12,15
35516516600,5,13,13,13,19,19,28
7004364288,8,8,8,8,8,8,8
7003776979,11,11,11,11,14,14,14
8572643400,6,15,15,15,32,32,32
36809028000,40,40,40,40,40,40,40
15735951300,2,2,15,17,18,18,20
55446974100,6,9,13,13,14,14,14
23392457600,16,25,26,33,36,37,37
55555779500,4,4,4,8,8,8,8
55248331700,2,2,2,2,2,2,2
55263420600,18,18,23,24,24,24,24
54898029800,5,5,9,20,20,20,20
35735087200,3,3,3,3,3,3,3
55534957600,4,4,4,4,4,4,4
37107310300,3,9,12,12,15,15,15
7005497979,53,53,134,134,161,161,164
24830424500,4,4,4,4,22,38,45
10045240900,3,3,3,3,3,3,3
55576603100,2,2,3,4,6,6,6
36008960100,4,4,5,9,11,11,12
6701633522,6,6,6,6,6,6,15
