Unnamed: 0,ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
13267,6506818323,3,3,4,4,4,4,4,4,4,4,2009
13301,24071619900,6,6,6,6,6,6,6,6,6,6,2009
13330,14830791800,1,1,1,1,1,1,1,1,1,1,2009
13406,8699521700,3,5,11,11,14,26,26,26,29,33,2009
13439,26632522700,22,29,29,29,38,46,63,76,86,96,2009
13459,25421121100,6,6,11,11,14,15,15,15,15,15,2009
13469,27867989700,15,19,19,22,22,22,22,22,22,22,2009
13538,8726981300,2,2,3,3,3,5,5,7,7,9,2009
13840,7101729170,3,13,14,16,16,22,26,26,26,26,2009
13865,24462077800,3,3,7,8,8,8,8,8,8,8,2009
13902,26666437200,6,9,12,15,20,24,26,37,38,46,2009
14052,16199550800,6,6,13,13,13,16,16,16,26,26,2009
14053,7801359333,3,3,4,5,5,5,5,5,5,5,2009
14152,35485194600,4,4,4,4,4,4,4,4,4,4,2009
14268,21734454100,7,7,7,7,7,7,7,7,7,7,2009
14297,7003472739,2,76,76,87,111,115,118,138,141,146,2009
14306,9043442000,5,5,5,5,5,5,5,5,5,5,2009
14337,35320830400,5,5,7,8,8,17,18,19,19,19,2009
14464,7202770803,2,2,2,2,2,2,2,2,2,2,2009
14632,26431721500,2,3,3,3,3,3,3,5,5,5,2009
14773,16554770600,33,33,33,33,33,33,33,33,33,33,2009
14850,56411657500,4,4,4,6,6,12,16,19,21,21,2009
14877,24067385200,10,10,10,10,10,10,10,10,10,10,2009
14934,22034419000,2,2,2,2,6,6,6,6,8,8,2009
14968,36628043900,2,3,6,7,14,18,20,28,31,39,2009
14971,6507201627,7,7,15,20,23,23,26,26,28,28,2009
15052,35602731200,2,2,4,4,6,7,8,12,12,12,2009
15054,12759696100,6,6,6,6,6,6,6,6,6,6,2009
15079,37122308100,1,1,1,1,1,3,3,6,6,6,2009
15144,24175717400,2,2,2,2,2,2,2,2,2,2,2009
15352,25825272800,8,10,10,15,15,24,24,24,24,24,2009
15368,55903692200,32,32,32,32,32,32,32,32,32,32,2009
15427,36130752500,7,7,7,10,10,10,10,10,10,10,2009
15464,35191252300,6,11,15,18,21,30,33,33,34,35,2009
15553,9747547200,17,17,17,17,17,17,29,29,30,30,2009
15560,15926278500,2,2,3,5,6,7,7,8,8,8,2009
15609,6602079147,8,8,11,11,11,11,11,11,16,17,2009
15634,7102715022,10,10,10,10,10,10,10,10,10,10,2009
15656,35112499200,5,5,7,7,10,10,12,12,19,19,2009
15714,24802492900,3,3,7,10,10,10,12,12,17,27,2009
15807,35147165400,3,3,5,5,6,6,7,7,7,10,2009
15870,25721933800,8,8,8,8,8,8,8,8,8,8,2009
15877,24381596900,1,1,1,1,1,1,1,1,5,5,2009
15880,14123116300,2,2,2,2,2,2,2,2,2,2,2009
15896,30567479700,3,3,3,11,11,11,11,11,11,11,2009
15904,35078307800,2,2,4,14,14,19,23,23,24,24,2009
15949,6603889750,6,9,15,15,15,15,15,15,15,15,2009
15977,23485965400,4,4,4,4,4,4,4,4,4,4,2009
15990,35090345000,6,6,6,7,10,10,10,13,13,13,2009
16001,57202034106,13,13,13,13,13,13,13,13,13,13,2009
16083,55987798800,6,6,6,6,6,6,6,6,6,6,2009
16087,35114167900,4,4,4,4,9,9,9,9,9,9,2009
16175,23092055700,2,2,2,4,4,29,31,31,33,33,2009
16198,35148345100,4,5,5,5,5,5,5,5,5,5,2009
16268,23992765200,6,6,6,10,10,10,12,12,17,19,2009
16297,25649094700,4,4,4,4,4,4,4,6,7,7,2009
16412,7005865062,5,6,9,9,10,14,27,29,33,37,2009
16416,24497123500,5,9,11,11,15,23,32,37,51,57,2009
16418,25654655200,3,3,5,5,12,19,19,19,20,20,2009
16460,14042331100,18,18,18,18,18,18,23,29,29,29,2009
16549,6602123683,3,3,3,3,3,3,3,3,3,3,2009
16571,6505897865,16,17,21,22,24,24,33,39,45,50,2009
16594,35090097200,4,4,4,4,4,4,4,4,4,4,2009
16835,6602185423,4,4,4,4,4,4,4,4,4,4,2009
16870,57202676994,3,4,4,20,20,20,20,20,25,25,2009
16895,22949402700,12,12,12,12,12,12,12,12,12,12,2009
16930,7003594288,7,7,9,9,11,11,11,11,14,14,2009
16935,55362784200,2,2,8,11,14,21,25,27,27,27,2009
16970,12805594000,3,3,3,3,3,3,3,3,3,3,2009
17055,16300530100,7,7,7,7,7,7,7,7,7,7,2009
17130,34979362900,3,3,11,11,19,19,24,28,37,37,2009
17297,6602110828,12,15,15,15,17,17,23,23,23,23,2009
17330,24764874200,2,2,2,2,2,2,2,2,2,6,2009
17365,13008779100,4,7,10,11,13,13,14,14,15,33,2009
17428,24829511300,4,4,4,4,4,4,4,4,4,4,2009
17433,24491743200,3,4,4,10,11,14,17,17,21,26,2009
17497,6602683160,20,20,20,20,20,20,20,20,20,23,2009
17561,24167387000,7,7,7,7,7,8,8,8,8,8,2009
17585,35264831200,1,1,1,1,1,1,1,1,3,3,2009
17593,6508153210,3,3,3,9,9,9,9,9,9,17,2009
17670,7006108166,2,2,2,2,2,2,2,2,2,2,2009
17894,55448050500,1,1,1,1,1,15,15,18,18,18,2009
18190,55930335200,7,7,8,15,21,24,31,39,40,41,2009
18213,6602097184,8,8,11,11,11,11,11,11,16,17,2009
18253,56252915900,2,4,4,4,4,8,9,11,11,11,2009
18260,7102271566,4,4,4,4,4,8,8,22,23,24,2009
18263,10043022500,10,15,22,22,23,23,23,23,23,23,2009
18276,6507605862,10,10,10,10,10,10,10,10,10,10,2009
18305,24923512600,7,7,7,8,8,15,16,22,23,27,2009
18307,35593842400,4,4,4,8,9,9,9,9,9,9,2009
18339,18833652300,3,3,3,3,3,3,3,3,3,3,2009
18380,35253546700,4,4,4,9,9,9,9,9,9,9,2009
18448,35298609700,13,13,19,19,65,126,126,126,126,126,2009
18585,6506994414,2,5,5,5,9,9,13,13,18,19,2009
18753,8889561900,5,5,5,5,5,5,5,6,6,6,2009
18760,25959020900,1,1,1,2,3,3,3,3,3,3,2009
18785,34870462400,3,3,3,3,3,3,6,6,6,7,2009
18797,6506152485,8,15,15,15,15,15,15,19,19,19,2009
18884,23012726100,1,3,4,4,5,10,10,10,10,16,2009
18918,8937184300,8,8,8,12,12,12,12,12,12,12,2009
18981,26428731500,2,3,12,12,15,15,15,15,15,15,2009
19095,6701451322,19,32,35,35,36,52,52,52,54,58,2009
19147,6603704718,2,2,2,2,2,2,2,2,2,2,2009
19169,22133620600,4,4,4,4,4,9,9,10,11,11,2009
19189,7005527701,12,15,15,15,15,15,15,15,15,15,2009
19242,6701810606,3,3,3,3,3,3,3,3,3,3,2009
19325,35072763200,3,3,4,5,5,5,5,5,5,5,2009
19346,35408507800,2,3,5,5,5,8,8,8,8,8,2009
19444,6701679993,8,12,12,12,12,12,12,12,12,12,2009
19507,12446001600,5,5,5,5,5,5,5,5,5,5,2009
19533,26657132000,5,5,9,11,11,11,11,11,11,11,2009
19548,34976922900,6,8,8,8,8,8,8,8,8,8,2009
19561,6602320002,9,9,9,9,9,9,9,9,9,9,2009
19568,10639908200,13,13,13,13,13,13,13,13,13,13,2009
19710,35092224500,19,19,19,19,19,19,30,30,30,30,2009
19771,35190842700,5,5,5,5,5,5,5,5,5,5,2009
19823,6602400232,21,21,21,21,21,21,21,21,21,21,2009
19850,35179044200,4,6,8,8,15,15,15,15,15,15,2009
19878,57197810259,2,2,3,4,7,9,19,19,21,21,2009
19885,55958103500,2,2,2,2,2,2,2,2,2,2,2009
19911,8627433400,54,54,54,54,54,54,54,54,54,54,2009
19919,55341017800,2,2,2,2,2,2,7,7,7,7,2009
20027,7003550398,3,4,4,4,4,5,7,7,7,7,2009
20055,15119066600,1,1,4,8,12,15,16,17,17,17,2009
20060,7003931815,3,3,3,3,3,3,3,3,3,3,2009
20071,56216745700,9,9,12,16,23,27,36,36,36,36,2009
20092,6603300569,2,4,4,4,9,9,9,9,9,11,2009
20186,39361406400,6,6,8,8,13,14,14,25,38,38,2009
20200,7004439441,7,7,7,7,7,7,7,7,7,7,2009
20239,6506639323,3,3,3,3,4,7,7,7,7,7,2009
20243,22933614200,3,3,10,10,12,13,13,13,19,23,2009
20290,8937414700,19,19,29,29,36,36,36,36,36,36,2009
20291,36008941800,2,2,2,2,2,10,10,10,12,14,2009
20340,13005094300,3,3,3,3,3,3,3,3,3,3,2009
20355,8947826700,21,21,21,21,21,21,21,21,21,21,2009
20369,55575226100,4,4,4,9,9,9,9,9,9,9,2009
20480,16030782200,5,5,5,5,5,5,5,5,5,5,2009
20482,55710235700,2,2,2,2,4,4,4,4,4,4,2009
20521,35067836100,3,3,4,4,4,4,4,5,5,5,2009
20578,26436314600,2,2,2,2,2,2,2,2,2,2,2009
20715,36087981000,4,11,11,11,11,11,11,28,28,28,2009
20757,23134775700,5,5,5,5,5,5,5,5,5,11,2009
20759,6505940734,3,3,3,3,3,3,3,5,5,5,2009
20775,7005047373,4,4,4,4,4,4,4,4,4,4,2009
20833,23388404000,3,3,5,9,9,9,11,13,21,22,2009
20870,55995219800,7,7,16,16,16,38,38,38,38,42,2009
20925,21835009900,4,4,4,5,10,11,16,19,22,22,2009
21170,35589710000,3,4,4,4,4,4,13,15,17,21,2009
21205,24779485200,2,2,2,2,2,2,2,2,2,2,2009
21413,56248428500,8,8,8,8,8,8,8,8,8,8,2009
21472,6701708611,9,9,9,9,9,9,9,9,9,9,2009
21507,55628530013,4,4,4,4,4,4,4,4,4,4,2009
21583,18435056500,3,3,3,3,3,5,5,18,20,21,2009
21626,15058857300,6,6,65,65,65,65,66,66,66,66,2009
21739,26537437100,2,4,4,4,10,10,10,10,10,10,2009
21799,23477156000,1,1,1,1,1,1,1,1,1,1,2009
21815,7102139927,6,9,9,9,9,9,9,9,9,9,2009
21862,33368339000,1,1,2,6,7,9,14,17,20,21,2009
21876,55972633700,6,8,8,9,9,9,9,9,9,9,2009
21953,7004351543,9,9,9,9,9,9,9,9,9,9,2009
21979,8227351400,2,3,3,3,3,3,4,4,4,4,2009
22063,24479263100,3,3,3,5,8,8,8,8,8,8,2009
22140,6701307998,6,6,6,6,6,6,6,6,14,14,2009
22190,35096859700,3,5,5,6,6,7,9,11,11,11,2009
22238,6603853098,6,6,6,6,7,10,10,16,16,16,2009
22309,36132199100,4,4,6,6,10,10,10,10,11,11,2009
22346,6701366172,1,1,1,1,1,1,1,3,3,3,2009
22366,8853449200,3,8,11,11,15,17,20,25,37,37,2009
22407,35076305600,4,4,4,4,4,4,4,4,4,4,2009
22419,6602588972,54,54,54,54,54,54,54,54,54,54,2009
22440,7201711065,4,16,24,29,29,30,30,33,34,34,2009
22456,35423789500,13,21,26,26,26,26,26,26,26,26,2009
22497,20433683200,4,6,15,15,19,21,24,41,45,50,2009
22652,23397764700,9,15,23,24,29,31,35,42,44,47,2009
22693,14034268200,4,4,4,4,4,5,5,7,7,7,2009
22741,8947554100,11,24,24,24,28,28,38,38,43,43,2009
22817,26324984800,3,3,3,3,3,3,3,3,3,3,2009
22876,6603326786,13,13,19,19,19,19,19,19,33,33,2009
22879,12797539100,4,5,10,13,16,22,30,34,46,52,2009
22930,55900260800,2,2,2,2,2,2,2,2,2,2,2009
22934,6701837203,5,9,10,12,13,15,16,16,19,24,2009
22953,28867499500,2,2,3,8,8,8,17,17,17,17,2009
22982,16024336300,11,11,11,11,11,18,25,27,30,30,2009
23047,24766261300,4,16,21,23,29,30,34,49,50,51,2009
23093,35318184100,3,5,5,7,7,8,8,10,11,11,2009
23224,7003769912,8,8,21,23,27,27,27,27,37,37,2009
23239,23398538400,12,17,17,17,17,17,17,17,17,17,2009
23284,6603203639,3,3,3,3,3,3,3,3,3,3,2009
23286,35321901900,2,2,2,2,2,3,3,3,3,3,2009
23309,56187681400,15,15,15,15,36,36,36,45,45,45,2009
23323,55466530800,4,4,4,4,4,4,4,4,7,7,2009
23331,7103189829,2,2,2,6,6,12,12,12,17,19,2009
23374,25027834400,3,3,3,3,3,5,5,7,13,15,2009
23427,36621841700,4,4,4,5,5,5,5,5,5,5,2009
23434,6701918242,11,11,11,11,11,11,11,20,20,25,2009
23544,24598238600,1,1,5,6,7,8,8,8,9,9,2009
23563,7003608368,3,3,3,3,3,3,3,3,3,3,2009
23656,6507075690,7,7,7,7,16,22,26,26,26,26,2009
23726,6506351783,2,2,2,2,3,3,3,3,3,3,2009
23813,35796392300,8,8,8,8,8,8,14,14,14,14,2009
23857,57203229470,13,13,13,13,13,13,13,38,38,38,2009
23926,7003616162,11,26,26,38,38,42,42,49,50,50,2009
23936,34976267400,6,8,11,13,16,23,23,53,60,62,2009
