ID,2015,2016,2017,2018
56938406400,3,3,3,3
24342258300,106,106,106,106
16678335800,3,3,3,3
8087635700,4,4,8,8
57015671700,7,7,7,7
55481705600,4,4,4,4
56490742600,5,5,5,5
55834885800,2,2,2,2
56784004400,5,5,36,36
55606655400,12,26,26,26
35613331800,4,7,7,7
36521412000,3,3,3,3
56203506800,3,3,3,3
56809336000,7,7,18,21
24315322700,7,7,7,7
51161041300,2,2,2,2
56437691100,8,8,12,12
56539604900,5,10,10,10
15080758200,12,12,12,20
16238885900,4,4,4,4
7004293596,12,12,12,12
56568193700,3,3,3,9
56623082500,5,5,5,10
56897232400,3,7,7,7
56904189400,6,6,8,8
56043639600,4,4,4,4
57188743338,5,5,5,5
56928495300,4,6,6,6
55844573100,6,6,6,6
54585718400,2,2,52,52
56606226000,7,12,12,12
7006992959,4,4,4,7
54903934600,5,6,6,9
7005218362,5,5,5,11
24468443400,83,83,83,83
56651417700,3,3,3,3
57188683397,3,3,3,3
57193838056,17,17,19,19
38961084400,37,37,37,63
7006438742,3,3,3,3
56622699200,2,2,2,2
55496250200,12,13,17,17
12751782600,3,3,3,3
36538110300,2,4,10,10
7801692291,3,5,5,5
55248149200,4,4,4,4
6603112432,10,10,10,10
45061080100,5,11,11,11
56013704900,9,9,9,9
57188865753,5,5,6,6
57189325456,4,5,5,5
56524641900,1,1,3,3
57023650700,3,4,4,4
56597630000,11,11,11,11
26656081300,2,5,5,7
56825967100,3,3,3,3
57170614600,7,7,11,11
57156610700,3,3,4,4
14522681300,8,8,8,8
57031942300,3,6,6,6
6602658690,2,2,9,9
8983767700,6,7,9,10
6601973853,14,14,14,14
57188880145,6,6,6,6
49661664400,9,33,34,34
56878582200,2,2,6,7
57155710300,2,4,4,4
23501473800,2,2,2,3
56507378200,5,7,7,7
57189348842,3,3,3,3
55637078900,2,2,2,2
57197528671,4,4,4,7
14423919200,3,5,5,5
23967105900,63,63,63,63
50561624500,2,2,5,5
56517722800,1,1,1,1
56199629400,4,6,6,6
56641118300,4,4,5,5
57044825600,2,2,2,2
55788198200,3,3,3,3
57188708248,6,6,6,6
57188804292,2,2,2,2
16068061900,11,11,11,11
57053368800,4,6,7,7
56875473000,2,5,7,7
31767480200,2,2,2,2
7005516582,10,10,10,10
57203811692,4,9,9,11
23033057300,5,5,5,5
57156103200,3,3,3,3
6506377858,3,3,6,6
57148546500,4,4,5,6
6603002871,11,11,11,11
55601598500,3,3,3,3
57038945800,6,13,13,13
55916038700,5,5,6,6
56274633700,3,3,3,3
57077282700,3,5,5,5
35101985200,10,10,10,10
55890408700,2,2,3,3
56725727200,8,20,20,20
24309247600,4,4,4,4
56733059200,5,5,5,8
25923138000,2,2,2,2
6701730419,15,15,15,15
55920332400,1,1,1,1
57038690400,2,2,2,2
6506223455,4,4,12,15
55303716300,10,30,55,71
56769922200,5,5,5,9
56879039200,2,2,2,2
57188693120,5,9,9,9
55728980500,7,7,7,7
56342413800,2,3,3,3
37041295000,7,7,9,9
7005116640,5,7,7,9
24346487100,3,3,3,3
36519627500,51,52,52,52
55645903300,13,13,13,21
15050030200,24,25,25,25
57188750800,1,1,1,1
56668715900,41,41,41,41
