Unnamed: 0,ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
18217,6507909800,5,5,5,5,5,10,10,10,10,25,27,27,32,2006
18249,56260221300,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
18304,6601984343,4,4,4,4,4,12,20,26,28,28,32,37,37,2006
18514,22980320900,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
18629,15725783700,3,3,3,4,4,8,8,10,10,11,14,14,14,2006
18809,7005567937,4,4,7,7,7,7,7,7,7,7,7,7,7,2006
18910,12766889900,11,14,14,14,20,20,20,20,40,40,40,40,40,2006
19029,14034487200,2,3,3,9,14,16,16,17,18,23,23,23,23,2006
19053,7003393874,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
19072,23003527100,2,3,5,6,10,10,12,13,15,17,18,22,24,2006
19094,7102160097,4,4,4,4,4,4,4,4,10,10,10,10,10,2006
19176,7004373186,2,2,2,2,2,2,2,2,6,6,6,6,13,2006
19208,14919233900,8,9,9,9,9,9,9,13,13,20,23,25,27,2006
19314,7006930294,2,2,2,2,6,6,6,6,6,6,6,6,6,2006
19408,14048608000,2,2,4,4,10,13,15,15,16,19,25,25,27,2006
19483,6603829666,26,26,30,30,34,34,34,34,34,34,34,34,34,2006
19520,55941348600,1,6,11,11,11,15,16,18,19,23,25,31,39,2006
19545,25522694800,3,3,3,3,3,4,4,10,10,12,15,15,15,2006
19564,7003584619,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
19567,16044529400,3,3,3,7,12,12,12,13,13,15,15,15,18,2006
19608,56652892600,7,7,7,7,7,12,12,12,12,12,21,21,28,2006
19645,23476774400,2,2,2,2,2,16,16,16,16,43,60,83,90,2006
19689,8872590600,10,10,10,16,16,16,16,16,16,39,39,39,39,2006
19890,56097263400,7,10,10,10,13,16,16,20,26,27,30,30,34,2006
19944,13606253700,10,10,10,10,10,18,18,18,18,18,18,31,31,2006
19955,22959389000,3,3,3,3,6,6,6,6,6,7,7,7,9,2006
19993,15764450100,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
20066,7003541260,2,2,2,2,5,8,8,8,8,8,16,16,16,2006
20170,23566896000,3,6,6,10,27,31,31,37,45,45,45,45,45,2006
20203,55944183200,6,6,6,6,13,16,16,19,20,31,32,32,39,2006
20215,7409076043,1,1,1,1,2,2,2,2,2,4,5,5,6,2006
20297,15064030600,1,1,3,5,7,12,12,12,14,17,20,26,27,2006
20544,6603751474,34,46,52,52,53,53,101,101,101,101,101,101,101,2006
20695,7006756781,17,17,17,17,17,17,17,21,21,48,48,48,56,2006
20724,6701532401,3,3,5,5,5,5,5,5,6,6,6,6,6,2006
20742,57203082641,21,21,21,21,32,35,39,41,46,46,46,46,59,2006
20973,15044072100,3,5,7,7,10,12,13,16,23,23,23,33,50,2006
21075,23395899700,4,10,21,29,42,43,59,71,86,109,116,125,137,2006
21120,7403446829,2,2,2,2,4,4,7,9,12,12,12,12,14,2006
21385,24779310300,10,10,11,11,12,14,14,14,19,33,33,41,54,2006
21396,57190372460,10,10,10,10,10,10,13,13,28,32,35,36,36,2006
21486,7003266338,17,17,17,17,17,21,21,24,32,41,46,54,68,2006
21554,6506489910,2,2,2,2,2,2,2,16,16,16,21,21,37,2006
21619,7004353802,3,3,3,3,3,3,3,3,3,9,9,9,25,2006
21639,55977122600,4,5,9,12,12,15,15,15,17,25,27,27,27,2006
21694,7004234370,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
21719,55435384900,1,1,1,1,1,1,1,1,16,24,24,24,33,2006
21722,55948370700,23,23,39,39,39,39,39,39,72,72,72,72,72,2006
21909,7003442818,50,50,71,71,75,75,75,75,75,75,137,137,137,2006
22000,7006662972,4,8,8,8,8,10,14,16,29,29,34,38,42,2006
22110,13806547700,3,3,17,19,19,20,21,22,22,22,24,24,28,2006
22132,24483534500,6,6,22,26,30,33,33,36,36,37,37,37,37,2006
22277,16022832100,4,5,5,6,13,13,13,20,20,20,21,26,26,2006
22282,14028256000,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
22360,18041923400,4,4,5,5,8,10,11,11,11,13,13,16,16,2006
22543,8687326600,3,5,5,5,5,6,7,10,13,13,15,16,16,2006
22554,24343454600,1,1,1,1,1,1,1,1,1,6,6,6,6,2006
22575,56467741400,24,24,24,24,24,31,31,31,31,31,31,31,31,2006
22688,8054417800,9,9,12,14,14,14,14,14,14,14,14,14,14,2006
22890,23392415800,3,7,8,8,8,18,24,26,30,38,41,43,55,2006
22902,18339821400,7,14,14,14,14,20,23,25,25,25,25,25,25,2006
22963,57203078279,24,24,24,24,24,31,31,31,31,31,31,31,31,2006
23000,23569719400,4,4,4,28,38,39,41,41,41,44,44,45,45,2006
23011,22135362500,2,3,3,6,8,9,9,13,13,20,20,21,21,2006
23270,22984407400,2,2,2,3,5,5,5,5,5,5,5,5,5,2006
23414,57196047138,7,7,7,7,7,7,7,28,35,35,35,35,35,2006
