ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7004028651,3,3,3,3,3,7,16,16,19,19,24,43,44,51,51,57,68,69,74,82
7004083177,1,3,9,14,20,32,35,41,54,59,63,68,68,75,77,88,94,102,114,119
6603504881,1,7,7,8,14,15,15,21,29,38,42,51,57,64,64,69,82,91,99,103
55976331500,2,2,2,2,2,4,4,4,4,6,8,9,22,33,41,59,62,62,71,84
55903756400,5,5,5,5,5,5,5,5,5,13,13,16,20,20,21,21,25,28,29,35
7004211395,26,26,26,26,26,27,27,44,44,78,97,118,146,153,157,157,157,168,174,185
7005666539,2,2,3,3,4,4,4,7,10,10,16,16,19,19,20,22,22,24,26,27
7201620951,4,16,20,24,27,39,39,45,46,48,48,62,62,62,62,62,62,62,62,62
7003911908,6,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
55941184500,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6
7004291068,3,5,5,5,5,5,5,5,5,5,7,7,7,7,7,13,13,13,13,13
7202858547,3,3,3,3,3,3,3,7,7,7,7,7,7,11,11,11,11,11,11,11
35254608700,1,1,1,1,3,4,4,4,5,5,6,9,17,20,20,24,31,31,31,34
57202599125,3,3,3,3,3,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8
7003746153,3,3,19,19,21,21,22,45,54,85,88,93,104,107,127,130,137,139,141,148
6701833121,6,6,6,6,6,20,31,31,31,31,33,33,33,33,67,69,69,69,71,71
6603618289,1,1,1,1,1,1,1,1,1,1,1,1,4,4,19,19,19,23,23,23
7004324806,14,14,29,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
7004359447,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35580507900,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,9,20,20,20,20
7101751902,4,10,17,24,27,60,60,69,69,69,69,78,78,78,78,78,78,78,81,81
6701815085,9,9,18,41,41,43,43,43,56,64,73,89,99,106,106,125,131,132,132,132
12344787800,1,1,1,1,1,1,2,2,3,3,3,4,5,5,5,7,8,9,53,59
55904008400,2,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,9,9,11,11
23053303000,6,6,6,6,11,11,15,19,19,19,19,19,21,27,27,27,27,27,27,27
7102138516,12,19,26,26,34,37,43,43,43,45,50,50,50,53,53,53,53,53,53,53
7004036663,1,1,1,1,2,2,3,4,9,9,10,10,10,13,15,15,15,15,19,19
6602291128,1,1,1,1,6,6,7,7,7,8,10,11,11,11,11,14,17,21,24,25
6506529827,8,8,8,8,8,18,27,27,29,34,36,36,57,57,58,62,63,66,68,68
