ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
25627908000,3,6,6,9,9,12,12,25,28,35,38,50
23990151100,3,6,9,9,9,9,11,11,11,11,11,16
6507460498,2,2,2,5,5,7,7,7,7,8,8,8
6507801765,7,12,14,14,14,16,22,22,24,28,28,28
7005677150,6,6,6,6,6,15,18,18,18,18,18,18
8358413800,4,6,6,6,9,9,9,9,11,20,20,20
24479661600,2,3,4,7,7,12,12,14,22,26,30,41
8932268900,9,9,9,34,34,50,50,81,83,87,87,87
7005625382,16,27,27,27,44,46,54,59,60,60,83,83
6506722052,36,54,57,94,99,182,197,221,221,228,228,228
57203133300,2,5,5,7,10,14,20,23,32,35,41,45
7005347123,3,5,5,5,5,5,5,5,8,8,8,8
16178816100,7,7,7,7,7,7,7,7,7,7,7,7
56021816500,5,5,5,5,5,5,5,5,5,5,5,5
24338756400,3,4,5,5,5,5,9,9,9,9,12,15
6602964195,5,5,5,5,5,5,5,5,5,5,5,5
55883061200,6,6,6,6,6,18,23,26,27,27,28,29
16302890600,3,3,3,3,10,10,13,18,20,30,43,56
16678672300,3,3,3,3,3,21,21,23,39,49,54,54
7004278733,3,3,3,3,3,3,3,3,3,3,3,3
7004698490,2,2,2,2,2,5,5,5,5,5,5,5
7801333053,4,6,6,9,20,20,22,31,35,47,48,51
23135515300,3,7,9,23,29,30,35,35,36,37,41,43
56250656000,36,36,36,36,36,36,36,36,36,36,36,36
23398644800,2,5,13,19,26,28,33,36,41,50,55,65
6508122568,13,13,29,45,45,59,62,62,62,68,87,96
15060319500,3,4,8,12,15,17,18,18,18,18,18,20
14034183600,8,8,8,8,8,8,8,8,14,14,14,14
16174350700,3,11,11,14,14,14,23,25,29,32,33,40
35580691300,1,1,1,2,2,3,3,3,3,3,5,5
8420644500,36,36,36,36,36,36,36,36,36,36,36,43
16024563600,4,4,4,8,8,8,8,8,10,10,10,10
36004147600,6,6,6,6,6,6,6,6,6,6,6,6
16176014600,13,13,13,35,42,42,65,65,65,65,65,65
24483216900,27,56,63,66,67,69,79,89,89,90,94,102
23388508900,4,4,4,10,21,29,32,48,51,51,51,51
8542815100,2,2,2,2,2,2,2,2,2,2,6,6
35193907300,3,3,7,7,7,7,7,7,7,7,7,7
23977126600,6,10,10,12,15,27,32,36,39,47,50,53
8293548900,4,4,12,13,16,19,19,19,20,20,20,20
17344998700,5,11,11,11,11,11,14,14,14,14,18,22
7003368850,44,44,44,44,44,44,44,69,69,69,69,69
9535285400,4,4,6,6,6,6,6,6,6,6,6,6
15050286900,6,6,6,6,6,7,7,9,9,11,11,11
55216811100,12,17,25,25,30,30,30,30,30,30,30,30
23972137300,5,7,11,11,11,26,35,35,37,37,37,37
24334428500,1,1,1,1,1,1,1,11,11,13,13,13
25645805300,2,2,2,2,2,2,2,2,2,2,2,2
7003476667,4,4,4,4,7,7,7,7,7,11,11,11
7004947485,4,4,4,7,7,7,7,7,7,7,7,7
23388654800,7,8,8,10,13,13,18,20,20,20,20,20
6603102974,47,47,55,55,55,55,55,55,55,55,55,55
7202444897,3,6,12,88,97,97,122,123,123,128,128,128
7006231258,8,8,8,8,8,8,8,8,8,8,8,8
23476592600,2,2,2,2,2,3,3,3,5,5,5,5
15062248800,5,5,5,5,5,5,5,5,5,5,5,5
56107461500,1,6,6,6,6,6,6,6,6,13,15,15
8613890000,3,4,7,7,7,7,7,7,7,7,7,7
35376784400,12,12,12,12,12,12,12,12,12,12,12,12
24780241700,4,4,4,8,8,8,8,8,8,12,15,15
6603786240,3,3,4,4,4,4,4,4,4,4,4,4
16480839400,1,2,4,6,9,13,30,33,35,43,66,73
16233889800,1,1,1,1,2,2,2,2,4,4,4,4
56002708500,2,3,5,6,7,7,9,10,10,10,10,10
7004570702,4,4,4,4,4,4,4,4,4,4,7,7
23397895000,2,4,4,4,8,11,11,15,15,24,24,24
6506996526,5,5,5,5,5,5,5,5,5,5,5,5
16425136600,2,3,3,3,6,8,9,16,21,24,28,32
6603307974,22,22,22,22,22,22,25,25,25,25,26,26
16475499000,1,1,7,7,7,7,8,8,8,14,19,23
24832062200,2,3,4,4,5,5,5,11,12,12,15,19
22137207200,1,1,1,1,1,1,1,1,1,1,4,4
6603391563,43,43,43,43,43,43,43,43,43,43,43,43
6602086395,2,2,2,3,7,13,20,22,27,27,33,34
22234232100,2,5,9,9,11,32,33,36,42,42,42,45
7003335619,5,5,7,7,7,12,12,12,12,12,12,16
6602088754,2,2,2,2,4,4,4,4,4,4,4,4
8954755800,1,1,5,5,11,11,13,14,16,16,16,16
34877227100,2,2,2,3,5,7,8,10,10,10,10,10
55911158200,2,2,2,2,2,2,2,2,2,2,2,2
57200377359,1,1,1,1,10,10,10,10,10,10,12,12
16025155600,4,5,5,5,10,12,13,13,14,16,16,16
23976210200,9,11,13,15,17,21,25,26,26,26,27,32
55879374700,3,3,3,3,3,3,3,3,3,3,3,3
6507032961,7,7,7,7,11,11,11,15,15,15,23,23
35518445600,4,4,4,4,4,4,4,4,4,4,4,4
57193693109,2,7,7,9,13,15,16,25,27,29,31,32
6603769366,10,10,17,17,17,17,17,17,17,17,17,17
8206969400,7,7,7,7,7,7,7,7,7,7,7,7
57203070274,1,1,1,1,1,3,3,6,7,10,10,10
7003726521,5,11,11,11,12,13,29,30,30,30,30,30
24721589600,3,3,9,9,9,9,40,40,40,40,40,40
25227358200,3,3,5,5,5,8,9,11,11,11,11,11
