ID,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6602591988,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,13,13,13,13
6602634227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21
56284476400,3,4,4,4,4,18,18,18,18,25,25,32,39,41,49,53,53,59,64,68,74,84
7004914319,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
7004756743,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
6603934225,1,1,1,6,16,16,23,32,33,38,50,54,64,100,105,115,141,143,145,147,199,199
7202103609,4,4,4,6,6,6,6,6,6,6,6,12,14,14,14,15,15,15,15,15,15,21
7003519900,2,38,39,43,43,56,56,91,91,155,190,217,224,224,224,265,290,293,293,305,305,314
56224593400,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,21,21,21,21,21,21,35
7101712070,5,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6701767375,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6701615286,2,2,2,2,2,15,17,21,21,29,29,35,35,42,42,44,45,45,51,52,53,54
20434203800,2,2,2,2,2,4,4,4,4,4,4,5,7,7,7,7,10,23,26,26,29,30
7202071319,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7004363654,3,6,6,16,16,21,21,21,21,25,25,26,26,37,39,39,40,46,47,48,52,52
6701720600,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
55662921700,3,3,3,3,3,3,9,11,13,59,61,66,68,68,68,70,73,75,75,79,79,79
7102994898,9,11,11,11,11,11,11,11,11,11,19,19,19,25,25,25,38,38,38,38,52,60
7102904328,22,22,30,30,30,43,43,46,47,53,61,66,66,75,75,81,81,89,114,116,116,133
