ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
25822460800,5,5,5,5,5,5,5,15,15,15,15
7003713925,8,8,8,8,8,8,8,8,8,8,8
57203053081,14,14,22,23,23,23,23,23,23,23,23
55472982200,4,4,4,4,4,4,4,4,4,4,4
14070810800,5,5,37,37,37,37,37,37,37,37,37
26767962900,3,4,4,4,4,5,6,6,9,9,9
6507278898,3,3,3,3,3,3,3,3,3,3,3
56410726300,9,10,10,10,10,10,10,10,10,10,10
35618719900,2,2,9,9,9,14,14,14,14,14,14
28568083900,3,3,3,3,3,3,3,3,3,3,3
24777894300,2,3,3,3,8,8,12,13,15,19,21
25028786800,2,2,2,2,2,2,2,2,2,2,2
7403508300,2,2,2,2,2,2,2,2,2,2,2
7006764938,4,4,4,4,4,4,4,4,4,4,4
15137567000,5,5,5,5,5,5,5,5,5,5,5
24822571500,2,5,5,10,10,10,10,10,13,17,17
26639112100,35,35,35,35,35,35,35,35,35,35,35
56235309600,3,3,3,4,6,7,7,8,9,9,9
24723534700,7,13,13,13,20,20,20,20,20,20,20
6602295414,5,5,5,5,5,5,6,6,6,6,6
6701851845,3,3,3,3,3,3,22,36,36,36,40
7005719707,9,9,9,9,9,9,9,9,9,9,9
24070111000,4,4,4,4,4,4,4,4,4,4,4
8945689400,2,2,3,3,3,3,3,3,3,3,29
6507868226,22,22,22,22,22,22,22,22,22,22,22
24483713200,5,12,12,12,12,12,12,12,12,12,12
6508260671,3,3,3,3,3,3,3,3,3,3,3
36989377200,1,1,1,1,1,1,1,1,1,1,1
24832303900,11,11,11,11,11,11,11,11,11,11,11
6506698069,1,1,1,1,1,1,1,1,1,1,1
24175917000,3,4,4,4,5,5,5,14,18,18,18
22958799100,2,2,2,2,2,2,2,2,2,2,2
36562504600,3,3,3,11,26,34,41,48,50,52,52
8720229000,4,4,4,4,4,4,4,4,4,4,4
56089688600,2,2,2,2,2,2,2,2,2,2,2
56405309900,3,3,3,3,3,3,7,7,8,11,11
15757632500,3,3,3,3,3,3,3,3,3,3,3
35590044100,2,5,5,5,5,10,10,10,10,10,10
25930339900,2,2,2,2,2,2,2,2,2,2,2
7003606982,11,11,11,11,11,11,11,11,11,11,11
34770766800,4,4,4,4,4,4,4,4,4,4,4
7402114423,4,4,4,7,7,7,7,7,7,7,7
7004498408,3,3,3,5,5,5,6,7,7,7,7
13410061000,9,20,20,20,20,20,20,20,20,20,20
24306148100,3,3,3,3,3,3,3,3,3,3,3
7201641848,3,3,3,3,3,3,3,3,3,3,3
24764621500,2,5,5,5,5,5,5,6,7,7,7
34881440600,10,10,11,11,11,11,11,11,11,11,11
55289077400,2,2,2,2,2,2,2,2,2,2,2
16024553900,8,8,8,8,8,8,8,8,8,8,8
26323538600,6,6,6,6,7,7,7,7,7,7,7
56252842300,4,4,4,4,4,4,4,4,4,4,4
