ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
23992060200,2,2,7,7,7,7,7,7,7,7,7,7,7
56635640400,8,8,8,8,36,36,36,36,36,36,40,41,41
7801436507,7,7,15,22,32,43,78,93,115,119,119,119,119
7202301923,5,5,5,5,5,5,5,5,5,5,5,5,5
16021726000,3,4,4,4,4,4,4,6,6,8,8,8,8
57192191409,1,1,1,1,1,1,1,1,1,1,1,1,1
56273557300,7,7,7,7,7,7,7,7,11,28,28,33,35
16308547800,10,14,17,23,23,32,32,38,39,47,50,54,54
55880162000,19,19,80,90,90,90,90,90,90,90,90,90,90
57191230771,6,6,6,6,6,8,9,13,19,25,27,27,34
7005474610,9,9,9,9,9,9,9,9,9,9,9,9,9
13905318100,3,3,17,17,19,21,25,28,30,35,35,36,57
8545199600,15,15,15,15,15,36,36,36,36,36,90,90,118
6602258223,3,3,3,3,3,3,3,3,11,11,11,11,11
22034270200,15,15,19,19,26,27,27,29,29,29,29,64,80
15063034600,3,5,11,19,23,23,23,24,30,34,36,36,36
36860841600,26,26,42,42,74,74,86,86,96,96,128,128,150
17433615700,5,5,7,7,7,7,8,18,19,19,25,25,25
6602806483,1,1,1,1,1,4,7,8,8,8,8,8,8
14043269900,3,4,4,4,5,5,5,5,5,8,8,8,8
24367741500,4,4,4,4,4,7,7,8,8,8,8,8,10
12238801800,6,10,10,13,13,13,13,13,16,18,22,23,24
6507058002,5,5,5,5,5,18,18,21,32,32,32,32,32
23036015000,4,6,9,12,15,19,26,40,50,59,74,74,74
15042713000,2,2,2,2,2,6,6,6,12,17,18,20,22
57194148003,8,8,12,12,17,17,18,27,33,36,36,38,38
55919918000,3,3,3,8,14,15,16,23,23,25,25,25,25
24467433000,3,3,3,3,6,17,51,64,70,73,78,85,96
6602458514,59,59,62,73,115,115,121,121,126,126,275,275,275
15835961200,13,29,50,55,64,67,83,96,108,115,115,118,118
55171778800,6,6,6,6,6,6,6,6,6,6,6,6,6
15065936300,1,1,1,1,3,3,3,3,4,4,4,7,7
22937480300,3,3,3,3,6,6,6,6,6,6,6,6,6
17436094300,3,3,3,3,3,3,3,3,3,3,3,3,3
24173523600,16,16,29,29,61,76,76,100,102,102,124,124,148
8247907800,6,6,6,8,8,8,8,8,10,10,10,14,14
7005543132,29,29,42,42,62,62,84,84,122,122,146,146,158
15924858900,1,1,1,1,5,16,18,19,19,21,21,21,21
14630477600,12,12,16,16,33,33,51,61,72,74,74,74,85
6602886697,6,6,6,6,6,6,6,6,6,6,6,6,6
36881454700,2,2,2,2,2,2,2,2,2,2,2,4,6
16175826800,2,5,5,5,11,13,13,13,14,14,16,16,18
6603467165,18,22,22,22,22,22,22,22,22,22,22,22,22
7006613644,29,90,90,90,90,94,94,99,99,99,99,103,103
36162885300,2,4,4,4,4,4,7,7,8,30,30,33,34
11240147200,5,5,10,10,57,57,59,59,70,70,127,127,143
8687894400,5,12,12,12,12,12,12,12,17,17,17,17,17
24344030900,3,6,8,9,9,20,23,27,32,38,40,40,43
8061605500,11,11,11,11,11,11,11,11,11,11,11,11,11
14830900200,3,3,3,4,6,7,9,12,13,13,18,18,18
