Unnamed: 0,ID,2015,2016,2017,2018,start_year
1629,6701895652,12,12,12,12,2015
1642,56878386100,2,2,2,2,2015
1661,9744970800,4,4,5,5,2015
1675,56492758700,3,4,7,7,2015
1677,56026647200,4,4,4,4,2015
1682,56447130200,8,8,8,8,2015
1687,37087855600,5,5,5,5,2015
1688,57055340700,1,1,1,1,2015
1697,57193539226,3,3,3,3,2015
1705,56809341200,8,8,8,8,2015
1706,35219634500,7,7,7,7,2015
1711,23091292300,21,21,21,21,2015
1720,56893800100,9,14,14,14,2015
1733,7004210486,3,3,3,3,2015
1739,24176377900,2,9,9,9,2015
1744,7005670735,4,4,4,4,2015
1774,56588000900,6,6,6,6,2015
1778,7003405549,15,15,15,15,2015
1787,57190008774,4,4,4,4,2015
1795,36991875200,3,9,11,16,2015
1798,36083857500,2,2,2,2,2015
1806,56641563300,6,6,6,6,2015
1811,7005097872,28,37,40,40,2015
1814,36666230100,9,18,18,18,2015
1815,57189353104,2,4,4,4,2015
1819,38061755800,21,21,25,25,2015
1826,57194734506,2,3,4,5,2015
1829,56903808800,4,4,4,4,2015
1832,56560276200,4,4,4,4,2015
1848,56805823000,9,9,9,9,2015
1858,56986376200,5,5,5,5,2015
1860,56781019200,7,7,7,7,2015
1886,7003291822,2,3,3,3,2015
1892,57188926644,3,3,3,3,2015
1895,56594959700,9,10,10,10,2015
1898,57194589640,3,3,3,3,2015
1899,26633212100,8,8,8,8,2015
1900,36659238100,6,6,6,6,2015
1904,57188767651,1,2,11,11,2015
1906,7006389843,6,6,6,6,2015
1908,56638469400,3,3,3,3,2015
1909,56913109000,10,10,10,10,2015
1910,57095083200,2,2,2,2,2015
1918,57074026700,2,2,5,8,2015
1926,56743113700,3,3,3,3,2015
1941,56960296700,1,1,1,1,2015
1956,56563035500,14,14,14,14,2015
1959,7201360687,2,2,2,2,2015
1960,55805042400,6,16,16,16,2015
1962,14008023300,6,16,21,21,2015
1979,57160296100,1,1,1,1,2015
1981,55203274500,3,3,3,3,2015
1990,8672631400,8,9,9,9,2015
2005,56668775700,4,4,4,4,2015
2006,6603748349,9,9,9,9,2015
2013,57118227100,2,2,2,2,2015
2018,56875374100,8,8,8,8,2015
2027,56268272100,3,3,3,5,2015
2037,56488806200,3,3,3,3,2015
2038,57027365000,2,3,5,5,2015
2050,35173643400,5,5,5,5,2015
2071,7402003392,2,2,2,2,2015
2079,22941064000,2,2,2,2,2015
2095,56942404800,12,12,12,12,2015
2103,56297994600,1,1,1,1,2015
2105,56406387200,3,3,5,5,2015
2117,6602170125,4,4,4,10,2015
2125,57186515200,3,3,3,3,2015
2150,57201562636,12,32,36,37,2015
2171,56702884100,3,3,3,3,2015
2173,55942555100,8,8,8,8,2015
2178,57035454700,3,3,3,3,2015
2181,6602597569,5,5,8,13,2015
2182,6602716490,5,5,5,5,2015
2185,57147046200,4,4,6,9,2015
2189,57189462253,4,5,5,5,2015
2199,57189663597,3,3,3,3,2015
2206,56512182100,4,8,9,10,2015
2216,56451837000,1,1,1,1,2015
2220,56878228000,4,6,6,6,2015
2224,56950644500,11,26,26,26,2015
2233,41762578200,5,9,17,17,2015
2234,7201682655,3,3,3,3,2015
2236,57112555700,7,7,7,7,2015
2243,26029737100,4,6,6,6,2015
2246,8709185500,10,10,10,10,2015
2275,38461402500,67,67,67,67,2015
2285,56672300600,6,6,6,6,2015
2294,26031026500,3,3,3,3,2015
2295,56534114400,2,2,2,2,2015
2309,55995850300,4,6,6,6,2015
2312,36933224800,2,2,2,2,2015
2324,7103401050,12,12,16,16,2015
2328,56989560500,11,11,11,11,2015
2331,6602561373,6,6,6,6,2015
2334,57191891688,4,6,6,8,2015
2347,55844084200,3,3,5,9,2015
2353,55256270300,3,3,3,3,2015
2359,57063212600,3,3,3,3,2015
2365,35332943100,73,73,73,73,2015
2372,57188692136,3,3,3,3,2015
2395,56786210100,3,3,3,3,2015
2399,55850609100,9,9,9,9,2015
2416,6603278517,5,5,5,5,2015
2421,14632583100,49,49,49,49,2015
2432,8696710100,3,3,3,3,2015
2486,53981220000,15,15,15,15,2015
2489,26421331000,4,4,4,4,2015
2495,20435968700,3,3,3,3,2015
2497,8161598600,4,4,4,4,2015
2507,34972920300,20,20,20,20,2015
2520,56786208900,7,7,7,7,2015
2521,57204219587,2,2,2,2,2015
2525,24175941600,6,6,6,6,2015
2527,57028154200,4,4,7,7,2015
2531,8709918800,2,2,2,2,2015
2547,57043755900,5,5,9,13,2015
2549,22433846600,21,21,21,21,2015
2557,56039528300,3,3,3,3,2015
2560,57188969430,2,2,4,5,2015
2562,57188988697,5,5,5,5,2015
2583,56652344400,6,6,6,6,2015
2585,56181659700,3,7,7,7,2015
2592,57117511400,3,8,10,10,2015
2611,12795831800,3,3,3,3,2015
2629,10143724200,26,26,26,34,2015
2633,57188830367,4,4,4,4,2015
2634,57190792536,1,1,1,1,2015
2647,7201572383,4,4,4,4,2015
2648,16745019500,1,5,5,5,2015
2654,13204873600,3,3,3,6,2015
2656,21741924500,3,3,11,11,2015
2662,57188726944,13,13,13,13,2015
2669,25923909500,2,2,2,2,2015
2674,6504333232,2,2,2,2,2015
2678,56995589600,5,5,5,5,2015
2698,56919398900,7,11,11,11,2015
2712,22233782700,6,6,6,6,2015
2716,56912382200,1,1,1,1,2015
2720,6507224174,8,8,8,8,2015
2728,55866619400,6,6,6,8,2015
2732,57118222500,2,2,2,2,2015
2748,35074587400,2,2,2,2,2015
2753,55370390800,3,3,3,3,2015
2755,6603582105,5,5,5,5,2015
2757,55180711200,3,5,10,10,2015
2758,56798236100,3,3,3,3,2015
2778,7403665248,9,9,9,9,2015
2784,56187891300,4,4,4,4,2015
2800,55999456400,1,1,1,1,2015
2801,12795101900,6,6,6,6,2015
2803,56939426600,4,4,4,4,2015
2819,56202457100,5,7,7,7,2015
2832,57188716289,7,7,7,7,2015
2842,56491181800,3,3,3,3,2015
2851,23094829400,18,18,18,18,2015
2872,57188569193,3,3,3,3,2015
2876,56783797400,83,83,83,83,2015
2877,55785460000,4,8,8,11,2015
2883,56595625700,4,4,4,4,2015
2890,57189890338,12,12,12,12,2015
2905,57196804276,8,8,8,8,2015
2932,8835753400,4,4,4,4,2015
2938,8907493700,4,4,6,6,2015
