ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7004203536,0,0,0,0,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6
55903518200,0,0,0,0,1,1,3,11,17,21,22,23,23,27,35,35,35,38,41,42
55169754200,0,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7006223993,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7007068760,0,0,8,8,8,11,16,16,19,23,25,25,25,25,25,25,25,25,25,25
6701788691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,22,22,22
6603184123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
55884815500,0,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6
6701619796,0,0,11,11,11,15,19,19,19,19,19,20,20,20,20,20,20,20,20,20
56635640400,0,0,0,0,0,0,0,8,8,8,8,36,36,36,36,36,36,40,41,41
6603649712,0,0,0,0,0,0,0,0,0,7,12,12,12,12,27,27,27,27,27,27
6602971715,0,0,0,3,3,7,9,16,16,16,17,18,19,29,33,36,42,45,51,57
55884971900,0,0,2,9,9,11,13,14,14,16,18,24,25,27,29,31,31,32,35,43
6701663942,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,11
57203054164,0,8,20,20,20,33,33,33,33,44,44,57,67,67,71,71,71,71,71,71
7005051481,2,2,4,4,4,7,8,10,11,11,12,12,17,18,19,22,22,22,22,24
6602428772,0,0,0,0,0,0,6,9,9,9,9,9,9,9,9,9,9,9,9,9
55904250600,0,0,0,0,0,0,0,0,0,3,7,7,7,7,10,18,18,23,25,25
7006423157,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,28,28,28,28,28
6603786240,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4
6507058002,0,0,0,0,0,0,0,5,5,5,5,5,18,18,21,32,32,32,32,32
7003296733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5
55893209400,0,0,3,5,7,8,8,8,8,10,14,19,19,28,41,56,65,73,83,89
7005720211,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
56188019300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
7005072158,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
14018017600,3,3,3,3,3,3,6,6,9,17,20,20,20,23,23,25,25,40,71,73
8937137000,0,0,0,0,0,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8
56112520300,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
6604092373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
6603026797,0,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7
57203999691,3,5,5,9,11,11,12,12,17,25,28,31,33,36,47,52,57,66,77,81
55919134600,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,5,5,5
56233029700,0,0,5,8,8,11,16,18,23,29,37,45,50,57,62,66,70,74,75,78
55858987400,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,8,9,9,9,9
6602169209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3
35568612500,0,0,0,0,0,0,0,4,4,5,8,8,8,8,8,8,8,8,8,8
7005826956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6
6603751262,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,11,11,11,11,11
6602840312,0,6,6,6,6,6,6,6,6,6,7,7,7,7,10,13,13,13,13,13
6506394707,3,3,6,6,10,11,12,12,16,16,22,24,29,29,34,34,38,41,47,48
7801462888,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
35616300400,0,0,0,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8
6602222729,2,3,3,3,5,7,7,9,11,20,21,30,35,37,40,40,47,55,57,61
7801380145,0,2,4,4,6,6,12,16,16,23,32,48,59,75,83,93,95,101,107,114
57193599572,0,0,0,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7004896395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
35866001600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
6602281385,0,0,0,5,5,5,10,16,24,24,24,24,24,28,28,30,30,30,32,32
6602538145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
55883093200,2,2,2,6,7,8,10,12,20,24,34,35,43,46,49,54,57,59,66,68
16231609600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15072688000,4,5,5,5,7,7,7,10,10,10,13,15,16,16,17,17,20,20,20,20
23993021000,5,5,5,5,5,5,5,5,12,12,12,12,23,33,44,46,46,49,59,59
6603777800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,10,10,10
55174651100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,53
6603570309,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7
7006435367,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
8393132300,0,0,0,0,0,0,0,0,54,54,54,54,54,54,105,105,105,105,105,105
7003875515,0,0,14,14,17,17,17,24,34,34,34,34,34,34,36,38,38,38,38,39
7101924117,0,0,0,0,0,0,0,0,0,18,18,18,18,18,44,113,113,166,166,166
6701552350,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6507503292,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5
8702911300,0,5,5,6,6,6,7,9,16,18,18,18,18,18,18,18,18,20,20,20
6603103207,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3
13102569800,0,0,0,0,0,0,0,3,3,10,10,10,10,10,19,19,23,23,23,23
7201422001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13
6506959949,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,6
7005940336,3,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10,12,18,18
