ID,2010,2011,2012,2013,2014,2015,2016,2017,2018
36020660500,0,9,9,9,9,9,9,9,9
49360991800,0,0,0,0,0,0,0,0,31
36728491000,5,5,8,8,8,8,17,17,17
36815730200,16,16,16,20,20,20,90,90,90
36599001500,3,3,3,7,7,9,10,10,10
36975880800,3,3,3,3,3,3,7,8,8
36519790100,0,0,0,2,2,2,2,2,2
37063120100,0,0,0,0,0,0,0,7,7
35329394200,0,0,0,0,0,0,0,0,3
35435966000,0,0,0,0,9,9,9,9,16
36166233900,3,3,3,3,5,5,5,5,6
36835269800,0,2,2,3,3,3,3,3,3
55222121100,0,15,15,15,15,24,24,24,24
36021907300,8,8,8,8,8,10,10,10,10
55342167300,0,0,0,3,6,6,6,8,8
26032007200,3,3,6,6,8,9,9,11,19
36142262500,4,7,7,10,12,12,13,13,13
36910709600,0,8,44,49,49,49,49,49,49
35786664700,2,2,2,5,5,5,5,6,6
36056165500,0,0,0,0,4,4,4,4,4
35784751000,13,13,13,13,13,13,13,13,13
7501411463,5,5,9,11,11,13,19,19,19
12243620500,50,50,50,50,50,50,50,50,50
43362012200,0,0,0,0,0,49,49,49,49
55604543200,0,0,0,6,6,10,10,10,10
36634833100,4,4,4,5,5,5,5,5,5
30567622600,4,4,7,11,13,13,13,22,22
36672618100,0,0,0,9,10,12,12,12,12
7003607180,2,2,5,5,11,11,11,11,11
36070382500,2,2,2,2,4,6,6,6,6
55792674700,0,0,0,0,0,5,5,5,5
36238323500,0,0,0,0,6,6,6,6,6
56081409500,0,0,0,0,2,2,2,2,2
6503902541,0,0,0,1,1,1,1,1,1
8602636800,2,3,3,3,5,5,5,5,5
22979272400,0,5,8,9,15,15,22,22,23
35738532400,0,0,0,1,1,1,1,1,1
57192447264,0,0,0,3,3,4,4,4,4
7801384618,0,5,5,5,5,5,5,5,10
55922442200,2,3,3,3,4,4,4,4,4
36659121200,8,8,8,8,10,10,10,10,10
56426219900,8,8,8,8,8,8,33,33,33
35795603800,1,1,2,3,3,6,6,6,8
24722798900,7,7,7,13,16,16,16,16,16
35321294600,0,0,0,0,0,0,28,28,28
36020436800,0,0,4,4,4,11,18,18,18
7006611965,0,0,0,33,33,33,33,33,33
23007469300,6,9,9,9,11,11,11,11,12
35312684900,0,0,0,0,1,1,1,1,1
7103344347,0,0,0,0,0,0,0,7,7
56168749500,0,0,2,2,3,3,3,3,3
36668406600,13,14,14,14,18,18,19,21,23
38261622300,0,2,5,8,11,13,13,13,13
16052722700,0,0,0,6,6,6,6,9,9
36602369600,0,1,1,1,6,6,6,6,6
6603074745,3,3,17,17,22,22,24,27,33
36441669100,1,1,1,1,1,1,1,1,1
36996783200,0,13,23,23,28,28,28,28,28
55826531700,0,0,6,6,16,16,16,16,16
36679709300,5,5,23,23,28,28,28,28,28
36617093900,0,0,0,0,0,6,6,6,6
56046212500,0,0,4,6,7,7,7,8,8
54785078700,0,3,3,3,3,3,6,6,6
55989542600,0,0,0,0,0,0,3,3,3
36613139200,0,0,0,0,0,0,0,6,6
25921891800,0,0,2,2,2,2,2,2,2
35519441200,4,5,14,19,20,20,26,28,30
36028867900,2,2,2,2,2,2,2,2,2
24475608800,0,0,0,0,0,27,27,27,27
8598010700,1,1,13,21,29,29,29,29,32
16233889800,1,2,2,2,2,4,4,4,4
36629421100,0,0,0,0,0,0,0,6,6
36186148100,0,0,0,2,2,8,11,11,11
54958719300,1,2,6,9,10,13,14,16,19
36187152600,0,5,5,5,5,5,5,5,5
6602360512,0,0,0,0,0,0,0,0,11
36618322200,0,5,5,5,5,5,5,5,5
23395808800,0,0,0,0,4,8,8,8,15
36116850200,0,3,3,3,3,3,3,3,3
22979287300,0,0,0,0,0,3,3,3,3
6507928463,0,0,0,0,0,6,6,6,10
26036367000,0,0,0,1,1,1,1,1,1
35329662300,0,0,0,0,0,0,0,2,2
36745511200,0,0,10,12,13,14,20,24,24
36552331000,0,0,0,0,4,4,4,4,4
9637157900,0,0,7,7,7,13,22,28,31
36489867900,0,0,11,15,15,17,17,17,17
36167211300,7,7,8,8,8,8,8,11,11
37079378900,3,3,4,4,6,15,17,17,17
53863915700,0,4,4,4,4,4,4,4,4
24502799000,9,9,9,9,9,9,9,9,9
55834334400,0,0,0,0,5,5,7,14,18
45761093300,0,1,1,3,3,5,6,6,7
10039742500,5,5,5,9,10,14,16,22,23
14047401000,0,0,0,0,0,0,4,4,10
57194498324,0,2,2,2,2,2,2,2,2
36701173500,0,0,6,6,15,15,15,31,31
12240695900,1,3,4,9,11,18,23,23,26
53867695700,0,0,3,6,6,12,17,17,20
57200377359,1,10,10,10,10,10,10,12,12
14039429200,0,0,0,4,4,4,4,4,4
36638263700,0,0,6,7,7,9,9,9,9
36625033900,5,5,6,6,6,8,8,8,8
55599372600,11,11,11,11,11,11,11,17,17
36458424500,3,3,3,9,18,18,22,22,22
57198660435,0,2,2,2,4,6,6,6,6
55772187400,0,0,0,0,7,7,7,7,7
57203501173,0,0,7,10,10,10,10,10,10
36133780400,1,1,1,1,1,1,1,6,6
35796226900,0,8,8,8,8,14,14,14,14
36623278200,3,4,6,6,9,9,9,10,11
9939423600,17,17,20,20,20,20,27,27,27
41361468700,3,3,3,10,19,27,27,29,32
36518222500,9,9,18,20,20,23,28,32,32
55585001500,0,0,9,9,9,9,9,9,9
55176932300,0,0,2,2,2,6,6,8,8
35222110000,0,0,0,0,0,0,0,0,4
11941006600,4,7,7,7,7,7,7,7,7
55837153100,1,1,1,3,4,6,6,6,8
23469136100,0,0,0,0,0,2,2,2,2
8873012300,3,3,6,7,14,14,16,16,18
35744505700,0,0,0,6,6,7,7,18,18
36454465800,9,9,29,29,46,46,106,106,106
7202227564,0,0,0,0,0,0,0,7,7
7003444077,0,0,0,0,4,4,6,6,12
36996458600,0,0,0,5,12,28,40,40,40
49961919100,0,0,0,0,10,14,14,14,14
36197056900,0,0,0,0,1,1,1,1,3
37085158600,0,0,0,0,0,0,3,31,32
57190935717,0,0,10,10,10,10,10,10,10
7005400859,0,0,0,0,0,5,5,5,5
36474347000,3,3,3,3,3,3,6,6,6
36545317200,0,3,3,4,4,4,17,18,18
36605423500,7,7,7,7,7,7,7,7,7
6603756861,8,8,9,13,16,75,75,77,77
7003690123,6,7,7,7,7,16,16,16,16
55660859200,1,1,1,2,2,2,5,5,7
36482718200,4,4,4,7,9,13,16,21,33
35321803500,0,0,0,0,0,0,39,39,39
26034376000,5,5,5,11,11,11,11,11,11
36717391200,7,11,11,11,13,13,13,16,17
56703126700,4,4,4,4,9,9,9,9,9
55001806400,3,3,7,7,7,9,9,9,9
8562616900,0,0,0,0,0,0,0,12,12
16175973300,6,7,10,10,10,11,11,14,14
36180280200,0,0,4,4,4,4,4,4,4
6505755418,3,4,4,5,5,5,5,5,5
36605986900,0,8,20,20,22,22,22,25,25
23570243900,0,3,3,3,3,3,3,5,5
16203199000,0,0,0,0,0,0,11,16,16
35363966800,0,0,7,14,14,14,14,14,14
55113758800,4,4,15,28,38,38,38,38,38
55697934000,0,0,0,0,0,0,0,11,11
55394585600,0,5,7,9,9,9,14,14,17
36662250200,2,2,2,5,15,15,15,15,15
36550202100,2,2,2,2,2,2,2,2,2
36680489000,0,0,0,7,7,7,7,7,7
36997760200,0,0,0,5,5,7,7,7,21
36600696500,0,0,20,20,20,20,22,27,27
9841105000,0,0,3,3,3,3,3,3,3
53363978300,0,0,0,0,0,3,3,3,3
7004712190,0,0,0,0,0,0,6,6,6
25636775500,0,0,4,5,5,5,5,5,5
36975456200,5,5,5,7,7,7,7,7,7
36080539600,4,9,10,12,12,12,12,17,17
36650158200,0,0,0,0,0,0,0,5,5
36182981600,6,6,10,10,10,10,10,10,10
7006434565,0,0,0,0,0,0,59,59,59
35199294300,4,4,4,4,6,6,9,13,13
37052416500,2,2,2,2,2,4,6,6,7
36159473800,0,0,0,0,5,5,5,5,5
9242826400,0,7,7,7,7,7,9,9,9
35490553300,6,6,6,6,6,6,6,6,6
36677164200,2,3,7,12,19,20,21,21,21
37057350700,0,0,3,3,5,5,5,5,5
53364281100,0,0,5,5,5,15,15,15,15
36917776700,0,0,0,0,4,4,4,4,4
36727455100,0,0,0,3,5,5,5,5,5
7403337597,0,0,0,3,3,3,3,3,3
25724583400,0,2,2,2,2,2,2,2,2
25637925300,0,0,0,0,0,0,0,0,10
36613715800,4,7,8,8,8,12,12,12,12
6507130620,3,3,9,9,9,9,9,9,9
6604059778,0,0,0,0,3,3,3,3,3
36998009900,10,13,16,16,16,16,16,26,68
8439640900,0,0,4,4,4,4,4,4,4
36021722900,0,0,0,0,0,12,12,12,12
26321161500,0,0,0,0,6,6,6,6,6
36087871900,4,4,4,4,4,4,4,6,9
36637100800,0,0,0,0,0,0,0,14,14
6506568832,78,78,78,78,78,78,78,78,78
55894807400,0,0,0,23,23,23,23,23,23
56426841700,0,0,0,0,0,0,2,5,5
36662289500,8,8,9,9,10,12,14,16,16
35115560000,0,0,0,0,4,4,4,4,4
35574567800,5,8,10,12,12,16,16,18,20
57197605093,0,4,4,4,4,4,4,4,4
36630998600,7,7,7,7,7,11,12,12,12
56007685100,4,4,4,6,6,11,14,19,19
55509343300,0,0,0,0,0,0,0,0,3
36469788300,4,7,8,8,8,8,8,8,12
6701666696,0,0,0,0,0,0,0,9,9
56820316100,0,0,0,0,0,7,7,7,7
36238347300,21,21,21,21,34,34,34,34,34
55638466400,0,0,8,8,8,13,16,16,16
24333140600,0,0,0,1,1,2,2,2,2
6503908779,35,35,110,110,121,121,123,135,135
36061479300,0,0,0,0,23,23,23,23,23
55019681200,0,0,9,9,81,81,95,95,95
16027677700,0,0,3,3,3,3,3,3,4
36681868700,0,0,0,3,7,7,11,16,17
24763291200,0,0,0,0,0,0,0,5,5
37013712000,0,0,1,1,4,4,4,4,4
54399376400,0,4,4,4,4,13,13,16,18
36350595400,0,2,2,3,22,22,22,25,25
7403475003,0,0,0,0,0,0,0,12,12
36092526300,2,3,3,3,3,5,5,5,5
7003397447,5,6,6,8,8,14,18,19,20
36536426100,0,3,6,8,18,24,24,24,24
35809918500,4,4,4,7,10,17,18,18,18
36240736100,14,14,14,14,14,14,14,14,14
36146153000,0,2,5,19,19,20,20,20,20
7003679851,2,2,2,2,6,6,6,6,8
56770645700,16,16,16,16,41,41,41,41,41
8650744400,5,11,11,14,14,22,29,34,34
36607855500,0,0,0,0,0,1,1,1,1
15044821700,1,4,9,10,13,20,20,20,20
36869823600,0,2,3,3,3,3,3,3,5
6602170447,0,6,6,6,6,6,6,6,6
36810264000,0,0,5,5,5,9,11,19,21
22733984100,4,4,6,8,8,10,13,13,13
7103166226,0,0,0,0,0,0,77,77,77
54880777400,0,0,0,0,0,12,12,12,12
8399646700,3,3,3,3,3,3,3,3,3
35790472900,0,0,0,1,1,1,4,4,4
36717261800,0,11,12,12,12,12,12,12,12
41660901200,0,0,0,0,0,5,9,9,9
36639436700,0,0,4,5,5,5,5,5,5
25641333500,0,0,0,0,23,23,23,23,23
7006155150,0,4,5,5,5,8,23,23,23
57203616500,3,3,3,3,3,3,3,3,3
56232150200,0,0,0,0,0,0,4,4,4
36671070900,3,3,3,3,3,3,3,3,3
36177185400,0,0,0,7,7,7,7,7,7
35763048200,5,5,7,7,7,7,8,8,8
36681465300,4,7,8,8,14,22,24,29,29
36471460700,6,6,6,6,6,6,6,6,6
25633896600,0,0,0,0,5,5,5,8,8
36810472400,2,2,2,2,2,2,5,5,9
36781957700,4,4,4,4,6,12,13,19,28
36902840400,0,0,2,2,2,2,4,4,4
55477775700,0,0,0,0,0,4,4,4,4
35602731200,2,4,4,6,7,8,12,12,12
35422010300,0,0,30,30,30,30,30,30,30
7005567401,0,3,3,8,8,8,8,8,8
35104164200,0,0,0,0,0,2,2,2,2
6507794566,32,32,34,35,35,35,39,42,45
36655534800,3,3,4,4,4,5,5,8,8
36093357900,42,42,42,42,42,42,42,42,42
36088422800,0,0,0,0,0,0,1,1,1
36721362100,4,4,4,4,4,4,8,8,8
8877064200,4,8,11,11,11,11,11,11,11
25923536700,0,0,0,0,0,0,4,4,4
28568188500,0,0,0,0,5,5,5,5,5
36613519500,9,9,9,9,9,9,9,9,9
34870369600,2,2,2,4,4,6,6,6,6
55521666300,0,0,0,0,0,0,0,0,7
24833705300,44,44,62,62,99,99,99,99,178
36160860100,2,10,15,22,22,24,25,28,32
37665168900,0,3,3,3,3,4,4,6,6
35191252300,11,15,18,21,30,33,33,34,35
35278031900,0,0,0,0,23,23,23,23,23
36462725700,0,4,4,9,9,9,9,9,9
25824938400,0,0,0,0,21,21,21,21,21
35793348900,0,4,4,9,9,16,16,16,16
6506725695,44,44,106,106,176,176,176,176,231
35766389400,0,0,0,0,6,6,6,6,6
51664546400,3,3,7,28,28,28,31,31,31
36508563500,0,0,0,0,0,0,3,3,3
36549626800,0,3,3,3,3,3,3,3,3
7004993603,37,38,38,38,38,38,38,38,38
36674204900,0,0,0,0,0,0,8,8,8
18036536600,8,8,8,18,25,34,49,62,71
36844626700,0,0,0,12,18,18,18,18,18
36462469200,0,7,7,8,8,8,8,8,8
7007075420,44,44,74,74,110,110,110,110,110
56906339600,1,1,1,3,5,5,5,5,5
37018598600,0,22,22,33,33,33,33,33,33
36131265600,0,0,1,6,6,6,6,6,6
37361453800,0,0,0,0,0,0,0,4,4
36008202700,0,0,0,0,0,0,4,4,4
36760635900,4,4,4,7,13,13,14,14,14
37037344400,0,0,0,4,4,4,4,4,4
36149189000,0,0,0,0,0,0,2,7,7
56394548800,1,1,3,6,6,7,7,7,9
36159526000,3,3,3,3,3,3,3,3,3
55625004900,0,0,0,0,2,6,6,6,6
7102870518,0,0,2,8,10,11,11,11,12
