ID,2016,2017,2018,start_year
55537246700,2,2,2,2016
57192695984,2,2,2,2016
57191430765,4,4,4,2016
56021622700,5,5,9,2016
57192206816,7,10,10,2016
57191161185,2,2,4,2016
56004970200,4,5,7,2016
34975073000,8,8,9,2016
56528365600,3,3,3,2016
35797607700,3,3,3,2016
57191334606,5,5,5,2016
57190684368,4,4,7,2016
57190070986,2,2,2,2016
24472400500,13,13,13,2016
47762230700,2,2,2,2016
56647672700,6,7,12,2016
36552472900,3,3,7,2016
57190400901,2,2,3,2016
57110035400,3,3,3,2016
7006447691,39,40,42,2016
57190582148,2,6,11,2016
24485065500,6,6,15,2016
57193884328,2,2,6,2016
57191071105,4,4,4,2016
57201375463,4,4,4,2016
44861399900,3,3,3,2016
54419407400,2,2,3,2016
57190372950,3,3,5,2016
57200275126,3,3,5,2016
57194324297,4,4,4,2016
57191034149,2,2,2,2016
57201647431,3,3,3,2016
57193337202,2,2,8,2016
57192666625,4,4,5,2016
55845758800,4,4,4,2016
36163427600,6,9,9,2016
57189469647,12,12,12,2016
55574266600,3,3,3,2016
57190066754,3,3,7,2016
55611749600,2,2,3,2016
8316952100,24,24,29,2016
57193160664,3,3,5,2016
57193017604,3,3,6,2016
35786830100,9,9,9,2016
57190027899,3,3,3,2016
57188730185,5,5,5,2016
57190948403,3,3,3,2016
8961093200,6,9,10,2016
10239347500,2,2,9,2016
57190609009,3,3,3,2016
57191071084,2,2,2,2016
56868458300,4,4,4,2016
36609030500,10,10,13,2016
41561808600,6,10,22,2016
56872980700,2,2,2,2016
6603074850,2,2,5,2016
25825750000,3,4,11,2016
6507432564,8,8,52,2016
55636640200,4,4,4,2016
20437030300,5,5,5,2016
57193754109,4,4,4,2016
57193333367,3,3,4,2016
15135874200,3,4,4,2016
35145266600,2,2,2,2016
57193128120,4,4,5,2016
57191898669,3,3,3,2016
7004959591,68,68,72,2016
21741760600,1,1,3,2016
56458738500,4,9,12,2016
