ID,2017,2018,start_year
55935734000,6,6,2017
57201033150,3,3,2017
57195931498,3,5,2017
57195064486,6,9,2017
57190313496,4,4,2017
57193574657,5,6,2017
57201911428,2,5,2017
57200520134,4,4,2017
57199050766,5,5,2017
57205031352,4,7,2017
57195542788,2,2,2017
55795950700,4,12,2017
57200200960,3,3,2017
57200202603,1,1,2017
24338412600,3,4,2017
57193351022,4,6,2017
56967329900,5,6,2017
57195717668,2,2,2017
57195629997,3,4,2017
57202412954,2,3,2017
57195228292,2,2,2017
15924026800,5,9,2017
6602943327,3,4,2017
57198894453,5,7,2017
57195231942,3,4,2017
16646862500,44,44,2017
56352523400,6,21,2017
55616335800,6,14,2017
56453486800,2,3,2017
57200517667,4,14,2017
57199274037,4,7,2017
55348333800,2,2,2017
55918851000,6,7,2017
55600674000,3,3,2017
57201032771,3,3,2017
56400515900,2,3,2017
57193745242,4,4,2017
57194493423,4,4,2017
23390356300,3,4,2017
57194152827,5,11,2017
55855751100,4,7,2017
55496634400,3,3,2017
57203203955,4,9,2017
57194195379,2,5,2017
57188563693,3,3,2017
57193737201,5,7,2017
57202070678,4,4,2017
57201864706,5,9,2017
57194037179,5,6,2017
23005852100,11,12,2017
55636036300,3,3,2017
57199849347,5,5,2017
57200505374,3,3,2017
57200517179,3,3,2017
57200445816,3,3,2017
57200613229,4,4,2017
14832238500,2,2,2017
57094132100,4,6,2017
6602499245,4,4,2017
55355605000,6,6,2017
57194040355,5,5,2017
57202649019,1,1,2017
57191905467,1,1,2017
57195568525,8,8,2017
55885344800,1,1,2017
36170983300,4,4,2017
25627961200,3,5,2017
57194778868,4,8,2017
57190586037,3,3,2017
57200993414,2,2,2017
57194572140,5,5,2017
55561741600,2,2,2017
57195428258,10,14,2017
56453474400,2,3,2017
57200141645,2,3,2017
57199997946,2,3,2017
57200614076,4,4,2017
57194166709,3,12,2017
22234735100,7,18,2017
57200139795,2,6,2017
56996622600,4,10,2017
57195640935,2,2,2017
57200203573,3,5,2017
57200513266,5,14,2017
57203384047,4,9,2017
55613570900,2,2,2017
57130385700,4,4,2017
57197868311,3,5,2017
56808815500,10,13,2017
57191157137,4,4,2017
57203183353,5,9,2017
57194034901,5,5,2017
56393795600,3,8,2017
56330035200,4,4,2017
57192708571,5,7,2017
53984324100,5,7,2017
57022616100,3,9,2017
57196354683,2,2,2017
57200205062,3,5,2017
25026675000,8,8,2017
57200131194,2,2,2017
8963417100,4,7,2017
14048539000,3,3,2017
57194179596,2,7,2017
57195434134,3,12,2017
57197746565,5,15,2017
57195403750,3,3,2017
57194040702,2,2,2017
57194039538,2,2,2017
57199996120,2,8,2017
57195971862,2,3,2017
6701629119,2,2,2017
57203624196,6,7,2017
57194037849,2,2,2017
53985314800,5,6,2017
57092363300,2,2,2017
15130916600,3,11,2017
57200015920,3,4,2017
57194197141,3,3,2017
57195336256,4,4,2017
57193353250,3,9,2017
57195428233,2,5,2017
36720291600,5,7,2017
57195411308,2,2,2017
8907934100,2,3,2017
56436467300,3,3,2017
57196020918,2,2,2017
57195386028,4,4,2017
24781555000,3,22,2017
57199049365,5,5,2017
57189591686,1,5,2017
57193342070,4,4,2017
57200586879,6,9,2017
25925508900,2,5,2017
57195632654,3,3,2017
13104961500,2,8,2017
57193256522,5,5,2017
57193342817,1,1,2017
56049394300,6,7,2017
57194784275,3,3,2017
57190395797,2,2,2017
8224503900,9,19,2017
57199996790,2,3,2017
15019097300,3,8,2017
57200521891,5,9,2017
23010742900,8,20,2017
57192871197,3,6,2017
56494597200,3,11,2017
57193351924,2,3,2017
57193348138,4,4,2017
36715118000,5,6,2017
57193606749,2,2,2017
57195518190,1,1,2017
