Unnamed: 0,ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
5421,57194221708,4,4,4,4,4,4,9,9,14,2010
5425,55478970100,42,42,42,42,42,42,42,42,42,2010
5426,6504747977,3,3,3,3,3,3,3,3,3,2010
5431,13605660100,14,14,14,14,14,14,14,14,14,2010
5447,24344369400,3,10,12,20,25,25,25,25,28,2010
5458,35453479100,21,21,21,21,21,21,21,21,21,2010
5467,36986619800,1,1,1,1,1,1,1,1,1,2010
5473,7401732078,5,5,15,15,15,15,15,15,15,2010
5475,7004751984,3,3,3,3,3,3,3,3,3,2010
5478,57189460584,4,4,4,4,4,4,4,4,4,2010
5482,6603061582,15,15,15,15,15,15,15,15,27,2010
5484,25723748300,4,4,4,4,4,4,4,4,4,2010
5488,24169399400,82,84,165,165,165,165,165,165,165,2010
5547,36670939100,4,4,4,6,6,6,6,6,6,2010
5553,57193414549,2,6,6,6,6,6,6,6,6,2010
5603,25930449100,10,10,10,10,10,10,10,10,10,2010
5614,7004130839,10,17,17,17,17,17,17,17,17,2010
5654,24777312000,10,10,10,10,10,10,10,10,10,2010
5683,35237051200,9,9,9,9,9,9,9,9,9,2010
5717,36521691600,3,3,4,4,4,6,6,7,7,2010
5727,36809537000,2,2,2,2,2,2,2,2,2,2010
5731,40461961600,2,3,3,3,3,3,3,3,3,2010
5761,55718991000,3,3,3,3,3,3,3,3,3,2010
5820,35146662800,2,2,2,2,2,2,2,2,2,2010
5866,55702520582,4,4,4,4,4,4,4,4,4,2010
5878,55885334800,3,3,3,3,3,3,3,3,3,2010
5915,15066338200,6,6,6,6,6,6,6,6,6,2010
5922,14632117400,3,3,3,6,6,7,7,7,7,2010
5932,36717742000,8,10,10,10,13,13,13,15,15,2010
5933,7102457888,3,5,5,5,5,5,5,5,5,2010
5966,37046863800,6,6,6,6,6,6,6,6,6,2010
5982,36767614600,4,4,4,4,4,4,4,4,4,2010
5998,55876526000,1,1,13,13,13,13,37,37,37,2010
6011,6508156814,3,3,3,3,3,3,3,3,3,2010
6030,6506336769,3,3,5,6,8,8,8,8,10,2010
6042,55918790000,3,3,3,3,3,13,13,25,25,2010
6049,24398871700,19,21,21,21,21,21,21,21,21,2010
6055,7004980255,6,38,46,46,46,46,46,46,46,2010
6079,36606898400,75,75,75,75,75,75,75,75,75,2010
