Unnamed: 0,ID,2016,2017,2018,start_year
3777,57207006689,3,3,3,2016
3788,14065570000,4,4,4,2016
3815,35351567000,3,3,3,2016
3859,57204340016,47,47,47,2016
3904,15842329000,5,9,9,2016
3924,57192208910,4,5,5,2016
3927,55807355500,5,7,15,2016
3928,57191956520,3,3,3,2016
3939,57190745405,4,4,4,2016
3941,6504350888,2,2,2,2016
3973,53866212000,17,17,17,2016
3979,57190754559,8,8,8,2016
4019,57188581674,5,5,5,2016
4046,55453710300,1,1,1,2016
4088,7403619349,4,4,4,2016
4108,57052014100,36,36,104,2016
4119,57189344809,82,82,82,2016
4121,57204736361,6,6,6,2016
4143,55523498400,4,4,4,2016
4222,26421131300,4,4,4,2016
4225,57191912451,3,3,4,2016
4243,55979118000,10,10,10,2016
4283,14053507600,12,12,12,2016
4303,7006094962,27,27,27,2016
4315,57202392789,2,2,2,2016
4331,6603966596,15,15,15,2016
4339,57193134440,3,3,3,2016
4361,27267841100,5,7,19,2016
4392,56514513200,39,39,39,2016
4401,57193647155,1,3,3,2016
4422,35336690500,6,6,6,2016
4436,57190436407,61,65,65,2016
4448,7005716178,8,8,8,2016
4494,56692168000,3,3,3,2016
4495,57189043142,3,3,3,2016
4499,7004181101,3,3,3,2016
4529,57190065508,3,3,3,2016
4531,46062018600,6,6,6,2016
4551,6506079006,5,5,5,2016
4556,57190883380,5,5,5,2016
4559,6505920401,78,78,112,2016
4560,57204375486,3,3,3,2016
4563,57203239853,6,6,6,2016
4587,57144903600,5,5,5,2016
4604,36097963200,3,3,3,2016
4605,56160243300,4,4,4,2016
4655,55876947700,5,5,5,2016
4661,6508368901,3,3,3,2016
4695,55988347000,3,3,3,2016
4699,56258325200,7,7,7,2016
4751,57190883130,2,3,5,2016
4752,24802263400,8,8,8,2016
4807,17345107400,2,2,2,2016
4840,7201890639,5,5,5,2016
4849,57189344919,82,82,82,2016
4855,57190375595,3,3,3,2016
4858,8594772100,14,14,26,2016
4860,7005562890,16,16,16,2016
4889,7202210195,6,6,6,2016
4890,56819006500,4,5,6,2016
4907,57160474600,4,4,6,2016
4920,57191898888,3,3,3,2016
4925,24073889300,8,16,23,2016
4930,57196335284,3,3,3,2016
4932,7402917732,5,5,5,2016
4951,22933798300,6,7,7,2016
4955,57192951536,2,3,3,2016
4965,55773864300,55,55,55,2016
4973,42561098700,1,1,1,2016
5046,23480203400,21,21,21,2016
5075,55868827400,33,33,33,2016
5094,57189763844,7,12,12,2016
5116,57192086183,11,11,11,2016
5122,14063914500,25,25,28,2016
5142,55372581000,55,55,55,2016
5147,57189059220,3,3,3,2016
5151,57192206749,35,35,35,2016
5153,57190336425,6,6,6,2016
5185,55342086400,4,4,4,2016
5196,56340814500,19,24,24,2016
5205,7004123569,81,81,81,2016
5243,57190985801,7,7,7,2016
5259,56007514200,9,9,9,2016
5278,35179363000,2,2,2,2016
5279,7003703698,32,32,32,2016
5294,56198322800,11,20,20,2016
5295,17341189400,22,22,22,2016
5304,57191428557,4,4,7,2016
5307,55699137300,4,4,4,2016
5314,57204213806,2,2,2,2016
5326,57184251300,4,4,4,2016
5364,57194484529,3,3,3,2016
5382,57193434644,3,4,4,2016
5384,56786221900,1,1,1,2016
5388,9338124800,3,3,3,2016
5408,57192105144,6,6,6,2016
5415,57192587510,2,5,5,2016
5424,7005245951,4,4,4,2016
5430,57196752863,2,4,4,2016
5434,56368017300,8,8,8,2016
5476,7004073808,32,32,32,2016
5493,55317844600,4,4,4,2016
5508,13309863500,5,5,5,2016
5514,56333169400,16,16,21,2016
5535,23100090400,4,4,4,2016
5566,57192979146,3,3,3,2016
5595,56784408900,5,5,5,2016
5607,57190393812,3,3,3,2016
5668,48862109800,4,4,4,2016
5688,55185136000,6,6,6,2016
5689,35108554400,17,17,17,2016
5693,6701341154,14,14,14,2016
5702,49862369900,21,21,21,2016
5712,55350783400,6,6,6,2016
5726,57192671568,10,10,10,2016
5729,36241355300,6,6,6,2016
5762,16678684200,8,8,8,2016
5786,57190860223,11,11,11,2016
5800,55882972600,6,6,6,2016
5807,57190755060,10,10,10,2016
5819,12645507900,16,16,16,2016
5828,57198066775,81,81,81,2016
5832,15751763300,4,7,7,2016
5849,56800833000,4,4,4,2016
5860,48761088500,1,1,1,2016
5865,57192103620,10,10,10,2016
5870,57191918431,3,3,3,2016
5872,22961156500,4,4,7,2016
5882,13105039600,7,7,7,2016
5920,7006873512,3,3,3,2016
5948,57189578188,6,7,7,2016
5965,57190608236,1,1,1,2016
5976,57190022950,5,5,5,2016
5985,7006694465,4,4,8,2016
6019,14831586900,2,2,2,2016
6039,22834392900,6,6,6,2016
6041,55586120100,13,13,13,2016
6044,7004516626,4,4,4,2016
6059,7005455636,5,5,5,2016
6071,6506908112,14,14,14,2016
6077,57190491365,10,10,10,2016
6093,57200097106,4,4,4,2016
6105,22136867100,2,2,2,2016
6121,6505866462,4,4,4,2016
6138,57195137694,4,4,4,2016
6150,6603062918,43,43,49,2016
6183,57190163141,3,3,3,2016
6189,57197023056,10,10,10,2016
6204,6602923415,2,2,2,2016
6208,55485468000,3,3,4,2016
6224,55601367800,2,2,2,2016
6260,56446962600,3,3,3,2016
6268,57191844078,5,5,5,2016
6289,57000442700,9,9,9,2016
6303,57193309686,4,4,4,2016
6315,57194710749,3,4,4,2016
6316,55902500400,4,4,4,2016
6317,57190971967,2,2,2,2016
6318,27467923400,3,3,3,2016
6365,6603060414,16,16,16,2016
6373,36710944800,25,25,28,2016
6374,7403362701,49,49,75,2016
6375,57191615965,5,7,7,2016
6420,6603574298,3,3,3,2016
6427,57189006149,3,3,3,2016
6432,7003949555,4,4,4,2016
6452,7102295127,33,33,54,2016
6461,57192164171,2,2,2,2016
6479,34978595600,5,5,5,2016
6496,57193449830,5,5,5,2016
6517,7003661500,16,16,16,2016
6526,7202143775,5,5,5,2016
6570,8628163300,55,55,55,2016
6604,35114716800,3,3,3,2016
6626,57190129884,3,3,3,2016
6641,56603677600,3,3,3,2016
6648,57189344696,82,82,82,2016
6664,57204495492,3,3,3,2016
6701,57199957975,4,4,4,2016
6713,35480901800,2,2,2,2016
6723,57192369246,4,6,6,2016
6736,57192379141,4,4,4,2016
6770,8147834600,5,5,5,2016
6781,22938028700,14,14,14,2016
6790,12778596600,2,2,2,2016
6819,57192168756,6,6,6,2016
6832,6603488514,4,4,4,2016
6846,56439922600,2,2,2,2016
6861,57192589768,6,6,6,2016
6870,57199345394,4,4,4,2016
6878,37053935000,6,6,6,2016
6898,57191056471,6,6,6,2016
6912,7003364161,3,3,3,2016
6961,12770368900,4,4,4,2016
6973,57189326005,2,4,5,2016
6975,23766940400,11,11,11,2016
6987,56514723700,35,35,35,2016
7042,17234167000,13,13,13,2016
7044,57191429348,3,3,5,2016
7050,57192303290,6,6,6,2016
7053,8930791000,32,32,32,2016
7061,57031932100,9,9,9,2016
7081,51161739000,5,5,5,2016
7103,57190982930,16,16,16,2016
7104,57190344568,2,2,2,2016
7108,57191282166,5,5,9,2016
7132,7102700419,72,72,72,2016
7133,7006646420,6,6,6,2016
7164,26658021600,6,6,6,2016
7194,57189495788,5,5,6,2016
7215,56071074400,8,8,8,2016
7226,24482701000,3,3,3,2016
7227,26657659600,16,16,16,2016
7228,7004303880,1,1,1,2016
7229,35366873200,6,6,6,2016
7230,36573591800,3,4,4,2016
