Unnamed: 0,ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
26584,36800807000,1,1,3,3,3,3,5,5,5,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,1991
27083,55904086900,2,7,7,9,9,9,10,11,11,16,16,16,16,18,19,20,20,23,27,30,31,34,43,44,44,47,47,47,1991
27354,7003444349,6,6,6,6,6,7,7,7,7,7,10,10,10,10,10,10,10,10,20,32,32,32,32,32,32,32,32,32,1991
28151,6601993897,1,1,1,1,1,1,6,8,9,9,9,9,9,9,9,9,9,9,11,11,11,13,14,14,14,14,14,20,1991
28296,57197693402,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1991
28970,6603745787,3,3,3,5,5,5,5,5,5,7,10,12,13,16,20,52,55,72,73,76,77,97,97,101,115,119,123,129,1991
29934,26537774900,2,2,2,2,3,3,3,3,3,5,6,9,12,13,13,18,21,32,33,34,37,40,42,44,45,45,47,48,1991
30039,7003622985,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,9,9,10,16,18,18,23,1991
30245,16413458700,3,6,6,9,10,10,11,11,12,12,13,15,16,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,1991
30350,7404929917,1,1,2,2,7,8,12,13,13,16,21,22,28,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1991
31365,6701502036,3,3,3,4,5,5,7,11,12,21,22,24,25,26,31,33,35,38,38,38,41,43,44,44,45,46,48,48,1991
32145,23397976500,1,1,1,2,2,5,5,7,8,10,10,10,10,11,11,15,15,16,17,19,19,21,21,22,22,27,27,28,1991
32208,7005340533,1,2,2,2,7,8,8,8,8,9,9,9,9,13,13,15,17,17,19,28,31,34,34,41,44,51,60,63,1991
32521,6601978312,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,6,6,6,6,10,10,10,10,10,10,13,13,1991
32838,55806265000,3,3,3,3,3,3,3,7,7,7,7,13,13,30,38,41,48,49,49,49,49,52,61,69,83,83,84,93,1991
33127,56180420500,5,11,11,14,14,18,18,18,19,21,21,21,21,21,23,23,23,23,23,23,28,28,28,39,43,43,43,43,1991
33153,7102728478,2,3,3,6,6,6,6,10,10,10,10,11,12,12,12,12,12,14,15,16,18,19,23,23,23,23,23,23,1991
33261,8377508900,6,6,6,7,7,7,7,7,9,9,9,11,13,16,18,18,18,24,25,26,26,29,29,29,29,29,30,30,1991
33466,7005825337,3,3,5,5,9,12,13,14,14,15,17,18,21,22,23,30,30,30,30,32,36,38,43,47,47,47,47,47,1991
33861,6602518710,1,1,1,1,2,3,9,9,9,9,10,10,11,11,11,15,15,15,15,15,15,15,17,19,20,20,21,21,1991
33944,7004438887,4,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1991
34057,7003418230,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1991
34498,7004005515,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,14,14,14,14,14,1991
35123,7202720451,2,2,2,2,2,2,5,6,6,6,6,6,10,10,11,11,11,11,11,11,11,11,11,11,11,12,12,12,1991
35450,6602087736,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1991
35678,7202653448,2,10,11,11,13,13,14,14,14,14,14,14,14,14,14,14,19,26,26,26,30,32,33,33,36,36,39,42,1991
35895,7103279644,1,3,5,5,5,5,8,8,9,9,9,9,9,12,17,17,17,20,20,20,21,25,25,25,31,31,31,32,1991
36291,55890472700,1,3,4,4,5,5,5,5,5,6,7,8,12,22,25,26,28,28,31,34,35,36,43,45,46,52,57,57,1991
36326,55902254300,1,1,1,1,2,2,2,2,3,5,5,5,6,6,6,9,9,9,13,15,20,22,26,31,32,32,37,41,1991
36483,6701418249,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1991
37375,6602460174,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,18,18,20,20,20,20,20,20,20,20,20,20,1991
37452,6603910626,2,2,2,2,2,3,5,10,13,14,19,21,22,22,26,26,43,54,59,64,67,68,72,75,79,89,89,96,1991
37462,6603211702,1,1,1,3,3,5,8,8,8,11,11,11,15,15,15,15,18,18,18,23,25,25,28,28,28,30,30,31,1991
37619,6603440228,8,8,8,8,8,8,8,8,8,8,8,15,15,17,19,19,20,20,20,20,20,20,20,20,20,20,20,20,1991
38099,7005292009,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,6,6,7,8,8,8,8,8,8,8,8,1991
38226,7003741433,1,3,4,5,6,6,15,19,20,24,35,40,43,48,48,52,54,55,58,60,64,70,74,77,87,87,89,91,1991
38351,24463715200,5,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,14,14,16,18,20,20,20,20,20,20,20,20,1991
39477,6602123342,1,1,1,1,1,7,7,7,8,11,14,17,18,20,22,28,39,46,47,57,61,69,71,72,73,75,75,75,1991
40069,35311736800,1,1,1,2,2,2,4,4,4,7,22,22,23,23,23,26,28,32,34,34,45,49,52,54,57,67,68,68,1991
40311,35583532900,2,2,2,2,3,5,7,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,16,17,17,17,23,23,1991
40394,7402902372,4,4,4,5,5,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,13,13,13,13,13,1991
41203,7004276148,5,5,6,6,10,17,17,20,23,23,33,33,33,33,40,40,46,46,46,50,64,68,69,74,74,74,79,79,1991
41232,7202044329,2,2,4,4,4,5,7,7,11,11,14,16,16,17,17,17,17,17,17,19,22,22,22,22,22,22,22,22,1991
41487,55899087200,1,1,1,1,1,2,2,2,2,2,4,6,6,6,6,6,6,6,6,8,9,9,10,10,11,12,12,12,1991
41617,7003924509,2,2,2,6,7,7,8,10,12,15,16,25,26,26,26,37,40,44,47,57,60,60,63,68,69,72,75,75,1991
42198,7003667083,1,3,3,3,3,5,7,9,9,11,11,19,22,23,24,27,31,32,41,44,44,44,52,53,58,62,62,65,1991
42312,6604002463,5,5,8,8,9,9,11,11,11,13,13,13,15,15,15,15,22,22,29,29,29,29,29,34,36,36,36,36,1991
42953,7004320122,3,5,5,6,6,9,10,10,11,13,13,13,22,23,23,28,32,35,35,37,37,40,43,48,52,56,62,63,1991
43376,6603672495,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1991
43803,7006714124,1,7,8,9,12,13,17,18,18,20,20,25,27,29,29,30,30,33,37,39,39,41,41,41,41,41,41,41,1991
43827,6701921201,1,2,2,2,2,2,3,3,3,5,5,5,6,6,6,6,6,8,12,13,13,13,13,13,13,13,13,13,1991
