Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
3050,23008940000,15,15,15,15,15,15,15,15,15,15,15,15,2007
3087,15520146800,1,2,5,6,8,8,8,17,17,27,30,30,2007
3101,15822604300,2,2,2,2,2,2,2,2,2,2,2,2,2007
3105,23009311100,15,15,15,15,15,15,15,15,15,15,15,15,2007
3131,7004387664,2,2,2,4,4,4,7,8,11,13,13,14,2007
3161,7005912645,5,9,9,9,9,9,9,9,9,9,9,9,2007
3180,6601997040,7,7,7,7,7,7,7,7,7,7,7,7,2007
3196,36888870100,4,4,4,4,4,4,4,4,4,4,4,4,2007
3205,23495207800,13,13,13,13,13,13,13,13,13,13,13,13,2007
3222,24171367100,6,6,6,6,6,6,6,6,6,6,6,6,2007
3268,8250019700,3,3,3,3,3,3,3,3,3,3,3,3,2007
3269,7005769255,4,4,9,9,11,11,11,11,11,11,11,11,2007
3272,8303850000,4,6,6,6,12,14,17,21,21,21,28,35,2007
3281,24825743200,2,2,3,6,10,14,14,23,24,28,28,28,2007
3285,57200235166,3,3,3,3,4,4,4,4,9,11,14,14,2007
3416,23390709400,11,11,11,11,11,11,11,11,11,11,11,11,2007
3423,57189320212,2,2,2,2,2,2,2,2,2,2,2,2,2007
3435,35113819700,2,2,2,2,2,2,2,2,2,2,2,2,2007
3436,7403463887,9,9,9,9,9,9,9,9,9,9,9,9,2007
3472,16246709400,38,59,59,59,59,59,59,59,59,59,59,59,2007
3486,9535657800,3,3,3,3,3,3,3,3,3,3,3,3,2007
3501,9640045700,2,2,2,2,5,5,5,5,5,5,5,5,2007
3508,24468428200,31,31,31,31,31,31,31,31,31,31,31,31,2007
3547,23095434000,2,2,2,2,2,2,2,2,2,2,2,2,2007
3558,56329975700,3,3,3,3,3,3,3,3,3,3,3,3,2007
3601,8570867700,3,3,3,3,3,3,3,7,7,7,8,8,2007
3624,57196913097,12,12,12,12,12,12,12,12,12,12,12,12,2007
3633,16317175400,2,3,3,4,4,4,7,7,7,7,7,7,2007
3642,7404198484,7,7,7,7,7,7,7,7,7,7,7,7,2007
3644,23388241300,2,2,4,4,5,6,6,8,8,11,11,11,2007
3647,22949837900,5,5,5,5,5,5,5,5,5,5,5,5,2007
3682,23391776600,2,2,2,2,2,2,2,2,2,2,2,2,2007
3708,7410021561,2,3,7,8,33,33,33,33,33,33,33,33,2007
3721,57199423487,1,1,1,1,1,1,1,1,1,1,1,1,2007
3763,54931208100,18,18,18,18,18,18,18,18,18,18,18,18,2007
3789,57199938179,1,1,1,1,1,1,1,1,1,1,1,1,2007
3802,7202652733,5,6,6,6,6,6,8,9,9,9,12,12,2007
3817,15831881400,3,3,3,3,3,3,3,3,3,3,3,3,2007
3824,7102367018,3,3,3,3,3,3,3,3,3,3,3,3,2007
3830,55568511927,2,2,2,2,2,2,2,2,2,2,2,2,2007
3883,55894124100,9,9,13,15,17,17,25,25,25,25,25,29,2007
3896,16245707800,25,25,25,29,29,29,29,29,29,29,29,29,2007
3919,7403998352,4,4,4,4,4,4,4,4,4,4,4,4,2007
3930,7005136055,4,4,4,4,4,4,4,4,4,4,4,4,2007
3933,6603824844,2,2,2,2,2,2,2,2,2,2,2,2,2007
3944,57199558045,3,3,3,3,3,3,3,3,3,11,11,11,2007
3962,23393626100,4,5,5,5,5,5,5,5,5,5,5,7,2007
3969,7101608933,2,3,3,3,3,3,7,7,7,7,7,7,2007
3975,24923524900,4,4,4,4,4,4,4,4,4,4,4,4,2007
3981,13808136400,3,3,10,17,19,21,23,28,28,29,33,33,2007
4031,24467510400,11,11,13,13,13,13,13,13,13,13,13,13,2007
4033,20434909000,1,1,1,1,1,1,1,1,2,2,2,2,2007
4035,24483453400,2,2,2,2,2,2,2,2,2,2,2,2,2007
4039,8700043700,7,7,7,7,7,7,7,7,7,7,7,7,2007
4046,55986071300,4,4,4,4,4,4,4,4,4,4,4,4,2007
4049,7102537174,28,41,51,54,59,59,63,63,63,63,63,63,2007
4067,8620939600,11,11,11,11,11,11,11,11,11,11,11,11,2007
4083,9742075200,5,5,5,5,5,5,5,5,5,5,5,5,2007
4088,23487173400,2,2,2,3,3,3,3,3,3,3,3,3,2007
4089,8694487000,2,2,2,2,2,2,2,2,2,2,2,2,2007
4153,6603345872,49,56,56,56,56,56,71,71,71,71,71,71,2007
4155,7202383105,4,5,5,5,5,5,5,5,5,5,5,5,2007
4164,15922889800,3,6,6,8,12,14,19,19,19,19,21,21,2007
4180,7006556611,14,14,14,19,53,54,54,54,145,145,145,145,2007
4230,57191608116,3,3,3,3,3,3,3,3,3,3,3,3,2007
4232,9236210900,8,27,27,33,35,41,41,41,43,43,43,43,2007
4243,56160068200,2,2,10,10,10,10,10,10,10,10,10,10,2007
4244,23388123200,2,2,3,3,3,3,3,3,3,3,3,3,2007
4246,55921949000,4,4,4,18,29,36,36,36,42,42,46,46,2007
4247,56212894300,8,8,8,8,8,8,8,8,8,8,8,8,2007
4253,57203633141,4,6,6,8,10,10,10,12,12,12,12,12,2007
4254,25646095600,4,4,4,4,4,4,4,4,4,4,4,4,2007
4277,24476539600,3,8,8,9,9,9,9,11,11,11,15,18,2007
