Unnamed: 0,ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
3779,7202532047,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
3796,35801122200,9,9,9,9,11,11,11,14,14,18,18,29,29,29,39,39,39,2002
3797,7006511537,7,7,7,8,8,8,8,8,8,8,8,21,28,28,37,37,37,2002
3812,6504656588,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2002
3881,57193674310,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
3906,12645434100,4,4,4,4,7,7,22,26,26,37,43,48,48,48,55,55,73,2002
3919,35110060400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
3939,6603397689,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
3958,36185608200,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,9,9,2002
3995,6603762778,15,15,49,49,49,49,49,49,49,49,49,49,49,49,77,77,151,2002
4012,57198015181,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
4015,55979092400,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2002
4045,7401856169,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
4074,23008795500,8,8,8,8,8,8,8,8,8,8,8,8,63,63,63,63,63,2002
4076,7102522189,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
4085,7005234925,1,1,3,3,3,3,3,5,5,5,6,9,9,9,9,9,9,2002
4089,22734966200,2,2,2,2,2,2,2,2,2,2,4,4,7,7,14,14,14,2002
4100,56056677600,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
4120,6507097198,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2002
4196,15519383700,5,5,5,5,5,5,5,12,14,14,15,15,15,15,15,15,15,2002
4214,14036314200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
4278,56109510500,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2002
4332,22233692500,1,1,1,1,1,5,8,9,11,13,16,17,20,20,20,23,23,2002
4334,12752657500,6,6,6,8,8,10,10,10,10,15,15,15,18,20,21,25,39,2002
4347,7006935878,1,2,2,2,2,4,4,4,4,4,4,4,4,7,10,10,10,2002
4360,57202710626,38,38,38,38,38,38,38,38,38,38,38,38,38,38,46,58,58,2002
4393,6602474518,12,12,12,12,12,12,12,12,38,38,38,38,38,38,38,38,38,2002
4434,6507593829,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
4474,6602509654,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
4477,55613233813,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2002
4498,6506144817,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2002
4556,7003299143,6,10,10,15,15,15,15,15,15,15,19,23,23,23,23,23,23,2002
4637,7005265040,10,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2002
4638,6603498275,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2002
4696,7003781230,1,1,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6,2002
4720,55667551800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
4795,6505856692,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,2002
4800,7801593197,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2002
4820,23024104800,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,2002
4865,6602076340,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
4923,6507280725,1,1,1,3,3,3,3,3,3,3,3,3,3,11,11,13,13,2002
4949,7004086421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
4955,55943071200,3,3,4,4,4,4,4,4,4,4,4,10,17,17,17,19,19,2002
4956,7004013012,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2002
4965,7004551518,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2002
4986,56238030300,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
5029,7006616392,1,4,4,4,7,7,7,9,9,9,9,9,9,10,10,10,10,2002
5098,6506410711,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
5160,6503981598,19,19,19,19,19,19,19,34,34,34,34,34,34,34,34,34,34,2002
5164,6504800093,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
5184,22334105200,2,2,3,3,3,3,5,8,9,9,11,11,12,12,13,13,13,2002
5185,6701377267,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
