ID,2011,2012,2013,2014,2015,2016,2017,2018
54415088000,6,6,6,6,9,9,9,9
14420785100,1,5,5,7,10,10,10,10
7201651682,0,0,0,0,0,0,1,1
55293649000,0,3,3,3,5,5,5,6
6504123353,0,0,0,0,0,4,4,5
54788472200,7,13,20,20,29,29,29,29
36998707000,1,1,1,1,1,1,1,1
55210022200,0,4,4,4,13,13,13,31
35771474600,60,60,85,85,85,85,85,85
55721121600,2,2,2,3,3,3,6,6
57054186900,0,4,10,10,20,20,20,20
49963345700,2,2,7,9,15,15,15,15
15129698500,3,6,6,6,6,11,13,15
35748363400,2,2,2,2,4,4,4,4
36571419700,4,5,6,7,7,9,9,9
55445614200,0,6,6,6,6,7,11,14
37021281000,0,0,0,8,10,10,10,10
36859256300,0,0,6,6,6,6,6,6
55558713000,1,1,1,1,1,1,1,1
55452147300,0,2,2,3,3,3,3,3
41561248600,17,17,17,17,17,17,20,20
55313411400,0,0,0,2,2,3,3,3
37062264800,0,22,22,39,39,39,42,42
36162022700,4,8,14,15,21,23,34,37
35112231400,12,12,12,12,20,20,20,20
53664378600,2,3,7,10,10,10,10,10
46260955300,5,8,8,15,15,16,16,16
36767490400,0,0,0,0,0,0,7,8
53163264700,0,0,0,8,8,8,8,8
54410905800,0,0,0,0,0,0,0,2
52463491100,0,0,3,6,9,16,16,22
36998825000,0,0,0,0,8,8,9,9
54785250200,0,7,16,16,20,20,20,20
6602095664,0,25,25,25,30,30,30,30
37057150800,3,5,6,7,7,7,7,7
27171594800,3,4,4,6,6,8,8,8
55512696300,0,0,0,0,0,0,0,3
25822181600,5,6,7,8,8,8,9,13
36604220700,9,9,9,42,42,61,61,79
36462106800,4,5,5,5,5,7,7,7
50861419100,7,7,7,7,7,7,9,10
40762182900,3,8,8,8,12,14,14,14
37262010200,2,2,2,6,6,6,6,6
11739083200,0,0,3,3,4,4,5,5
54413044400,5,5,5,8,10,12,19,22
57196540481,0,0,0,0,0,7,7,7
25224786500,0,0,0,0,0,74,74,74
57204714758,4,4,14,14,14,14,14,14
54790742500,0,0,0,0,6,6,6,6
8680865000,0,0,0,0,0,3,5,5
38862283800,3,3,3,3,3,3,6,10
36124726400,1,1,9,9,9,17,17,18
37101128700,0,0,0,0,0,0,0,14
55581645900,0,0,0,4,12,12,16,21
37030862100,0,5,6,7,7,7,7,7
12769127400,5,11,11,13,16,16,21,29
54584343100,0,0,0,0,0,2,2,2
23090350200,3,3,3,19,19,19,20,20
53063834600,0,1,4,4,6,8,52,53
35367098400,0,6,6,6,6,6,6,6
48361140800,3,7,7,7,9,9,9,18
57198837555,0,4,4,4,13,14,14,14
55480020900,0,0,0,4,4,4,4,4
54786808000,0,0,0,0,0,0,6,6
35748454400,3,3,6,6,6,6,7,7
16305537700,0,0,0,0,0,0,3,3
53866604500,5,5,6,6,6,9,9,9
52264038200,0,0,0,7,11,11,11,11
6603379512,5,10,35,43,54,68,75,90
53983566400,0,6,6,6,6,6,6,8
46062509000,0,0,0,0,0,0,0,4
36994587700,7,7,7,7,7,7,7,7
44462170700,2,2,7,11,13,16,26,32
48760899800,0,0,0,0,0,0,0,14
36810329100,0,0,13,13,13,13,13,13
53869264700,0,10,10,10,10,10,10,10
6701529090,0,5,5,5,5,5,5,5
36996443700,0,0,0,6,6,6,6,6
13607024900,28,28,28,28,28,31,31,31
35111618100,9,24,27,27,31,31,31,31
56145493600,11,31,31,31,36,48,54,74
