ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
23033042300,2,2,2,2,2,4,4,4,8,8,9,9,23,24,24,24,29,29
7202098626,2,3,6,6,6,13,24,27,32,33,44,47,47,52,56,57,61,64
7006107059,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,39
6602645031,0,0,0,0,0,21,21,21,21,21,21,41,41,41,41,58,58,58
6603320963,4,5,9,12,19,27,28,31,34,34,34,38,47,55,56,66,76,82
55348923700,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3
6602195656,3,3,8,8,8,11,11,12,13,13,13,13,13,13,16,23,23,25
7005270780,0,4,5,6,6,12,12,31,38,42,45,52,56,62,64,71,75,76
6506078707,0,0,0,0,0,0,0,3,3,3,3,6,6,6,6,6,6,6
55159105300,0,5,5,5,5,5,13,15,19,19,27,27,35,35,35,40,40,40
56031504800,0,0,0,2,4,7,7,7,12,12,17,19,23,23,23,23,23,23
23029018400,3,3,3,3,6,6,8,8,15,18,18,18,22,27,31,31,32,32
6602455735,0,0,0,0,0,0,6,6,6,6,6,6,6,8,8,8,8,8
6507536020,0,0,8,8,8,8,12,12,12,15,23,32,33,42,42,46,49,55
7004070131,0,0,0,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9
6507287257,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4
7004262853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
8937184300,0,0,0,0,0,0,0,0,8,8,8,12,12,12,12,12,12,12
6603580493,0,3,4,4,4,4,4,4,11,15,24,28,31,31,40,50,62,67
7102018312,2,4,17,17,17,21,22,25,29,36,42,42,52,52,58,62,62,64
6506429890,0,0,4,4,4,4,4,4,4,4,4,12,17,17,17,17,20,20
6505972118,0,0,0,3,5,7,7,9,9,9,12,12,13,13,18,18,24,24
6506104085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
6701361759,0,0,0,0,3,3,3,3,3,3,3,9,9,9,9,9,9,9
7003457945,5,5,5,5,5,5,5,7,14,14,14,17,17,17,17,17,40,43
22959389000,0,0,0,0,0,3,3,3,3,6,6,6,6,6,7,7,7,9
55566085100,0,0,0,2,2,2,2,2,2,2,2,2,16,16,16,16,19,19
6602091733,0,0,0,0,0,0,0,4,4,7,10,13,22,29,29,32,32,32
6602456207,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11
6603243905,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,17
6602542060,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13,13,13,13
6603751474,0,0,0,0,0,34,46,52,52,53,53,101,101,101,101,101,101,101
9845646300,2,6,6,9,21,38,44,46,51,57,69,79,112,120,127,135,138,141
6603137672,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34
23134775700,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,11
12242015100,4,4,7,7,18,23,23,32,45,58,74,84,86,95,108,109,110,112
7101917335,0,7,7,7,7,7,7,12,12,12,12,12,12,12,12,12,12,12
56247790300,0,0,0,0,0,0,0,0,0,0,7,7,9,18,18,18,18,18
7801392399,1,1,1,5,5,5,6,7,8,15,17,29,29,37,56,58,59,65
35580586500,0,0,0,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6506489910,0,0,0,0,0,2,2,2,2,2,2,2,16,16,16,21,21,37
12773400400,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,12
6603244578,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6602277720,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4
56260192500,4,4,4,4,4,6,8,10,10,14,16,21,22,22,22,22,27,27
9434408600,0,0,0,0,0,0,0,5,5,5,5,8,12,12,12,12,12,12
