Unnamed: 0,ID,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
15117,6508360348,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1995
15282,6701479991,2,6,8,8,8,8,10,10,11,11,11,11,15,15,19,20,22,22,23,23,23,23,23,24,1995
15406,7004011050,7,7,7,7,7,11,21,21,24,24,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1995
15751,7004501966,5,5,12,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1995
16000,56367420100,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
16079,55930233100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
16086,7003815223,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1995
16096,7101953267,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
16181,7406100201,1,2,3,10,11,11,12,12,13,13,20,21,21,28,28,31,31,31,31,31,31,31,31,31,1995
16205,6602896898,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,7,10,18,18,21,24,28,28,28,1995
16321,35230847400,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
16374,56230413400,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1995
16589,6508220996,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
16621,7004172452,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
16654,35306340000,1,2,2,3,3,3,3,6,7,7,15,16,23,28,36,53,55,63,64,71,74,75,76,97,1995
16767,7006002670,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
16863,56426178700,2,2,2,2,3,3,9,10,12,12,12,12,12,12,12,12,12,14,16,16,16,17,17,19,1995
17059,6701925783,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
17063,6507261864,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1995
17089,16941036400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
17228,6603348434,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,8,8,9,9,9,9,10,10,1995
17423,6701521591,2,4,4,4,4,4,4,4,4,6,19,34,50,61,80,83,95,105,111,115,131,140,157,190,1995
17490,6602609406,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1995
17724,6603886738,3,3,3,3,3,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1995
17839,6506351390,2,2,2,4,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
17974,6506974732,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
17992,57206486914,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,18,18,18,18,18,1995
18350,7005484195,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1995
18438,6603459777,4,8,9,9,9,9,9,9,12,12,13,16,16,16,16,25,27,30,31,35,35,38,38,40,1995
18695,35605416800,2,3,4,18,18,18,19,19,23,23,25,25,34,34,40,40,44,46,48,54,55,58,58,58,1995
18724,6508369755,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
18766,7801435754,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
18861,7004254957,3,3,3,3,3,3,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,1995
18868,7102615318,1,1,1,1,4,5,5,6,9,10,10,15,15,19,22,34,35,37,38,38,46,49,49,58,1995
19030,6506049416,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
19047,7005095300,1,1,1,1,1,1,2,3,10,11,11,13,13,13,14,14,14,16,16,16,16,16,16,16,1995
19308,7006162916,8,8,8,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1995
19334,56856077500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
19647,7006894308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
19666,56029654300,2,2,4,4,5,9,15,19,19,19,19,21,21,21,21,21,21,21,21,28,28,28,28,30,1995
19785,7003952153,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
19934,8854255300,1,1,1,3,4,6,7,11,11,15,22,24,30,30,35,35,35,36,37,37,37,37,37,37,1995
19983,7005788429,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
20039,6602723524,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
20174,6602703893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
20277,6603846634,2,2,5,5,6,10,12,15,16,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,1995
20317,6604045895,1,1,1,3,4,4,4,4,6,12,14,14,14,14,14,14,14,16,16,16,16,16,16,16,1995
20358,7003431194,5,5,5,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1995
20487,7003597651,9,9,9,12,12,12,13,13,13,21,21,21,21,32,49,65,72,78,78,85,88,88,88,88,1995
20505,24294155300,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1995
20513,7401542444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1995
20522,6602888797,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
20586,7006119043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,1995
20679,6601950813,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
20854,6507535236,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
20969,7005467416,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,32,32,32,58,58,58,58,58,58,1995
20976,6603727409,4,4,4,4,4,4,4,4,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
20997,7004368731,2,5,5,5,5,5,5,5,5,5,7,7,7,11,11,11,11,11,11,11,11,11,11,11,1995
21106,57204844325,6,6,6,6,6,6,6,6,7,8,26,33,33,33,33,33,33,33,33,33,33,33,33,33,1995
21204,57197473248,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
21221,6506640911,2,4,5,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1995
21504,6507361722,3,3,5,6,6,8,9,10,10,10,12,18,22,22,22,26,26,26,33,35,38,41,42,44,1995
21548,6602693118,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
21555,55457155800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
21579,6602625246,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
21583,55883331800,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
21608,6507860449,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1995
21677,6507340857,1,1,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
21762,6602922457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
22143,7005556783,6,6,6,9,9,9,11,11,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,1995
22313,7004529543,1,4,4,4,4,4,4,4,4,4,4,28,28,30,30,30,30,32,32,32,32,32,32,32,1995
22441,7005628225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
22525,8925653600,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1995
22533,36937388200,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,11,11,11,11,11,1995
22541,6506466596,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
22673,7801539359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
22821,7102749357,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
22924,7403143411,4,4,4,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1995
22976,57130576400,3,3,4,4,6,8,8,11,11,11,11,13,13,13,13,13,13,13,16,16,20,20,20,20,1995
23116,7003974924,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,1995
23163,6603337279,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
23178,7005333983,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,1995
23293,6602552471,3,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,9,9,9,9,9,9,10,10,1995
23314,7103154738,6,6,6,9,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,1995
23413,6507908546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
23502,7003364364,7,7,7,7,11,17,19,19,19,19,37,37,37,37,37,37,37,37,70,70,76,76,79,79,1995
23762,36878970300,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
24025,55890999800,2,2,3,3,3,3,5,5,5,5,5,6,6,7,7,10,11,11,12,12,13,14,15,15,1995
24209,7003480342,3,3,3,3,4,4,5,5,19,29,29,29,36,36,56,56,59,62,63,74,79,106,110,110,1995
24288,7102425942,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
24377,6505794103,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
24469,35617623200,1,24,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,29,29,29,29,29,29,29,1995
24537,6508131898,3,5,6,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1995
24608,55903412700,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,6,6,6,7,7,7,7,7,7,1995
24832,8086018900,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
25237,6506037492,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1995
25276,7102340182,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
25306,7004826296,4,4,9,18,18,21,31,32,32,32,32,33,38,41,44,44,51,51,53,53,53,53,53,53,1995
25326,6602640079,3,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1995
25618,14623351700,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
25674,7003907720,2,5,5,12,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1995
25940,57203254475,2,2,2,2,2,2,2,4,15,15,16,16,18,18,19,21,21,21,21,21,21,21,21,23,1995
26145,6602152826,2,2,5,5,5,5,6,12,18,20,20,24,25,25,25,26,29,35,36,36,38,44,54,61,1995
26288,6505985292,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,1995
26455,9536069400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
26568,6603410262,1,3,3,4,6,10,11,11,11,12,13,16,18,19,19,20,20,21,23,23,24,25,25,32,1995
26672,6602752415,3,3,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1995
26891,57192645986,1,1,17,18,24,25,47,67,68,96,98,98,111,111,114,114,121,121,132,134,134,147,149,149,1995
27057,6505928943,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,1995
27120,6601921461,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
27252,15127004800,1,1,1,1,1,15,15,15,15,15,15,17,17,17,17,17,17,17,38,40,40,41,45,45,1995
27274,7007043443,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1995
27290,6506816012,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
27484,7005581531,2,4,4,4,4,4,4,4,4,4,8,8,8,10,10,10,10,10,10,10,13,14,19,19,1995
27584,55886774400,5,9,9,11,12,14,16,18,18,19,22,25,26,28,31,31,36,36,36,36,36,36,36,36,1995
