ID,2016,2017,2018
7404145008,23,25,30
57188675645,0,0,14
57190124762,4,4,4
57193702221,4,4,4
57192427511,3,3,3
57188810109,5,5,5
35581770400,5,5,5
6508064170,3,3,3
56102177900,1,1,1
6601993392,4,4,4
26025850300,6,6,6
7102861407,7,7,7
57091813100,4,4,4
6602925041,10,10,10
24382155600,2,2,2
56786393400,3,3,3
16174978200,21,21,21
57188724280,0,3,3
57193029094,3,3,3
17346968200,4,4,18
56586167500,6,6,6
57192197994,7,11,30
18435271000,1,3,3
57191341690,0,2,2
54946641900,5,5,5
55511165400,3,10,10
57190050182,0,2,2
55891879300,7,7,7
40461263700,3,3,5
57189328550,4,7,8
55190796100,6,6,13
56925497400,11,11,11
7007168423,28,28,30
55542663900,40,40,100
57189097686,3,3,3
57193351775,2,6,6
35753052800,13,13,13
57192431690,2,4,4
56592910400,12,12,12
56705480200,4,4,4
56146251100,3,3,3
57060401000,0,0,5
7102400958,16,16,16
57192543697,6,7,7
57192311849,4,4,5
55777215000,0,7,8
57021488500,0,4,4
57102195500,3,3,3
57188861977,4,4,4
57191265349,4,4,4
57191887763,1,2,2
57207006689,3,3,3
14065570000,4,4,4
35351567000,3,3,3
57189257666,2,2,2
15842329000,5,9,9
57192208910,4,5,5
55807355500,5,7,15
57191956520,3,3,3
57190745405,4,4,4
6504350888,2,2,2
57190754559,8,8,8
57188581674,5,5,5
57189096483,12,12,12
57052014100,36,36,104
57189344809,82,82,82
55523498400,4,4,4
57205435665,0,0,5
26421131300,4,4,4
55979118000,10,10,10
56921855800,0,4,4
14053507600,12,12,12
57202392789,2,2,2
16837019000,0,12,12
57193134440,3,3,3
27267841100,5,7,19
56514513200,39,39,39
57193647155,1,3,3
57055340700,1,1,1
55364648900,22,22,22
57190436407,61,65,65
57191612645,0,3,9
57189043142,3,3,3
57190065508,3,3,3
6506079006,5,5,5
57190883380,5,5,5
57204375486,3,3,3
57203239853,6,6,6
57144903600,5,5,5
56228784000,0,6,6
56160243300,4,4,4
55876947700,5,5,5
57190014759,0,3,3
56258325200,7,7,7
35566729100,0,0,6
57191342816,0,9,9
55847793900,0,5,5
57190883130,2,3,5
7005097872,37,40,40
57191445718,0,3,3
55391395500,2,2,2
57189344919,82,82,82
57190375595,3,3,3
57199558045,11,11,11
7202210195,6,6,6
56819006500,4,5,6
57160474600,4,4,6
57191898888,3,3,3
24073889300,8,16,23
57196335284,3,3,3
7402917732,5,5,5
57192951536,2,3,3
55773864300,55,55,55
42561098700,1,1,1
11440073700,0,0,6
23480203400,21,21,21
57191975567,0,0,2
55868827400,33,33,33
57189763844,7,12,12
57192086183,11,11,11
55937393400,3,3,3
55372581000,55,55,55
57189059220,3,3,3
57192206749,35,35,35
57190336425,6,6,6
7004123569,81,81,81
57190985801,7,7,7
56198322800,11,20,20
57191428557,4,4,7
57204213806,2,2,2
57184251300,4,4,4
57194484529,3,3,3
