Unnamed: 0,ID,2018,start_year
2528,57202894559,4,2018
2547,8510022100,3,2018
2551,13806524400,4,2018
2556,7005040650,4,2018
2561,57193877983,4,2018
2570,56734518600,4,2018
2588,57190175026,6,2018
2591,8244804200,3,2018
2596,57204030645,3,2018
2597,6602598068,12,2018
2605,55776805100,9,2018
2633,57194110891,2,2018
2643,21743722600,3,2018
2644,57200818918,4,2018
2659,26325330300,6,2018
2670,57202398169,2,2018
2679,57200038334,4,2018
2680,55369049500,4,2018
2699,8886204500,5,2018
2708,57203529624,2,2018
2714,57199090913,2,2018
2734,12801694400,8,2018
2738,8447411800,5,2018
2755,56028719700,6,2018
2768,57200860269,3,2018
2770,56647974900,4,2018
2774,56915207000,8,2018
2780,56322035100,5,2018
2822,23969363600,4,2018
2881,57004462700,7,2018
2882,57196593398,7,2018
2883,6601991186,16,2018
2889,55637695500,7,2018
2894,56081035700,9,2018
2896,13907491000,49,2018
2908,57203983449,2,2018
2916,57195675187,8,2018
2977,36015108600,2,2018
2987,24476123000,4,2018
3024,57199479244,3,2018
3048,57060401000,5,2018
3069,57201086762,27,2018
3089,55912531600,3,2018
3146,57203228356,1,2018
3149,26221072000,1,2018
3150,36185753000,44,2018
3173,11338891200,3,2018
3175,57192165328,2,2018
3181,57205642574,4,2018
3183,57204772806,6,2018
3200,57195471207,3,2018
3221,57200694534,3,2018
3233,8715686300,4,2018
3268,7005034358,2,2018
3273,56798939400,6,2018
3274,57207185407,6,2018
3313,35577162900,3,2018
3332,57188678053,5,2018
3335,57203942691,3,2018
3370,57204818510,7,2018
3378,55760424300,7,2018
3383,57086706000,28,2018
3393,26027950500,5,2018
3394,55922865000,3,2018
3397,57016872800,4,2018
3407,6603618518,29,2018
3409,56242093600,3,2018
3411,57202111778,5,2018
3413,57207857246,9,2018
3424,35476931000,4,2018
3444,57201752956,3,2018
3459,6506020926,11,2018
3460,57204798688,4,2018
3463,56294200300,7,2018
3471,56808741000,4,2018
3489,57203496715,43,2018
3513,57194939794,3,2018
3534,57201992447,5,2018
3536,57197020586,3,2018
3537,57204102683,6,2018
3541,57205435665,5,2018
3545,8577020000,1,2018
3587,56703376900,6,2018
3596,8330094700,8,2018
3598,57202159934,12,2018
3600,57190302608,26,2018
3618,57201297415,3,2018
3622,37076752500,5,2018
3630,6602774951,20,2018
3633,57204000889,3,2018
3655,57194939322,3,2018
3662,57203113135,6,2018
3673,57202232478,5,2018
3675,57203166369,19,2018
3680,7102512590,5,2018
3686,57203244298,4,2018
3700,57201680972,8,2018
3719,57159123400,5,2018
3738,57201906379,4,2018
3740,57203403859,4,2018
3747,57203516711,1,2018
3760,57205403321,24,2018
3762,56037572600,34,2018
3773,57203146217,1,2018
3774,36637490600,71,2018
3778,57203038768,4,2018
3800,7003983460,14,2018
3822,54791170600,4,2018
3855,57207706934,4,2018
3876,56638015500,9,2018
3877,6507765711,9,2018
3895,25226653000,8,2018
3904,26534152800,1,2018
3906,57200206981,64,2018
3911,57203508201,43,2018
3914,24777845500,5,2018
3916,57197759655,2,2018
3928,57193874926,10,2018
3935,57203001504,3,2018
3943,23398080800,8,2018
3953,35566729100,6,2018
4014,6603386634,5,2018
4033,57207618811,4,2018
4038,57201157312,2,2018
4039,57191916024,4,2018
4072,56350642200,6,2018
4107,57193776463,8,2018
4114,36990982800,10,2018
4119,37075589500,4,2018
4126,35227279000,19,2018
4129,57200515090,11,2018
4135,57202088091,13,2018
4158,57202988227,3,2018
4166,57197769342,2,2018
4200,11440073700,6,2018
4201,7004273060,3,2018
4208,16246169000,4,2018
4222,57194457452,3,2018
4228,57207872558,13,2018
4234,55346742300,15,2018
4256,55901188300,5,2018
4257,41662305200,4,2018
4258,35776955900,2,2018
4262,57191975567,2,2018
4266,7103203292,3,2018
4274,57193794419,3,2018
4325,57202514366,4,2018
4350,57203014144,2,2018
4360,57206478161,11,2018
4365,7006607400,5,2018
4371,57207106459,3,2018
4381,56707237900,4,2018
4389,57205668615,4,2018
4397,26647924200,10,2018
4438,57191745216,18,2018
4440,57206938288,5,2018
4453,25634025800,8,2018
4460,16021541800,1,2018
4489,56638284500,5,2018
4533,57207825614,2,2018
4548,57194799247,4,2018
4558,6507250931,15,2018
4639,56708565900,6,2018
4640,25947894000,6,2018
4644,22235446400,6,2018
4650,42761176600,6,2018
4662,18933613400,11,2018
4680,55485818100,3,2018
4685,54403736700,35,2018
4697,57207815340,4,2018
4705,25628158400,5,2018
4718,56600614500,3,2018
